"rownum","Tattoo","Override","Set","Tribe","OverrideType"
0,11077,0,0,0,""
1,11078,1,0,0,""
2,11079,2,0,0,""
3,11080,3,0,0,""
4,11081,4,0,0,""
5,11082,5,0,0,""
6,11083,6,0,0,""
7,11084,7,0,1,""
8,11085,8,0,1,""
9,11086,9,0,1,""
10,11087,10,2,1,""
11,11088,11,0,1,""
12,11089,12,0,1,""
13,11090,13,0,1,""
14,11091,14,0,2,""
15,11092,15,0,2,""
16,11093,16,0,2,""
17,11094,17,0,2,""
18,11095,18,0,2,""
19,11096,19,0,2,""
20,11097,20,0,2,""
21,11098,21,0,3,""
22,11099,22,0,3,""
23,11100,23,0,3,""
24,11101,24,2,3,""
25,11102,25,0,3,""
26,11103,26,0,3,""
27,11104,27,0,3,""
28,11105,28,0,4,""
29,11106,29,1,4,""
30,11107,30,2,4,""
31,11108,31,1,4,""
32,11109,32,1,4,""
33,11110,33,1,4,""
34,11111,34,2,4,""
35,11112,35,1,5,""
36,11113,36,1,5,""
37,11114,37,1,5,""
38,11115,38,2,5,""
39,11116,39,2,5,""
40,11117,40,1,5,""
41,11118,41,1,5,""
42,11119,42,1,6,""
43,11120,43,1,6,""
44,11121,44,1,6,""
45,11122,45,1,6,""
46,11123,46,1,6,""
47,11124,47,1,6,""
48,11125,48,1,6,""
49,11126,49,2,7,""
50,11127,50,2,7,""
51,11128,51,2,7,""
52,11129,52,2,7,""
53,11130,53,2,7,""
54,11131,54,2,7,""
55,11132,55,2,7,""
56,11133,56,1,8,""
57,11134,57,1,8,""
58,11135,58,2,8,""
59,11136,59,1,8,""
60,11137,60,2,8,""
61,11138,61,2,8,""
62,11139,62,1,8,""
63,11140,63,2,9,""
64,11141,64,2,9,""
65,11142,65,2,9,""
66,11143,66,0,9,""
67,11144,67,2,9,""
68,11145,68,2,9,""
69,11146,69,2,9,""
70,11147,70,3,10,""
71,11148,71,3,10,""
72,11149,72,3,10,""
73,11150,73,3,10,""
74,11151,74,3,10,""
75,11152,75,3,10,""
76,11153,76,3,10,""
77,11154,77,3,10,""
78,11155,78,4,10,""
79,11156,79,4,10,""
80,11157,80,4,10,""
81,11158,81,5,10,""
82,11159,82,5,10,""
83,11160,83,5,10,""
84,11161,84,6,10,""
85,11162,85,6,10,""
86,11163,86,6,10,""
87,11164,87,3,10,""
88,11165,88,3,10,""
89,11166,89,4,10,""
90,11167,90,5,10,""
91,11168,91,6,10,""
92,11169,92,7,10,15
