"rownum","BaseItemTypesKey","Name","Type","LifePerUse","ManaPerUse","RecoveryTime","BuffDefinitionsKey","BuffStatValues","RecoveryTime2","BuffStatValues2"
0,6187,"Small Life Flask",1,70,0,30,"",[],30,[]
1,6188,"Medium Life Flask",1,150,0,35,"",[],35,[]
2,6189,"Large Life Flask",1,250,0,35,"",[],35,[]
3,6190,"Greater Life Flask",1,360,0,35,"",[],35,[]
4,6191,"Grand Life Flask",1,640,0,30,"",[],30,[]
5,6192,"Giant Life Flask",1,830,0,40,"",[],40,[]
6,6193,"Colossal Life Flask",1,1000,0,35,"",[],35,[]
7,6194,"Sacred Life Flask",1,1200,0,30,"",[],30,[]
8,6195,"Hallowed Life Flask",1,1990,0,40,"",[],40,[]
9,6196,"Sanctified Life Flask",1,1460,0,15,"",[],15,[]
10,6197,"Divine Life Flask",1,2400,0,35,"",[],35,[]
11,6198,"Eternal Life Flask",1,2080,0,20,"",[],20,[]
12,6199,"Small Life Flask",1,70,0,40,"",[],40,[]
13,6200,"Medium Life Flask",1,130,0,50,"",[],50,[]
14,6201,"Large Life Flask",1,200,0,60,"",[],60,[]
15,6202,"Small Mana Flask",2,0,50,30,"",[],30,[]
16,6203,"Medium Mana Flask",2,0,70,35,"",[],35,[]
17,6204,"Large Mana Flask",2,0,90,40,"",[],40,[]
18,6205,"Greater Mana Flask",2,0,120,40,"",[],40,[]
19,6206,"Grand Mana Flask",2,0,170,45,"",[],45,[]
20,6207,"Giant Mana Flask",2,0,250,50,"",[],50,[]
21,6208,"Colossal Mana Flask",2,0,350,50,"",[],50,[]
22,6209,"Sacred Mana Flask",2,0,480,55,"",[],55,[]
23,6210,"Hallowed Mana Flask",2,0,700,60,"",[],60,[]
24,6211,"Sanctified Mana Flask",2,0,1100,65,"",[],65,[]
25,6212,"Divine Mana Flask",2,0,1400,50,"",[],50,[]
26,6213,"Eternal Mana Flask",2,0,1800,70,"",[],70,[]
27,6214,"Small Hybrid Flask",3,100,70,50,"",[],50,[]
28,6215,"Medium Hybrid Flask",3,230,100,50,"",[],50,[]
29,6216,"Large Hybrid Flask",3,510,140,50,"",[],50,[]
30,6217,"Colossal Hybrid Flask",3,690,200,50,"",[],50,[]
31,6218,"Sacred Hybrid Flask",3,1440,400,50,"",[],50,[]
32,6219,"Hallowed Hybrid Flask",3,1740,480,50,"",[],50,[]
33,6220,"Diamond Flask",4,0,0,60,114,[100],40,[100]
34,6221,"Ruby Flask",4,0,0,80,115,"[40,5]",55,"[40,5]"
35,6222,"Sapphire Flask",4,0,0,80,116,"[40,5]",55,"[40,5]"
36,6223,"Topaz Flask",4,0,0,80,117,"[40,5]",55,"[40,5]"
37,6224,"Granite Flask",4,0,0,60,118,[1500],40,[1500]
38,6225,"Quicksilver Flask",4,0,0,60,119,[40],20,[40]
39,6226,"Amethyst Flask",4,0,0,65,120,[35],45,[35]
40,6227,"Quartz Flask",4,0,0,60,121,"[1,10]",40,"[1,10]"
41,6228,"Jade Flask",4,0,0,60,122,[1500],40,[1500]
42,6229,"Basalt Flask",4,0,0,80,123,[20],55,[20]
43,6230,"Aquamarine Flask",4,0,0,80,124,[-60],55,[-60]
44,6231,"Stibnite Flask",4,0,0,80,126,[20],55,[20]
45,6232,"Sulphur Flask",4,0,0,80,127,[40],55,[40]
46,6233,"Silver Flask",4,0,0,60,128,[],40,[]
47,6234,"Bismuth Flask",4,0,0,85,125,[35],55,[35]
48,6235,"Gold Flask",4,0,0,50,129,[30],35,[30]
49,6236,"Corundum Flask",4,0,0,75,1843,[30],50,[30]
50,6237,"Iron Flask",4,0,0,50,130,[200],35,[200]
