"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterCategory"
0,11213,9844,"Fires Barrage of Arrows\r\nFires Hail of Arrows",0
1,11214,9845,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow",0
2,11215,9846,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow\r\nCasts Hatred",0
3,11216,9847,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered",5
4,11217,9848,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered",5
5,11218,9849,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered\r\nCasts Purity of Ice",5
6,11219,9850,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered",5
7,11220,9851,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered",5
8,11221,9852,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered\r\nCasts Purity of Fire",5
9,11222,9853,"Reforms after being killed",2
10,11223,9854,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage",2
11,11224,9855,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage\r\nExplosion Scorches",2
12,11225,9933,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers",5
13,11226,9934,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision",5
14,11227,9935,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision\r\nNearby allies have +10 Fortification",5
15,11228,9943,"Cyclones\r\nLacerates\r\nRains down blades",2
16,11229,9944,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% increased Impale Effect",2
17,11230,9945,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% increased Impale Effect\r\nImpales of nearby allies last one additional hit",2
18,11231,9874,"Throws Physical Projectiles",1
19,11232,9875,"Throws Physical Projectiles\r\n100% increased Impale Effect",1
20,11233,9876,"Throws Physical Projectiles\r\n100% increased Impale Effect\r\nOwner gains 10% increased Impale Effect",1
21,11234,9856,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive",0
22,11235,9857,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit",0
23,11236,9858,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit\r\nCreates Aura of Chaos when hitting Poisoned enemies",0
24,11237,9883,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier",1
25,11238,9884,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier",1
26,11239,9885,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier\r\nCasts Zealotry",1
27,11240,9868,"Cyclones\r\nCleaves",1
28,11241,9869,"Cyclones\r\nCleaves\r\nMaims on hit",1
29,11242,9870,"Cyclones\r\nCleaves\r\nMaims on hit\r\nOwner gains 10% increased Effect of Maim",1
30,11243,9912,"",3
31,11244,9913,"",3
32,11245,9914,"",3
33,11246,9865,"Vomits Blood\r\nApplies Corrupting Blood",1
34,11247,9866,"Vomits Blood\r\nApplies Corrupting Blood\r\nAbsorbs Corrupting Blood, exploding it and dealing Physical Damage based on the damage of the Corrupting Blood",1
35,11248,9867,"Vomits Blood\r\nApplies Corrupting Blood\r\nAbsorbs Corrupting Blood, exploding it and dealing Physical Damage based on the damage of the Corrupting Blood\r\nCasts Pride",1
36,11249,9871,"Attacks with Dualstrike\r\nPeriodically enrages",1
37,11250,9872,"Attacks with Dualstrike\r\nPeriodically enrages\r\nAffected by Owner's Rage",1
38,11251,9873,"Attacks with Dualstrike\r\nPeriodically enrages\r\nAffected by Owner's Rage\r\nOwner gains 5% of Physical Damage as Extra Fire Damage",1
39,11252,9937,"",5
40,11253,9938,"",5
41,11254,9939,"",5
42,11255,9940,"Throws Poisonous Concoction",5
43,11256,9941,"Throws Poisonous Concoction\r\n200% increased effect of flasks",5
44,11257,9942,"Throws Poisonous Concoction\r\n200% increased effect of flasks\r\nOwner gains 1 life flask charge every 3 seconds",5
45,11258,9891,"",2
46,11259,9892,"",2
47,11260,9893,"",2
48,11261,9949,"Creates moving Cursed Ground",3
49,11262,9950,"Creates moving Cursed Ground\r\nUses Smite",3
50,11263,9951,"Creates moving Cursed Ground\r\nUses Smite\r\nHexes can affect Hexproof Enemies",3
51,11264,9903,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering",3
52,11265,9904,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering\r\nAlly skeletons deal additional fire and chaos damage with attacks",3
53,11266,9905,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering\r\nAlly skeletons deal additional fire and chaos damage with attacks\r\nCasts Discipline",3
54,11267,9918,"Casts Dash of Destruction\r\nCasts Screech of Splendor",4
55,11268,9919,"Casts Dash of Destruction\r\nCasts Screech of Splendor\r\nScreech of Splendor inflicts Lightning Exposure",4
56,11269,9920,"Casts Dash of Destruction\r\nCasts Screech of Splendor\r\nScreech of Splendor inflicts Lightning Exposure\r\nCasts Grace",4
57,11270,9897,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp",2
58,11271,9898,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp\r\nCasts Wrath",2
59,11272,9899,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp\r\nCasts Wrath\r\nLightning Damage of nearby allies is Lucky",2
60,11273,9862,"Casts Lightning Burst",0
61,11274,9863,"Casts Lightning Burst\r\nCasts Clarity",0
62,11275,9864,"Casts Lightning Burst inflicting Sap on Hit\r\nCasts Clarity",0
63,11276,9909,"20% increased Physical Weapon Damage per 10 Strength",3
64,11277,9910,"20% increased Physical Weapon Damage per 10 Strength\r\nCrushes on Hit",3
65,11278,9911,"20% increased Physical Weapon Damage per 10 Strength\r\nCrushes on Hit\r\nOwner gains 5% More Physical Attack Damage",3
66,11279,9946,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call",5
67,11280,9947,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call\r\nCasts Vitality",5
68,11281,9948,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call\r\nCasts Vitality\r\nShares Endurance Charges with allies",5
69,11282,9906,"Causes Bleeding",3
70,11283,9907,"Causes Bleeding\r\nNearby enemies have 50% reduced Life Regeneration rate",3
71,11284,9908,"Causes Bleeding\r\nNearby enemies have 50% reduced Life Regeneration rate\r\nCan inflict Bleeding on an Enemy up to 16 times\r\nBleeding does not deal extra Damage while the enemy is moving",3
72,11285,9900,"Summons constructs\r\n5% increased Attack Damage per 450 Armour",2
