"rownum","EffectBaseType","VisualEffect","VisualIdentity","Stats","ItemClasses","[rid]","bool","[i32]","[i32]","bool","[rid]","bool","[rid]","[rid]","[rid]","[rid]","rid","bool","rid","rid"
0,454,12,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
1,455,2,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
2,456,1,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
3,457,13,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
4,458,0,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
5,459,14,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
6,460,3,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
7,461,4,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
8,462,5,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
9,463,6,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
10,464,7,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
11,465,8,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
12,466,9,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
13,467,10,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
14,468,15,"",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
15,469,15,"",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
16,470,15,"",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
17,471,16,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
18,472,17,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],[],[],"","","",""
19,473,18,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],[],[],"","","",""
20,474,19,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],[],[],"","","",""
21,475,20,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],[],[],"","","",""
22,476,21,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
23,477,22,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
24,478,23,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
25,479,24,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
26,480,25,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
27,481,43,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
28,383,"",4568,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
29,382,"",4567,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
30,379,"",4569,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
31,380,"",4570,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
32,381,"",4571,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
33,384,"",4572,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
34,385,"",4573,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
35,4816,"",4575,[],[25],[],1,[],"[8,21]","",[],"",[],[],[],[],"","","",""
36,386,"",4576,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
37,387,"",4577,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
38,388,"",4578,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
39,389,"",4579,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
40,390,"",4580,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
41,391,"",4582,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
42,392,"",4583,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
43,393,"",4584,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","",""
