"rownum","Id","[rid]","[i32]","rid","rid","i32","bool","i32","bool"
0,"CultistSpiritWeapon",[16748],[1],179,40,1,1,16777216,1
1,"MercenarySpiritWeapon",[16749],[1],180,40,1,1,16777216,1
2,"PyromaniacSpiritWeapon",[16750],[1],181,40,1,1,16777216,1
3,"TemplarZealotSpiritWeapon",[16751],[1],182,40,1,1,16777216,1
4,"PredatoryFarrulsFurApparition",[16816],[1],183,0,3,1,16777216,""
5,"OshabisHeaddressStrApparition",[16824],[1],184,3,3,1,16777216,""
6,"OshabisHeaddressDexApparition",[16825],[1],185,3,3,1,16777216,""
7,"OshabisHeaddressIntApparition",[16826],[1],186,3,3,1,16777216,""
8,"HateforgeAtziriApparition",[17282],[1],194,4,2,1,0,""
9,"VentorsGambleBoxCars",[17342],[1],195,3,2,1,16777216,1
10,"VentorsGambleSnakeEyes",[17342],[1],196,3,2,1,16777216,1
