"rownum","Id","bool","bool","rid","[rid]","rid","rid","rid","[rid]","rid","rid","i32","bool","rid","bool","bool","[rid]","bool"
0,"Anarchy",1,1,16972,[1849],17013,13796,"","[2233,3255]",5450,"",10,"",1388,"","",[],""
1,"Shrine",1,1,16973,[],17014,13793,"","[2454,9848,9847]",5611,"",10,"","",1,"",[],""
2,"VaalSideArea",1,1,16974,[],13622,"",2312,[5825],"","",1,"","",1,"",[2312],""
3,"Ambush",1,1,16975,[2520],17015,"","",[2453],5654,"",2,"","","","",[],""
4,"Beyond",1,1,"",[],16489,"","",[],"","",1,"","","",1,[],""
5,"Torment",1,1,16976,[2768],17016,13792,"","[2769,3256]",5577,"",10,"","","","",[],""
6,"Essence",1,1,16977,[],17017,15499,"","[4868,5591]",5462,"",10,"","","","",[],""
7,"Breach","",1,16138,[9275],13303,"",17046,"[5457,5590]",5456,"",3,"","","","",[17046],1
8,"Harbinger",1,1,"",[16700],13794,"","",[6291],"","",10,"","","","",[],""
9,"Abyss",1,"",16137,[9275],13738,"",17044,[6627],"","",10,"","","","",[17044],1
10,"MasterMission",1,1,"",[2334],"","","",[4929],"","",1,"","",1,1,[],""
11,"Bestiary",1,1,"",[2334],19835,"",13798,[19889],"","",1,"","","",1,[13798],""
12,"Incursion","",1,"",[2334],19836,"",13801,[19890],"","",1,"","",1,1,[13801],""
13,"Delve","",1,"",[2334],19838,"",13799,[19892],"","",1,"","",1,1,[13799],""
14,"Betrayal","",1,"",[2334],19837,"",13800,[19893],"","",1,"","",1,1,[13800],""
15,"Legion","",1,16140,[],13515,"",17050,[9350],"","",1,"","",1,"",[17050],1
16,"Blight","",1,16142,[],13652,15885,17045,[10049],"","",1,"","",1,"",[17045],1
17,"Delirium","",1,16145,[],13644,"",17047,[12463],"","",1,"","","","",[17047],1
18,"Harvest","",1,16136,[],13313,"",17049,[11788],"","",1,"","",1,"",[17049],1
19,"Heist","",1,16144,[],13678,"",13617,"[13240,14146]","","",1,"","","","",[13617],1
20,"Ritual",1,"",16143,[],14035,"",17052,[14034],"","",1,"","","","",[17052],1
21,"Expedition","",1,16139,[],14718,"",17048,[14203],"","",1,"","","",1,[17048],1
22,"Sanctum","",1,"",[],"","","",[16966],"","",1,1,"",1,"",[],""
23,"Crucible","",1,"",[],"","","",[17694],"","",1,1,"",1,"",[],""
24,"Ultimatum","","",18991,[],18992,"",18993,[18994],"","",1,"","",1,1,[18993],1
25,"Azmeri","",1,"",[],"","","",[18995],"","",1,1,"",1,1,[],""
