"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,9691,111,"Essence Item",52571,[]
1,9692,131,"Currency Item",52259,[]
2,9693,151,"Unique Item",18701,[]
3,9694,121,"Map Item",22038,[]
4,9695,251,"Unique Map Item",6696,[]
5,9696,301,"Rare Abyss Item",41772,[]
6,9697,301,"Fragment Item",60390,[]
7,9698,301,"Scarab Item",32186,[]
8,9699,151,"Essence Item",23218,[]
9,9700,301,"Fossil Item",19642,[]
10,9701,221,"Expedition Item",40101,[]
11,9702,151,"Stacked Decks",34745,[]
12,9703,151,"Talisman Item",43064,[]
13,9704,161,"Labyrinth Item",19352,[]
14,9705,1001,"6-Linked Armour Item",6078,[]
15,9706,141,"Currency Item",14134,[]
16,9707,1501,"League-specific Unique Item",4526,[]
17,9708,501,"Shaper or Elder Armour Item",61377,[]
18,9709,501,"Shaper or Elder Weapon Item",53204,[]
19,9710,701,"Shaper or Elder Trinket Item",61894,[]
20,9711,501,"Elder Map Item",39336,[]
21,9712,351,"Breach Item",43164,[]
22,9713,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,9714,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,9715,301,"Item",31223,[]
25,9716,121,"Quality Gem",16288,[]
26,9717,151,"Bestiary Item",28161,[]
27,9718,221,"Blight Item",19373,[]
28,9719,221,"Ultimatum Item",62324,[]
29,9720,431,"Delirium Item",23535,[]
30,9721,111,"Essence Item",46750,[]
31,9722,131,"Currency Item",54300,[]
32,9723,151,"Unique Item",59184,[]
33,9724,121,"Map Item",43361,[]
34,9725,251,"Unique Map Item",37492,[]
35,9726,301,"Rare Abyss Item",2531,[]
36,9727,301,"Fragment Item",4173,[]
37,9728,301,"Scarab Item",25303,[]
38,9729,151,"Essence Item",31454,[]
39,9730,301,"Fossil Item",51101,[]
40,9731,221,"Expedition Item",41074,[]
41,9732,151,"Stacked Decks",47490,[]
42,9733,151,"Talisman Item",23793,[]
43,9734,161,"Labyrinth Item",42868,[]
44,9735,1001,"6-Linked Armour Item",12755,[]
45,9736,141,"Currency Item",30048,[]
46,9737,1501,"League-specific Unique Item",32094,[]
47,9738,501,"Shaper or Elder Armour Item",38195,[]
48,9739,501,"Shaper or Elder Weapon Item",28068,[]
49,9740,701,"Shaper or Elder Trinket Item",52048,[]
50,9741,501,"Elder Map Item",56725,[]
51,9742,351,"Breach Item",39939,[]
52,9743,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,9744,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,9745,301,"Item",55071,[]
55,9746,121,"Quality Gem",43471,[]
56,9747,151,"Bestiary Item",58563,[]
57,9748,221,"Blight Item",24651,[]
58,9749,221,"Ultimatum Item",65346,[]
59,9750,431,"Delirium Item",12740,[]
