"rownum","ChestsKey","SpawnWeight","i32","bool","bool","SpawnWeightIncrease","SpawnWeightHardmode","bool","bool"
0,254,40,5,"",1,15502,0,1,""
1,256,0,5,"","","",0,"",""
2,257,100,15,"",1,"",0,"",""
3,258,100,12,"",1,"",0,"",""
4,259,80,5,"",1,"",0,"",""
5,260,20,5,"",1,"",0,1,""
6,261,16,5,1,1,15503,0,1,""
7,262,10,5,1,1,15503,0,1,""
8,263,4,5,1,1,15503,0,1,""
9,264,2,5,1,1,15503,0,1,""
10,265,0,5,"","","",0,"",""
11,266,0,5,1,1,"",0,"",""
12,267,0,5,"",1,"",0,"",""
13,268,40,5,"",1,17020,0,1,""
14,269,0,5,"","","",0,"",""
15,270,80,5,"",1,"",0,1,""
16,271,60,10,"",1,"",0,"",""
17,272,0,10,"","","",0,"",""
18,273,40,10,"",1,"",0,1,""
19,274,0,10,"","","",0,"",""
20,275,600,5,"",1,"",0,"",""
21,276,0,5,"","","",0,"",""
22,277,20,5,1,1,15504,0,1,""
23,279,0,5,"","","",0,"",""
24,493,0,5,"","","",0,"",""
25,255,0,5,"",1,"",0,"",""
26,1647,0,5,1,1,"",0,"",""
27,1648,0,10,1,1,"",0,"",""
28,1649,0,10,1,1,"",0,"",""
29,278,0,5,1,1,"",0,"",""
30,2362,0,5,1,"","",0,"",""
31,2363,0,5,1,1,"",0,"",""
32,281,0,5,"",1,15502,10,1,""
33,282,0,15,"",1,"",100,"",""
34,283,0,12,"",1,"",100,"",""
35,284,0,5,"",1,"",10,"",""
36,285,0,5,"",1,"",5,1,""
37,286,0,5,1,1,15503,4,1,""
38,287,0,5,1,1,15503,3,1,""
39,288,0,5,1,1,15503,2,1,""
40,289,0,5,1,1,15503,1,1,""
41,290,0,5,"",1,17020,10,1,""
42,291,0,5,"",1,"",10,1,""
43,292,0,10,"",1,"",60,"",""
44,293,0,10,"",1,"",40,"",""
45,294,0,5,"",1,"",500,"",""
46,2385,0,5,"",1,"",0,"",1
