"rownum","Id","TimeoutInSeconds","ChargesShared","Player_ShrineBuffsKey","i32","i32","Monster_ShrineBuffsKey","SummonMonster_MonsterVarietiesKey","SummonPlayer_MonsterVarietiesKey","i32","i32","ShrineSoundsKey","bool","AchievementItemsKeys","IsPVPOnly","bool","IsLesserShrine","Description","Name","bool","rid","[rid]"
0,"Acceleration",0,"",366,30,1,367,"","",50,45,3,"",[10145],"",1,"",6036,6035,"","",[]
1,"Lightning",0,"",378,80,4,"",2821,2822,0,45,2,"",[10145],"","","",6038,6037,"","",[]
2,"Cold",0,"",377,80,4,"",2823,2824,0,45,0,"",[10145],"","","",6040,6039,"","",[]
3,"Fire",0,"",376,0,10,"",2819,2820,0,45,1,"",[10145],"","","",6042,6041,"","",[]
4,"Arc",0,"",379,0,10,"",2827,2828,0,45,2,"","[516,10145]","","","",6044,6043,"","",[]
5,"Criticals",0,"",374,30,1,375,"","",50,45,7,"",[10145],"",1,"",6046,6045,"","",[]
6,"Brutal",0,"",370,30,1,371,"","",50,45,5,"",[10145],"",1,"",6048,6047,"","",[]
7,"Thorns",0,"",372,0,40,373,"","",50,45,6,"","[519,10145]","",1,"",6050,6049,"","",[]
8,"Regen",0,1,368,30,1,369,"","",50,45,4,"",[10145],"",1,"",6052,6051,"","",[]
9,"Massive",0,"",386,60,10,387,"","",50,45,4,"",[10145],"",1,"",6054,6053,"","",[]
10,"Defence",0,"",388,80,25,389,"","",50,45,6,"",[10145],"",1,"",6056,6055,"","",[]
11,"Resistance",0,"",390,80,40,391,"","",50,45,6,"",[10145],"",1,"",6058,6057,"","",[]
12,"GodMode",0,"",392,10,60,393,"","",50,45,6,"","[10145,10147]","",1,"",6060,6059,"","",[]
13,"Multi",0,"",383,10,60,382,"","",50,45,7,"","[10145,10147]","",1,"",6062,6061,"","",[]
14,"Curses",0,"",385,0,25,384,"",3106,50,45,5,"","[526,10145]","","","",6064,6063,"","",[]
15,"Skeletons",0,"",380,40,25,"",2829,2830,0,45,8,"",[10145],"","","",6066,6065,"","",[]
16,"Smoke",0,"",381,60,40,"",2825,2826,0,45,9,"",[10145],"","","",6068,6067,"","",[]
17,"PVPAcceleration",45,"",366,100,0,"","","",0,12,3,1,[],"","","",6070,6069,"","",[]
18,"PVPRegen",45,1,368,100,0,"","","",0,12,4,1,[],"","","",6072,6071,"","",[]
19,"PVPBrutal",45,"",370,100,0,"","","",0,20,5,1,[],"","","",6074,6073,"","",[]
20,"CTFBrutal",45,"",370,100,0,"","","",0,20,5,1,[],1,"","",6076,6075,"","",[]
21,"CTFRegen",45,1,368,100,0,"","","",0,20,4,1,[],1,"","",6078,6077,"","",[]
22,"CTFMassive",45,"",386,100,0,"","","",0,20,4,1,[],1,"","",6080,6079,"","",[]
23,"CTFDefence",45,"",388,100,0,"","","",0,20,6,1,[],1,"","",6082,6081,"","",[]
24,"AccelerationLesser",0,"",395,30,1,"","","",0,20,3,"",[],"",1,1,6036,6083,"","",[]
25,"BrutalLesser",0,"",396,30,1,"","","",0,20,5,"",[],"",1,1,6048,6084,"","",[]
26,"RegenLesser",0,"",397,30,1,"","","",0,20,4,"",[],"",1,1,6052,6085,"","",[]
27,"MassiveLesser",0,"",398,60,1,"","","",0,20,4,"",[],"",1,1,6054,6086,"","",[]
28,"ResistanceLesser",0,"",399,80,1,"","","",0,20,6,"",[],"",1,1,6058,6087,"","",[]
29,"DefenceLesser",0,"",400,80,1,"","","",0,20,6,"",[],"",1,1,6056,6088,"","",[]
30,"Resonating",0,"",401,0,2,402,"","",50,45,10,"",[10145],"",1,"",6090,6089,"","",[]
31,"Gloom",0,"",403,0,2,404,"","",50,45,11,"",[10145],"",1,"",6092,6091,"","",[]
32,"RoyaleShrineAccelerating",60,"",405,100,0,"","","",0,10,3,"",[],"","","",6036,6035,1,"",[]
33,"RoyaleShrineBrutal",60,"",406,100,0,"","","",0,10,5,"",[],"","","",6048,6047,1,"",[]
34,"RoyaleShrineBurning",60,"",407,0,0,"",2819,2820,0,10,1,"",[],"","","",6042,6041,1,"",[]
35,"RoyaleShrineCharged",60,"",408,100,0,"","","",0,10,10,"",[],"","","",6090,6089,1,"",[]
36,"RoyaleShrineDiamond",60,"",409,100,0,"","","",0,10,7,"",[],"","","",6046,6045,1,"",[]
37,"RoyaleShrineEchoing",60,"",410,100,0,"","","",0,10,7,"",[],"","","",6062,6061,1,"",[]
38,"RoyaleShrineFreezing",60,"",411,0,0,"",2823,2824,0,10,0,"",[],"","","",6040,6039,1,"",[]
39,"RoyaleShrineGloom",60,"",412,0,0,"","","",0,10,11,"",[],"","","",6064,6091,1,"",[]
40,"RoyaleShrineHexing",60,"",413,100,0,"","",3106,0,10,5,"",[],"","","",6064,6063,1,"",[]
41,"RoyaleShrineImpenetrable",60,"",414,0,0,"","","",0,10,6,"",[],"","","",6056,6055,1,"",[]
42,"RoyaleShrineLightning",60,"",415,0,0,"",2821,2822,0,10,2,"",[],"","","",6038,6037,1,"",[]
43,"RoyaleShrineMassive",60,"",416,100,0,"","","",0,10,4,"",[],"","","",6054,6053,1,"",[]
44,"RoyaleShrineReplenishing",60,"",417,100,0,"","","",0,10,4,"",[],"","","",6052,6051,1,"",[]
45,"RoyaleShrineResistance",60,"",418,100,0,"","","",0,10,6,"",[],"","","",6058,6057,1,"",[]
46,"RoyaleShrineShrouded",60,"",419,0,0,"",2825,2826,0,10,9,"",[],"","","",6068,6067,1,"",[]
47,"RoyaleShrineStatic",60,"",420,0,0,"",2827,2828,0,10,2,"",[],"","","",6044,6043,1,"",[]
48,"Greed",0,"",425,0,0,424,"","",50,45,12,"",[10145],"",1,"",6109,6108,"","",[]
49,"BrineKing",0,"",483,0,0,484,"","",50,45,0,"",[10145],"",1,"",6443,6439,"",32110,"[2836,2837,2838,2839,2840]"
50,"Lunaris",0,"",485,0,0,486,"","",50,45,0,"",[10145],"",1,"",6444,6440,"",32107,"[2841,2842,2843,2844]"
51,"Solaris",0,"",487,0,0,488,"","",50,45,1,"",[10145],"",1,"",6445,6441,"",32108,"[2845,2846,2847,2848]"
52,"Arakaali",0,"",489,0,0,490,"","",50,45,11,"",[10145],"",1,"",6446,6442,"",32109,"[2849,2850,2851,2852]"
