"rownum","rid","[rid]","[i32]"
0,7,[617],[100]
1,8,[622],[100]
2,13,[627],[100]
3,15,[631],[100]
4,25,"[638,640,641]","[100,100,100]"
5,30,[642],[100]
6,31,[647],[100]
7,33,[651],[100]
8,36,[654],[100]
9,49,[663],[100]
10,62,[678],[100]
11,68,"[679,684,685,686]","[100,100,100,100]"
12,77,[691],[100]
13,91,[692],[100]
14,95,[695],[100]
15,100,[696],[100]
16,108,[697],[100]
17,128,"[702,703]","[100,100]"
18,130,"[705,706]","[100,100]"
19,134,"[710,711]","[100,100]"
20,140,[712],[100]
21,139,[714],[100]
22,141,[715],[100]
