"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32","ModsKeys0","ModsKeys1","rid"
0,3726,[9065],"[9066,9242,9241,9246]","[9067,9158,9243,9245]",10,100,1000,"",144,[],[],9067
1,3727,[9068],"[9069,9242,9241,9246]","[9070,9156,9243,9245]",6,100,2500,"",144,[],[],9070
2,3728,[9071],"[9072,9242,9241,9246]","[9073,9158,9243,9245]",10,100,1000,3182,144,[],[],9073
3,3729,[9074],"[9075,9242,9241,9246]","[9076,9158,9243,9245]",10,100,1000,"",144,[],[],9076
4,3730,[9103],"[9104,9242,9241,9246]","[9105,9159,9243,9245]",30,100,500,"",144,[],[],9105
5,3731,[9116],"[9117,9242,9241,9246]","[9118,9158,9243,9245]",15,100,1000,"",8,[],[],9118
6,3732,"[9083,9084]","[9085,9242,9241,9246]","[9086,9158,9243,9245]",15,100,1000,1929,144,[],[],9086
7,3733,[9109],"[9110,9242,9241,9246]","[9111,9158,9243,9245]",6,100,1000,"",144,[],[],9111
8,3734,[9077],"[9078,9242,9241,9246]","[9079,9158,9243,9245]",20,100,1000,"",144,[],[],9079
9,3735,[9080],"[9081,9242,9241,9246]","[9082,9159,9243,9245]",30,100,500,289,144,[],[],9082
10,3736,[9087],"[9088,9242,9241,9246]","[9089,9156,9243,9245]",1,100,2500,"",144,[],[],9089
11,3737,[9090],"[9091,9242,9241,9246]","[9092,9156,9093,9243,9245]",1,100,2500,"",144,[],[],9092
12,3738,[],"[9094,9242,9241,9246]","[9095,9159,9243,9245]",60,100,1,"",144,[],[],9095
13,3739,[9096],"[9097,9242,9241,9246]","[9098,9159,9243,9245]",60,100,500,"",144,[],[],9098
14,3740,[9100],"[9101,9242,9241,9246]","[9102,9156,9243,9245]",1,100,2500,"",144,[],[],9102
15,3741,[9106],"[9107,9242,9241,9246]","[9108,9156,9243,9245]",6,100,2500,"",144,[],[],9108
16,3742,"[9112,9113]","[9114,9242,9241,9246]","[9115,9158,9243,9245]",20,100,1000,45,144,[],[],9115
17,3743,[9119],"[9120,9242,9241,9246]","[9121,9159,9243,9245]",40,100,500,"",10,[],[],9121
18,3744,[9125],"[9126,9242,9241,9246]","[9127,9158,9243,9245]",20,100,1000,"",144,[],[],9127
19,3745,[9128],"[9129,9242,9241,9246]","[9130,9156,9243,9245]",1,100,2500,"",144,[],[],9130
20,3746,[9132],"[9133,9242,9241,9246]","[9134,9158,9243,9245]",10,100,1000,"",144,[],[],9134
21,3747,[9135],"[9137,9242,9241,9246]","[9138,9136,9159,9243,9245]",40,100,500,"",144,[],[],9138
22,3750,[9139],"[9140,9242,9241,9246]","[9155,9141,9159,9243,9245]",1,100,0,"",144,[],[],9155
23,3748,[9142],"[9143,9242,9241,9246]","[9144,9157,9244,9245]",1,100,0,"",144,[],[],9144
24,3749,[9145],"[9146,9242,9241,9246]","[9147,9157,9244,9245]",1,100,0,"",144,[],[],9147
25,3751,[9148],"[9149,9242,9241,9246]","[9150,9156,9243,9245]",1,100,0,"",144,[],[],9150
26,3752,[9148],"[9149,9242,9241,9246]","[9151,9156,9243,9245]",1,100,0,"",144,[],[],9151
27,3753,[9148],"[9149,9242,9241,9246]","[9152,9156,9243,9245]",1,100,0,"",144,[],[],9152
28,3754,[9148],"[9149,9242,9241,9246]","[9153,9156,9243,9245]",1,100,0,"",144,[],[],9153
29,3755,[9148],"[9149,9242,9241,9246]","[9154,9156,9243,9245]",1,100,0,"",144,[],[],9154
30,3756,[20415],"[20416,9242,9241,9246]","[20417,9159,9243,9245]",68,100,0,3991,144,[],[],20417
31,3757,[20412],"[20413,9242,9241,9246]","[20414,9159,9243,9245]",68,100,0,"",144,[],[],20414
32,3758,[20418],"[20419,9242,9241,9246]","[20420,9159,9243,9245]",68,100,0,"",144,[],[],20420
