"rownum","WordsKey","ItemVisualIdentityKey","UniqueStashTypesKey","i32","i32","OverrideWidth","OverrideHeight","ShowIfEmptyChallengeLeague","ShowIfEmptyStandard","RenamedVersion","BaseVersion","IsAlternateArt"
0,41,7656,7,0,0,0,0,1,1,"","",""
1,42,7657,6,0,0,1,3,1,1,"","",""
2,43,7658,1,0,0,0,0,1,1,"","",""
3,44,7659,2,0,0,0,0,1,1,"","",""
4,45,7660,2,1,0,0,0,1,1,"","",""
5,47,7661,2,2,0,0,0,1,1,"","",""
6,48,7662,9,0,0,0,0,1,1,"","",""
7,49,7663,1,1,0,0,0,"","","","",""
8,50,7664,15,0,0,0,0,1,1,"","",""
9,51,7665,4,0,0,0,0,1,1,"","",""
10,52,7666,9,2,0,0,0,1,1,"","",""
11,53,7667,6,2,0,2,3,1,1,"","",""
12,54,7668,16,0,0,0,0,1,1,"","",""
13,55,7669,16,2,0,0,0,1,1,"","",""
14,56,7670,9,4,0,0,0,1,1,"","",""
15,58,7672,8,0,0,0,0,1,1,"","",""
16,59,7673,8,2,0,0,0,1,1,"","",""
17,60,7675,6,4,0,0,0,1,1,"","",""
18,61,7676,6,6,0,0,0,1,1,"","",""
19,62,7677,2,3,0,0,0,1,1,"","",""
20,64,7679,2,4,0,0,0,1,1,"","",""
21,66,7681,11,0,0,0,0,"","","","",""
22,67,7682,1,2,0,0,0,1,1,"","",""
23,68,7683,1,3,0,0,0,1,1,"","",""
24,70,7685,1,4,0,0,0,1,1,"","",""
25,71,7686,15,2,0,0,0,1,1,"","",""
26,72,7687,15,4,0,0,0,1,1,"","",""
27,74,7689,16,4,0,0,0,1,1,"","",""
28,75,7690,16,6,0,0,0,1,1,"","",""
29,76,7691,16,8,0,0,0,1,1,"","",""
30,77,7692,16,10,0,0,0,1,1,"","",""
31,78,7693,16,12,0,0,0,1,1,"","",""
32,79,7694,16,14,0,0,0,1,1,"","",""
33,80,7695,16,16,0,0,0,"","","","",""
34,81,7696,16,18,0,0,0,1,1,"","",""
35,82,7697,16,20,0,0,0,1,1,"","",""
36,83,7698,1,5,0,0,0,1,1,"","",""
37,84,7699,14,0,0,0,0,1,1,"","",""
38,85,7700,4,1,0,0,0,1,1,"","",""
39,86,7701,14,2,0,0,0,1,1,"","",""
40,88,7703,14,4,0,0,0,1,1,"","",""
41,89,7704,14,6,0,0,0,1,1,"","",""
42,90,7705,14,8,0,0,0,1,1,"","",""
43,91,7706,14,10,0,0,0,1,1,"","",""
