"rownum","Id","RecipeItems","WorldArea","MicrotransactionPortalVariation","AreaLevel","rid","i32","bool","bool","bool","OpenAchievemnts","bool","i32","[rid]"
0,"Disabled","[7772,7773,7774,7775]",0,"",0,"",1,"","","",[],"",1344,[]
1,"Atziri1","[7700,7701,7702,7703]",756,24,0,"",0,"","","",[],"",1344,[]
2,"Atziri2","[7705,7706,7707,7708]",757,24,0,"",0,"","","",[],"",1344,[]
3,"VaalFragment1_1",[7700],1509,"",72,"",0,"","","",[],1,1344,[]
4,"VaalFragment1_2",[7701],1509,"",70,"",0,"","","",[],1,1344,[]
5,"VaalFragment1_3",[7702],1509,"",71,"",0,"","","",[],1,1344,[]
6,"VaalFragment1_4",[7703],1509,"",69,"",0,"","","",[],1,1344,[]
7,"VaalFragment2_1",[7705],1509,"",74,"",0,"","","",[],1,1344,[]
8,"VaalFragment2_2",[7706],1509,"",76,"",0,"","","",[],1,1344,[]
9,"VaalFragment2_3",[7707],1509,"",75,"",0,"","","",[],1,1344,[]
10,"VaalFragment2_4",[7708],1509,"",73,"",0,"","","",[],1,1344,[]
11,"Disabled2","[7710,7711,7712,7713]",0,"",0,"",0,"","","",[],"",1344,[]
12,"ShapersRealm","[7715,7716,7717,7718]",1250,20,0,"",0,"",1,"",[],"",1344,[]
13,"EldersRealm","[7720,7721,7722,7723]",1288,108,0,"",0,"",1,"",[],"",1344,[]
14,"UberEldersRealm","[7725,7726,7727,7728]",1289,20,0,"",0,"",1,"",[],"",1344,[]
15,"BreachDomainFire",[7736],1063,"",0,"",0,"","","",[],"",1344,[]
16,"BreachDomainCold",[7737],1064,"",0,"",0,"","","",[],"",1344,[]
17,"BreachDomainLightning",[7738],1065,"",0,"",0,"","","",[],"",1344,[]
18,"BreachDomainPhysical",[7739],1061,"",0,"",0,"","","",[],"",1344,[]
19,"BreachDomainChaos",[7740],1062,"",0,"",0,"","","",[],"",1344,[]
20,"ClassicVault",[7776],278,27,0,"",0,"","","",[],"",1344,[]
21,"MaligaroMap",[6374],109,"",0,1282,0,"","","",[],"",1344,[]
22,"340Vault",[7777],279,27,0,"",0,"","","",[],"",1344,[]
