"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasNodeKeys","Tier0","Tier1","Tier2","Tier3","Tier4","f32","f32","f32","f32","f32","DDSFile","bool","NotOnAtlas","i32","i32","i32","i32"
0,1141,8129,"",381,2030,"[35,103,32,1]",5,8,12,16,16,818.427,366.6,186,-28.27,-5.399,"","","",7,9,11,12
1,1142,9308,"",381,2031,[0],5,8,12,16,16,796.203,374.098,44,11.112,-3.749,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaelstromOfChaos.dds","","",7,9,11,12
2,1153,8118,"",390,2042,"[39,90,3]",1,4,8,12,16,555.605,423.461,109,9.678,-13.556,"",1,"",3,5,7,9
3,1154,9484,"",390,2043,[2],1,4,8,12,16,564.142,398.834,47,-4.268,12.314,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/OlmecsSanctum.dds","","",3,5,7,9
4,1143,8126,"",382,2032,"[48,109,97,34,16,5]",4,7,11,15,16,644.077,373.445,209,1.693,9.749,"","","",6,8,10,12
5,1144,12295,"",382,2033,[4],4,7,11,15,16,691.811,388.672,72,-23.867,-7.613,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/HallowedGround.dds","","",6,8,10,12
6,1198,8134,"",426,2085,"[58,32,7]",7,10,14,16,16,798.298,285.225,112,-1.866,-1.929,"","","",9,11,12,13
7,1199,9327,"",426,2086,[6],7,10,14,16,16,824.61,267.751,52,-13.156,8.737,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheCowardsTrial.dds","","",9,11,12,13
8,1151,8098,"",389,2040,"[113,80,94,9]",2,5,9,13,16,375.885,442.036,185,-3.226,-10.737,"","","",4,6,8,10
9,1152,12536,"",389,2041,[8],2,5,9,13,16,355.078,415.604,54,10.404,13.216,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PillarsOfArun.dds","","",4,6,8,10
10,1175,8212,"",406,2063,"[108,69,11]",4,7,11,15,16,210.445,413.85,173,1.81,-7.883,"","","",6,8,10,12
11,1176,12534,"",406,2064,[10],4,7,11,15,16,172.416,380.973,72,19.015,16.439,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheTwilightTemple.dds","","",6,8,10,12
12,1186,8135,"",415,2074,"[100,40,13]",12,15,16,16,16,775.822,155.17,115,-18.063,2.368,"","","",13,14,15,16
13,1187,12294,"",415,2075,[12],12,15,16,16,16,802.291,168.784,50,-13.234,-6.807,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ThePutridCloister.dds","","",13,14,15,16
14,1222,8160,"",446,2108,"[63,56,79,77,15]",12,15,16,16,16,221.048,158.203,190,10.003,0.027,"","","",13,14,15,16
15,1223,9638,"",446,2109,[14],12,15,16,16,16,176.947,162.79,67,22.252,-4.309,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/DeathAndTaxes.dds","","",13,14,15,16
16,1215,8138,"",441,2101,"[39,72,17,4]",3,6,10,14,16,631.769,404.768,109,4.362,11.155,"","","",5,7,9,11
17,1216,9370,"",441,2102,[16],3,6,10,14,16,656.698,425.594,53,-12.464,-10.413,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ActonsNightmare.dds","","",5,7,9,11
18,1170,8131,"",403,2059,"[83,71,68,75,19]",6,9,13,16,16,503.007,300.217,249,-11.451,-13.748,"","","",8,10,12,13
19,1171,9420,"",403,2060,[18],6,9,13,16,16,515.197,275.206,48,-6.095,12.505,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaoKun.dds","","",8,10,12,13
20,1113,8112,"",350,2002,"[52,66,103,21]",3,6,10,14,16,761.834,481.347,216,1.144,-29.671,"","","",5,7,9,11
21,1114,9805,"",350,2003,[20],3,6,10,14,16,814.05,463.017,77,-26.108,9.165,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/WhakawairuaTuahu.dds","","",5,7,9,11
22,1183,8141,"",413,2071,"[86,102,67,38,23]",14,16,16,16,16,463.093,111.757,349,-6.858,-5.605,"","","",15,16,16,16
23,1184,9403,"",413,2072,[22],14,16,16,16,16,516.212,97.845,75,-25.552,7.561,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PoorjoysAsylum.dds","","",15,16,16,16
24,1145,8155,"",383,2034,"[63,61,59,43,25]",10,13,16,16,16,367.92,191.25,153,-3.542,-0.402,"","","",12,13,14,15
25,1221,9424,"",383,2107,[24],10,13,16,16,16,365.957,171.756,40,0.982,9.747,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ObasCursedTrove.dds","","",12,13,14,15
26,1155,8148,"",391,2044,"[95,49,27]",15,16,16,16,16,768.255,96.76,104,-10.307,-6.522,"","","",16,16,16,16
27,1156,11908,"",391,2045,[26],15,16,16,16,16,798.119,95.337,51,-14.932,0.712,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/CaerBlaiddWolfpacksDen.dds","","",16,16,16,16
28,1163,8088,"",398,2052,"[113,33,96,94,29]",4,7,11,15,16,330.811,379.08,141,7.615,-6.371,"","","",6,8,10,12
29,1164,8236,"",398,2053,[28],4,7,11,15,16,359.806,366.509,52,-14.497,6.285,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/VaultsOfAtziri.dds","","",6,8,10,12
30,1167,8144,"",401,2056,"[52,35,103]",5,8,12,16,16,755.799,363.735,181,-2.988,8.615,"","","",7,9,11,12
31,1125,8175,"",366,2014,"[46,86,100]",14,16,16,16,16,646.624,114.636,205,-5.805,-5.224,"","","",15,16,16,16
32,1201,8139,"",428,2088,"[84,0,6]",6,9,13,16,16,801.605,324.315,143,-12.923,-8.308,"","","",8,10,12,13
33,1092,8092,"",328,1981,"[88,65,89,28]",5,8,12,16,16,285.137,348.386,176,-8.556,2.751,"","","",7,9,11,12
34,1157,8147,"",392,2046,"[50,42,4]",5,8,12,16,16,588.923,338.79,148,1.279,4.752,"","","",7,9,11,12
35,1257,8074,"",438,2132,"[84,114,97,30,0]",6,9,13,16,16,722.361,318.505,221,6.238,11.332,"","","",8,10,12,13
36,1100,8223,"",337,1989,"[78,94,112]",2,5,9,13,16,480.945,389.718,148,-23.313,1.105,"","","",4,6,8,10
37,1264,8177,"",359,2137,"[39,72,66]",1,4,8,12,16,596.646,494.201,130,33.795,-28.874,"",1,"",3,5,7,9
38,1267,8101,"",361,2140,"[70,99,105,22]",15,16,16,16,16,341.336,96.483,300,31.092,2.54,"","","",16,16,16,16
39,1197,8130,"",425,2084,"[37,48,2,16]",2,5,9,13,16,605.971,424.133,164,-12.895,0.434,"","","",4,6,8,10
40,1235,8090,"",458,2121,"[51,104,101,12]",11,14,16,16,16,727.006,169.939,166,-8.631,2.244,"","","",12,13,14,15
41,1227,8210,"",450,2113,"[51,58]",9,12,16,16,16,792.311,222.289,91,-18.817,1.624,"","","",11,12,13,14
42,1097,8082,"",334,1986,"[83,71,114,97,34]",6,9,13,16,16,596.249,306.045,221,4.07,8.551,"","","",8,10,12,13
43,1090,8225,"",326,1979,"[106,55,57,24]",9,12,16,16,16,312.204,228.411,200,12.792,-2.457,"","","",11,12,13,14
44,1132,8127,"",372,2021,"[63,102,59,77]",12,15,16,16,16,360.173,144.944,172,-1.006,5.757,"","","",13,14,15,16
