"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name","IsDropDisabled"
0,8236,1164,120,79,"","g","Vaults of Atziri",""
1,9308,1142,171,149,"","Ç","Maelstrom of Chaos",""
2,9327,1199,175,153,"","Å","The Coward's Trial",""
3,9370,1216,177,159,"","Ô","Acton's Nightmare",""
4,9403,1184,207,191,"","ß","Poorjoy's Asylum",""
5,9420,1171,230,209,"","À","Mao Kun",""
6,9424,1221,234,213,"","#","Oba's Cursed Trove",""
7,9484,1154,237,216,"","$","Olmec's Sanctum",""
8,9485,1173,238,217,1,"","Untainted Paradise",""
9,9638,1223,324,303,"","¿","Death and Taxes",""
10,9805,1114,386,394,"","È","Whakawairua Tuahu",""
11,10554,1202,409,417,1,"Ù","Hall of Grandmasters",""
12,10555,1168,610,577,1,"²","The Vinktar Square",""
13,11908,1156,666,806,"","æ","Caer Blaidd, Wolfpack's Den",""
14,11977,1116,723,893,1,"™","The Perandus Manor",1
15,12294,1187,807,1049,"","Õ","The Putrid Cloister",""
16,12295,1144,809,1051,"","Ð","Hallowed Ground",""
17,12530,1253,959,1506,1,"","The Beachhead",""
18,12531,1254,959,1506,1,"","The Beachhead",""
19,12532,1255,959,1506,1,"","The Beachhead",""
20,12534,1176,961,1527,"","^","The Twilight Temple",""
21,12535,1126,965,1528,1,"‹","Doryani's Machinarium",""
22,12536,1152,969,1529,"","›","Pillars of Arun",""
23,13155,454,1189,2151,1,"","Altered Distant Memory",""
24,13156,455,1190,2152,1,"","Augmented Distant Memory",""
25,13157,456,1191,2153,1,"","Twisted Distant Memory",""
26,13158,457,1192,2154,1,"","Rewritten Distant Memory",""
27,13159,453,1193,2155,1,"","Cortex",""
28,12533,1256,1280,1506,1,"","Infused Beachhead",""
29,13160,453,1194,2155,1,"","Cortex",""
30,12537,1152,970,1529,1,"","Pillars of Arun",""
31,9404,1184,208,191,1,"","Poorjoy's Asylum",""
32,13845,1759,1408,1784,1,"","The Tower of Ordeals",1
