"rownum","MonsterVarietiesKey","BestiaryGroupsKey","rid","bool","string","string","rid","rid","bool","i32","i32","bool","i32","bool"
0,105,3,10,"","","","",0,"",-16843010,-16843010,"",1344,1
1,107,3,10,"","","","",0,"",-16843010,-16843010,"",1344,1
2,108,3,10,"","","","",0,"",1,0,"",1344,1
3,121,3,10,"","","","",0,"",-16843010,-16843010,"",1344,1
4,122,3,10,"","","","",0,"",-16843010,-16843010,"",1344,1
5,123,3,10,"","","","",0,"",-16843010,-16843010,"",1344,1
6,124,3,10,"","","","",0,"",-16843010,-16843010,"",1344,1
7,125,3,10,"","","","",0,"",-16843010,-16843010,"",1344,1
8,129,3,10,"","","","",0,"",-16843010,-16843010,"",1344,1
9,133,3,10,"","","",125,0,"",7,0,1,1344,""
10,140,3,10,"","","","",0,"",-16843010,-16843010,"",1344,1
11,141,3,10,"","","","",0,"",-16843010,-16843010,"",1344,1
12,220,1,6,"","","","",1,"",-16843010,-16843010,"",1344,1
13,221,1,6,"","","","",1,"",-16843010,-16843010,1,1344,""
14,223,1,6,"","","","",1,"",-16843010,-16843010,"",1344,1
15,234,1,6,"","","","",1,"",-16843010,-16843010,1,1344,""
16,235,1,6,"","","","",1,"",-16843010,-16843010,"",1344,1
17,236,1,6,"","","","",1,"",16,0,"",1344,1
18,237,1,6,"","","","",1,"",15,0,"",1344,1
19,262,1,6,"","","","",2,"",-16843010,-16843010,"",1344,1
20,273,1,6,"","","","",2,"",-16843010,-16843010,"",1344,1
21,274,1,6,"","","","",2,"",-16843010,-16843010,"",1344,1
22,276,1,6,"","","","",2,"",-16843010,-16843010,"",1344,1
23,277,1,6,"","","","",2,"",-16843010,-16843010,"",1344,1
24,278,1,6,"","","","",2,"",23,0,"",1344,1
25,279,1,6,"","","","",1,"",-16843010,-16843010,"",1344,1
26,280,1,6,"","","","",1,"",-16843010,-16843010,"",1344,1
27,302,2,7,"","","","",4,"",-16843010,-16843010,"",1344,1
28,303,2,7,"","","","",4,"",-16843010,-16843010,"",1344,1
29,304,2,7,"","","","",4,"",-16843010,-16843010,"",1344,1
30,306,2,7,"","","","",4,"",-16843010,-16843010,1,1344,""
31,319,0,1,"","","","",3,"",-16843010,-16843010,1,1344,""
32,322,0,1,"","","","",3,"",-16843010,-16843010,"",1344,1
33,326,0,1,"","","","",3,"",-16843010,-16843010,"",1344,1
34,327,0,1,"","","","",3,"",-16843010,-16843010,"",1344,1
35,330,0,2,"","","","",3,"",-16843010,-16843010,"",1344,1
36,333,0,2,"","","","",3,"",-16843010,-16843010,"",1344,1
37,335,0,1,"","","","",3,"",-16843010,-16843010,"",1344,1
38,337,0,1,"","","","",3,"",37,0,"",1344,1
39,343,0,1,"","","","",3,"",-16843010,-16843010,"",1344,1
40,345,0,1,"","","",343,3,"",39,0,1,1344,""
41,346,0,1,"","","",343,3,"",39,0,1,1344,""
42,347,0,1,"","","",343,3,"",39,0,1,1344,""
43,349,1,5,"","","","",5,"",-16843010,-16843010,"",1344,1
44,352,1,5,"","","","",5,"",-16843010,-16843010,"",1344,1
45,353,1,5,"","","","",5,"",44,0,"",1344,1
46,354,1,5,"","","","",5,"",-16843010,-16843010,"",1344,1
47,360,1,5,"","","","",5,"",-16843010,-16843010,"",1344,1
48,361,1,5,"","","","",5,"",47,0,"",1344,1
49,362,1,4,"","","","",28,"",-16843010,-16843010,"",1344,1
50,366,1,4,"","","","",28,"",-16843010,-16843010,"",1344,1
51,367,1,4,"","","","",28,"",-16843010,-16843010,"",1344,1
52,373,1,4,"","","","",28,"",-16843010,-16843010,"",1344,1
53,374,1,4,"","","","",28,"",52,0,"",1344,1
54,376,1,5,"","","","",5,"",-16843010,-16843010,"",1344,1
55,378,1,5,"","","","",5,"",-16843010,-16843010,"",1344,1
56,429,5,16,"","","","",6,"",-16843010,-16843010,"",1344,1
57,430,5,16,"","","","",6,"",-16843010,-16843010,1,1344,""
58,437,5,16,"","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/AlbinoRhoa","Art/2DArt/UIImages/InGame/Bestiary/ItemIcons/AlbinoRhoa","",6,"",-16843010,-16843010,1,1344,""
59,439,5,16,"","","","",6,"",-16843010,-16843010,"",1344,1
60,440,5,16,"","","","",6,"",-16843010,-16843010,"",1344,1
