"rownum","Id","HeistAreasKey","i32","i32","DGRFile","i32","i32","bool","i32","i32","i32"
0,"Bunker_Arcade1",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Arcade/Graphs/_arcade_bunker_1.dgr",7,1,1,1,3,3
1,"Bunker_Arcade2",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Arcade/Graphs/_arcade_bunker_2.dgr",7,1,1,2,3,3
2,"Bunker_Arcade3",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Arcade/Graphs/_arcade_bunker_3.dgr",7,1,1,3,3,3
3,"Bunker_Arcade4",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Arcade/Graphs/_arcade_bunker_4.dgr",7,1,1,4,3,3
4,"Bunker_Canals1",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Canals/Graphs/_canals_bunker_1.dgr",7,3,1,1,3,3
5,"Bunker_Canals2",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Canals/Graphs/_canals_bunker_2.dgr",7,3,1,2,3,3
6,"Bunker_Canals3",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Canals/Graphs/_canals_bunker_3.dgr",7,3,1,3,3,3
7,"Bunker_Canals4",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Canals/Graphs/_canals_bunker_4.dgr",7,3,1,4,3,3
8,"Bunker_Cellar1",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Cellar/Graphs/_cellar_bunker_1.dgr",7,3,1,1,3,3
9,"Bunker_Cellar2",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Cellar/Graphs/_cellar_bunker_2.dgr",7,3,1,2,3,3
10,"Bunker_Cellar3",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Cellar/Graphs/_cellar_bunker_3.dgr",7,3,1,3,3,3
11,"Bunker_Cellar4",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Cellar/Graphs/_cellar_bunker_4.dgr",7,3,1,4,3,3
12,"Bunker_Fungal1",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/FungalCavern/Graphs/_fungal_bunker_1.dgr",7,3,1,1,2,1
13,"Bunker_Fungal2",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/FungalCavern/Graphs/_fungal_bunker_2.dgr",7,3,1,2,2,2
14,"Bunker_Fungal3",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/FungalCavern/Graphs/_fungal_bunker_3.dgr",7,3,1,3,2,3
15,"Bunker_Fungal4",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/FungalCavern/Graphs/_fungal_bunker_4.dgr",7,3,1,4,3,3
16,"Bunker_Ossuary1",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Ossuary/Graphs/_ossuary_bunker_1.dgr",7,3,1,1,3,2
17,"Bunker_Ossuary2",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Ossuary/Graphs/_ossuary_bunker_2.dgr",7,3,1,2,3,2
18,"Bunker_Ossuary3",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Ossuary/Graphs/_ossuary_bunker_3.dgr",7,3,1,3,3,2
19,"Bunker_Ossuary4",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Ossuary/Graphs/_ossuary_bunker_4.dgr",7,3,1,4,3,2
20,"Bunker_Park1",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Park/Graphs/_park_bunker_1.dgr",7,3,1,1,5,4
21,"Bunker_Park2",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Park/Graphs/_park_bunker_2.dgr",7,3,1,2,5,4
22,"Bunker_Park3",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Park/Graphs/_park_bunker_3.dgr",7,3,1,3,5,4
23,"Bunker_Park4",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Park/Graphs/_park_bunker_4.dgr",7,3,1,4,5,4
24,"Bunker_Sacntum1",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Sanctum/Graphs/_sanctum_bunker_1.dgr",7,3,1,1,3,2
25,"Bunker_Sacntum2",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Sanctum/Graphs/_sanctum_bunker_2.dgr",7,3,1,2,3,2
26,"Bunker_Sacntum3",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Sanctum/Graphs/_sanctum_bunker_3.dgr",7,3,1,3,3,2
27,"Bunker_Sacntum4",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Sanctum/Graphs/_sanctum_bunker_4.dgr",7,3,1,4,3,2
28,"Bunker_Sewers1",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Sewers/Graphs/_sewers_bunker_1.dgr",7,3,1,1,3,2
29,"Bunker_Sewers2",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Sewers/Graphs/_sewers_bunker_2.dgr",7,3,1,2,3,2
30,"Bunker_Sewers3",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Sewers/Graphs/_sewers_bunker_3.dgr",7,3,1,3,3,2
31,"Bunker_Sewers4",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Sewers/Graphs/_sewers_bunker_4.dgr",7,3,1,4,3,2
32,"Bunker_Wildgrowth1",0,0,100,"Metadata/Terrain/Leagues/Heist/Intros/Wildgrowth/Graphs/_wildgrowth_bunker_1.dgr",7,3,1,1,3,3
