"rownum","Width","Height","i32","Item"
0,1,1,0,5250
1,1,2,0,5251
2,1,3,0,5252
3,1,4,0,5253
4,2,1,0,5254
5,2,2,0,5255
6,2,3,0,5256
7,2,4,0,5257
8,3,1,0,5260
9,3,2,0,5258
10,3,3,0,5259
11,4,1,0,5261
12,1,1,1,5284
13,1,2,1,5285
14,1,3,1,5286
15,1,4,1,5287
16,2,1,1,5288
17,2,2,1,5289
18,2,3,1,5290
19,2,4,1,5291
20,3,1,1,5293
21,3,2,1,5292
22,4,1,1,5294
23,1,1,2,5262
24,1,2,2,5263
25,1,3,2,5264
26,1,4,2,5265
27,2,1,2,5266
28,2,2,2,5267
29,2,3,2,5268
30,2,4,2,5269
31,3,2,2,5270
32,3,1,2,5271
33,4,1,2,5272
34,1,1,3,5273
35,1,2,3,5274
36,1,3,3,5275
37,1,4,3,5276
38,2,1,3,5277
39,2,2,3,5278
40,2,3,3,5279
41,2,4,3,5280
42,3,2,3,5281
43,3,1,3,5282
44,4,1,3,5283
