"rownum","rid","rid","i32"
0,9316,4551,241092318
1,9775,4552,-689546065
2,9778,4553,-325229012
3,11918,4554,-1063459755
4,11139,4555,75060906
5,12155,4556,-1546708750
6,10569,4557,-662122049
7,12153,4558,-1222371971
8,11234,4559,-1473032832
9,9563,4560,-1989133468
10,12152,4561,-1868712728
11,11122,4562,359955857
12,11117,4563,1311467939
13,11889,4564,-974544988
14,10567,4565,-829142474
15,11237,4566,1238657137
16,10566,4567,1556548718
17,12151,4568,898977981
18,12150,4569,1852863866
19,12154,4570,-1926555720
20,11152,4571,-1097381000
21,11137,4572,-447349213
22,11887,4573,-1707305483
23,11151,4574,1881520832
24,9318,4575,809946488
25,9511,4576,-161837024
26,11239,4577,1438706210
27,11916,4578,-1810728202
28,11120,4579,79690690
29,11842,4580,1470875728
30,9323,4581,-1454885063
31,11917,4582,-1136793470
32,12156,4583,-845083795
33,11845,4584,-1617665736
34,9507,4585,1589443200
35,9562,4586,217182782
36,11153,4587,-1054218304
37,9325,4588,-1934913649
38,9317,4589,-2144854266
39,11235,4590,-961543441
40,10565,4591,-10258181
41,9781,4592,178471226
42,9818,4593,-679831597
43,9631,4594,-551198725
44,7253,4595,823943942
45,9782,4596,1695138765
46,9667,4597,1042835715
47,11914,4598,-1187591138
48,11118,4599,-1804003392
49,11135,4600,2144048919
50,9633,4601,2105666940
51,11179,4602,-833557100
52,9568,4603,2019732113
53,9328,4604,-1298118145
54,9811,4605,-1836970706
55,9626,4606,179196667
56,9660,4607,-1209413694
57,9621,4608,-1352400808
58,9668,4609,-1582580517
59,9666,4610,-320557881
60,9624,4611,1998717565
61,9510,4612,-1696045501
62,9780,4613,581689
63,9618,4614,-994766805
64,11841,4615,1121449463
65,9813,4616,988602414
66,9784,4617,-1890125108
67,9622,4618,1670272265
68,9814,4619,1061245871
69,9634,4620,-1563579594
70,9623,4621,-837436368
71,9664,4622,-1313379392
72,9630,4623,591994908
73,11149,4624,-651769882
74,9817,4625,-1624983573
75,9810,4626,-1899326666
76,9815,4627,1064830047
77,9627,4628,1606123339
78,9665,4629,-886237039
79,9321,4630,757782947
80,9663,4631,-1647971224
81,11886,4632,-1980116762
82,9816,4633,2137168354
83,11913,4634,-1869137618
84,9776,4635,-373197846
85,11119,4636,-886386091
86,9571,4637,-875129113
87,9635,4638,-526910390
88,9661,4639,-823223660
89,9808,4640,-1175504486
90,9570,4641,1281500251
91,9809,4642,-2011908844
92,9319,4643,354591994
93,11134,4644,1894967284
94,10568,4645,1053791753
95,11238,4646,267878817
96,11138,4647,-1384579337
97,11888,4648,-137543231
98,9569,4649,1681370264
99,11884,4650,1527329667
100,9311,4651,1321370010
101,9779,4652,1282291954
102,9669,4653,-244634798
103,9619,4654,-1904121572
104,9320,4655,-1292623951
105,9322,4656,1412694076
106,11885,4657,1097432357
107,11840,4658,269078685
108,10564,4659,1939001032
109,9516,4660,-236396037
110,11915,4661,-1542459129
111,9513,4662,355093100
112,11150,4663,-244270725
113,11236,4664,2020276108
114,9625,4665,791923414
115,11843,4666,-152564983
116,9662,4667,845586367
117,11148,4668,1030607070
118,9314,4669,1428447258
119,9515,4670,1662453964
120,9509,4671,1086159006
121,9508,4672,-1243592460
122,9512,4673,1720992431
123,12299,4674,656298985
124,12300,4675,582388939
125,9514,4676,-1330428925
126,11136,4677,10691341
127,11844,4678,-755425869
128,9313,4679,-1442511853
129,9315,4680,1506993028
130,9567,4681,670027263
131,9620,4682,893483974
132,9783,4683,556899756
133,9312,4684,948244203
134,9566,4685,309564985
135,9632,4686,644717207
136,9812,4687,201423924
137,11121,4688,-425516541
138,9564,4689,1890357588
139,9565,4690,-1603423061
140,9324,4691,788156195
141,9777,4692,-1957681611
142,13743,4693,2045753637
143,7267,4694,-128896791
144,7663,4695,1955122677
145,7231,4696,962398136
146,7370,4697,577143885
147,7448,4698,918643125
148,9219,4699,229705408
149,11232,4700,-1063709812
150,11319,4701,1730251011
151,9629,4702,1218467030
152,9220,4703,-1450684016
153,9671,4704,-829065843
154,11320,4705,615496637
155,10570,4706,951233410
156,11233,4707,-1970844477
157,7449,4708,700761527
158,7371,4709,998675723
159,9785,4710,-1986309304
