"rownum","rid","i32","i32","rid","bool","string","bool","rid","bool","bool","bool","bool"
0,0,0,0,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingRing/TrackingRingFootstepsIcon",1,"","","","",""
1,1,0,1,11,1,"","","","","","",""
2,1,1,2,17,1,"","","","","","",""
3,1,2,3,12,1,"","","","","","",""
4,1,3,4,16,1,"","","","","","",""
5,1,4,5,8,1,"","","","","","",""
6,1,5,6,7,1,"","","","","","",""
7,1,6,7,2,1,"","","","","","",""
8,1,7,8,15,1,"","","","","","",""
9,1,8,9,32,1,"","","","","","",""
10,1,9,10,33,1,"","","","","","",""
11,1,10,11,29,1,"","","","","","",""
12,1,11,12,31,1,"","","","","","",""
13,1,12,13,30,1,"","","","","","",""
14,1,13,14,9,1,"","","","","","",""
15,1,14,15,13,1,"","","","","","",""
16,1,15,16,38,1,"","","","","","",""
17,1,16,17,12274,"","","","","","","",""
18,1,17,18,34,1,"","","","","","",""
19,1,18,19,6,1,"","","","","","",""
20,2,0,20,"",1,"Art/2DArt/UIImages/InGame/MTX/KrampusTradeWindow/KrampusPlayerTradeIcon","","","","","",""
21,3,0,21,"",1,"","","","","","",""
22,3,1,22,"",1,"","","","","","",""
23,3,2,23,"",1,"","","","","","",""
24,3,3,24,"",1,"","","","","","",""
25,3,4,25,"",1,"","","","","","",""
26,3,5,26,"",1,"","","","","","",""
27,3,6,27,"",1,"","","","","","",""
28,3,7,28,"",1,"","","","","","",""
29,3,8,29,"",1,"","","","","","",""
30,3,9,30,"",1,"","","","","","",""
31,3,10,21,"",1,"","","",1,"","",""
32,3,11,22,"",1,"","","",1,"","",""
33,3,12,23,"",1,"","","",1,"","",""
34,3,13,24,"",1,"","","",1,"","",""
35,3,14,25,"",1,"","","",1,"","",""
36,3,15,26,"",1,"","","",1,"","",""
37,3,16,27,"",1,"","","",1,"","",""
38,3,17,28,"",1,"","","",1,"","",""
39,3,18,29,"",1,"","","",1,"","",""
40,3,19,30,"",1,"","","",1,"","",""
41,4,0,31,"",1,"","","","","","",""
42,4,1,32,"",1,"","","","","","",""
43,4,2,31,"",1,"","","",1,"","",""
44,4,3,32,"",1,"","","",1,"","",""
