"rownum","BaseItemType","SkillsGranted","IsWeapon"
0,1883,[296],1
1,1884,[382],1
2,1885,[381],1
3,1886,[39],1
4,1887,[4],1
5,1888,[130],1
6,1889,[327],1
7,1890,[120],1
8,1891,[296],1
9,1892,[296],1
10,1893,[296],1
11,1894,[78],1
12,1895,[296],1
13,1896,[308],1
14,1897,[323],1
15,1898,[200],1
16,1899,[308],1
17,1900,[388],1
18,1901,[116],1
19,1902,[104],1
20,1903,[121],1
21,1904,[308],1
22,1905,[204],1
23,1906,[25],1
24,1907,[180],1
25,1908,[84],1
26,2190,[319],""
27,2191,[319],""
28,2192,[319],""
29,2193,[319],""
30,2194,[319],""
31,2195,[319],""
32,2196,[319],""
33,2197,[319],""
34,2198,[319],""
35,2199,[319],""
36,2200,[319],""
37,2201,[319],""
38,2202,[319],""
39,2203,[319],""
40,2204,[319],""
41,2205,[319],""
42,2206,[319],""
43,2207,[319],""
44,2208,[319],""
45,2209,[319],""
46,2210,[319],""
47,2211,[319],""
48,2212,[319],""
49,2213,[319],""
50,2214,[319],""
51,2215,[319],""
52,2216,[319],""
53,2217,[319],""
54,2218,[319],""
55,2219,[319],""
56,2220,[319],""
57,2221,[319],""
58,2222,[319],""
59,2223,[319],""
60,2224,[319],""
61,2539,[319],""
62,2540,[319],""
63,2541,[319],""
64,2542,[319],""
65,2543,[319],""
66,2544,[319],""
67,2545,[319],""
68,2546,[319],""
69,2547,[319],""
70,2548,[319],""
71,2549,[319],""
72,2550,[319],""
73,2551,[319],""
74,2552,[319],""
75,2553,[319],""
76,2554,[319],""
77,2555,[319],""
78,2556,[319],""
79,2643,[319],""
80,2644,[319],""
81,2645,[319],""
82,2646,[319],""
83,2647,[319],""
84,2648,[319],""
85,2649,[319],""
86,2650,[319],""
87,2651,[319],""
88,1935,[360],1
89,1936,[41],1
90,1937,[360],1
91,1938,[385],1
92,1939,[360],1
93,1940,[58],1
94,1941,[59],1
95,1942,[60],1
96,1943,[360],1
97,1944,[360],1
98,1945,[360],1
99,1946,[360],1
100,1947,[360],1
101,1948,[360],1
102,1949,[360],1
103,2225,[729],""
104,2226,[729],""
105,2227,[729],""
106,2228,[729],""
107,2229,[729],""
108,2230,[729],""
109,2231,[729],""
110,2232,[729],""
111,2233,[729],""
112,2234,[729],""
113,2235,[729],""
114,2236,[729],""
115,2237,[729],""
116,2557,[729],""
117,2558,[729],""
118,2559,[729],""
119,2560,[729],""
120,2561,[729],""
121,2562,[729],""
122,2652,[729],""
123,2653,[729],""
124,2654,[729],""
