"rownum","MonsterVarietiesKey","rid","rid","rid","rid","rid","rid","rid","rid","[i32]","rid","rid","rid","rid","rid"
0,1768,"","","","","","","","",[1],9,"","","",""
1,1769,"","","","","","","","",[1],9,"","","",""
2,1770,"","","","","","","","",[2],12,"","","",""
3,1771,"","","","","","","","",[2],12,"","","",""
4,1774,"","","","","","","","",[3],10,"","","",""
5,1775,"","","","","","","","",[3],10,"","","",""
6,1776,"","","","","","","","",[3],11,"","","",""
7,1777,"","","","","","","","",[3],11,"","","",""
8,1779,"","","","","","","","","[1,2]",17,"","","",""
9,1780,"","","","","","","","","[1,2]",17,"","","",""
10,1783,"","","","","","","","","[2,3]",19,"","","",""
11,1784,"","","","","","","","","[2,3]",19,"","","",""
