"rownum","BaseItemTypesKey","bool","[rid]"
0,17,"",[]
1,0,"",[]
2,3,"",[]
3,11,"",[]
4,18,"",[]
5,30,"",[]
6,31,"",[]
7,32,"",[]
8,33,"",[]
9,118,"",[]
10,119,"",[]
11,120,"",[]
12,121,"",[]
13,122,"",[]
14,123,"",[]
15,124,"",[]
16,125,"",[]
17,126,"",[]
18,127,"",[]
19,12,"",[]
20,13,"",[]
21,8,"",[]
22,9,"",[]
23,21,"",[]
24,22,"",[]
25,10,1,[]
26,14,1,[]
27,28,1,[]
28,47,1,[]
29,20,1,[]
30,23,"",[]
31,452,1,[]
32,111,1,[]
33,419,1,[]
34,420,1,[]
35,421,1,[]
36,422,1,[]
37,423,1,[]
38,424,1,[]
39,425,1,[]
40,107,1,[373]
41,108,1,[373]
42,104,1,[373]
43,105,1,[373]
44,106,1,[373]
