"rownum","Id","StashId","Id2","i32","i32","i32","i32","[i32]"
0,"NormalStash",0,"NormalStash",12,12,63,0,"[0,7471184,7143525,7667817,5439597,6357108,6815859,0,7471188,6553697,5439589,6357108,6815859,0,7667779,7471218,7209061,7929955,7602259,7536737,104,5570560,6881390,7667825,5439589,6357108,6815859,0,6357069,5439600,6357108,6815859,0,6815828]"
1,"PremiumStash",1,"PremiumStash",12,12,63,0,"[0,7471184,7143525,7667817,5439597,6357108,6815859,0,7471188,6553697,5439589,6357108,6815859,0,7667779,7471218,7209061,7929955,7602259,7536737,104,5570560,6881390,7667825,5439589,6357108,6815859,0,6357069,5439600,6357108,6815859,0,6815828]"
2,"TradeStash",2,"TradeStash",12,12,63,0,"[0,7471184,7143525,7667817,5439597,6357108,6815859,0,7471188,6553697,5439589,6357108,6815859,0,7667779,7471218,7209061,7929955,7602259,7536737,104,5570560,6881390,7667825,5439589,6357108,6815859,0,6357069,5439600,6357108,6815859,0,6815828]"
3,"CurrencyStash",3,"CurrencyStash",42,4,18,0,"[0,7471184,7143525,7667817,5439597,6357108,6815859,0,7471188,6553697,5439589,6357108,6815859,0,7667779,7471218,7209061,7929955,7602259,7536737,104,5570560,6881390,7667825,5439589,6357108,6815859,0,6357069,5439600,6357108,6815859,0,6815828]"
4,"UniqueStash",4,"UniqueStash",126,4,24,0,"[0,7471184,7143525,7667817,5439597,6357108,6815859,0,7471188,6553697,5439589,6357108,6815859,0,7667779,7471218,7209061,7929955,7602259,7536737,104,5570560,6881390,7667825,5439589,6357108,6815859,0,6357069,5439600,6357108,6815859,0,6815828]"
5,"MapStash",5,"MapStash",12,8,23,0,"[6815828,2097253,6357069,2097264,7602259,7536737,2097256,7536745,7208992,7602287,6488096,7471221,6619250,7602286,7929964,7536672,7340149,7274608,7602290,6553701,6881312,2097262,6815860,7536745,6750240,7143521,2097253,6619254,7536754,7274601,2883694,6422560,7602293,6881312]"
6,"DivinationCardStash",6,"DivinationCardStash",0,1,20,1,"[6815828,2097253,6881348,6881398,6357102,6881396,7209071,4390944,7471201,2097252,7602259,7536737,2097256,7536745,6488096,7471221,6619250,7602286,7929964,7208992,7602287,7536672,7340149,7274608,7602290,6553701,6881312,2097262,6815860,7536745,6750240,7143521,2097253,6619254]"
7,"QuadStash",7,"QuadStash",24,24,63,0,"[0,7471184,7143525,7667817,5439597,6357108,6815859,0,7471188,6553697,5439589,6357108,6815859,0,7667779,7471218,7209061,7929955,7602259,7536737,104,5570560,6881390,7667825,5439589,6357108,6815859,0,6357069,5439600,6357108,6815859,0,6815828]"
8,"EssenceStash",8,"EssenceStash",34,4,21,0,"[6815828,2097253,7536709,6619251,6488174,2097253,7602259,7536737,2097256,7536745,6488096,7471221,6619250,7602286,7929964,7208992,7602287,7536672,7340149,7274608,7602290,6553701,6881312,2097262,6815860,7536745,6750240,7143521,2097253,6619254,7536754,7274601,3014766,0]"
9,"FragmentStash",9,"FragmentStash",1,1,22,1,"[6815828,2097253,7471174,6750305,6619245,7602286,5439520,6357108,6815859,6881312,2097267,7667811,7471218,7209061,7078004,2097273,7274606,2097268,7667827,7340144,7471215,6619252,2097252,7209065,7602208,6881384,2097267,6357095,6619245,7733280,7471205,6881395,7209071,46]"
10,"PCBangPremiumStash",10,"PCBangPremiumStash",12,12,63,0,"[0,7471184,7143525,7667817,5439597,6357108,6815859,0,7471188,6553697,5439589,6357108,6815859,0,7667779,7471218,7209061,7929955,7602259,7536737,104,5570560,6881390,7667825,5439589,6357108,6815859,0,6357069,5439600,6357108,6815859,0,6815828]"
11,"PCBangEssenceStash",11,"PCBangEssenceStash",34,4,21,0,"[0,7471184,7143525,7667817,5439597,6357108,6815859,0,7471188,6553697,5439589,6357108,6815859,0,7667779,7471218,7209061,7929955,7602259,7536737,104,5570560,6881390,7667825,5439589,6357108,6815859,0,6357069,5439600,6357108,6815859,0,6815828]"
12,"DelveStash",12,"DelveStash",41,4,27,1,"[6815828,2097253,6619204,7733356,2097253,7602259,7536737,2097256,7536745,6488096,7471221,6619250,7602286,7929964,7208992,7602287,7536672,7340149,7274608,7602290,6553701,6881312,2097262,6815860,7536745,6750240,7143521,2097253,6619254,7536754,7274601,3014766,0,7077954]"
13,"BlightStash",13,"BlightStash",66,4,31,1,"[6815828,2097253,7077954,6750313,7602280,5439520,6357108,6815859,6488096,7471221,6619250,7602286,7929964,6881312,2097267,7274606,2097268,7667827,7340144,7471215,6619252,2097252,7209065,7602208,6881384,2097267,6357095,6619245,7733280,7471205,6881395,7209071,46,5046272]"
14,"MetamorphStash",14,"MetamorphStash",14,1,33,1,"[6815828,2097253,7077973,6881396,6357101,7667828,2097261,7602259,7536737,2097256,7667811,7471218,7209061,7078004,2097273,7536745,7208992,7602287,7536672,7340149,7274608,7602290,6553701,6881312,2097262,6815860,7536745,6750240,7143521,2097253,6619254,7536754,7274601,3014766]"
15,"DeliriumStash",15,"DeliriumStash",40,1,30,0,"[0,7471184,7143525,7667817,5439597,6357108,6815859,0,7471188,6553697,5439589,6357108,6815859,0,7667779,7471218,7209061,7929955,7602259,7536737,104,5570560,6881390,7667825,5439589,6357108,6815859,0,6357069,5439600,6357108,6815859,0,6815828]"
16,"Folder",16,"Folder",0,0,63,0,"[0,7471184,7143525,7667817,5439597,6357108,6815859,0,7471188,6553697,5439589,6357108,6815859,0,7667779,7471218,7209061,7929955,7602259,7536737,104,5570560,6881390,7667825,5439589,6357108,6815859,0,6357069,5439600,6357108,6815859,0,6815828]"
17,"FlaskStash",17,"FlaskStash",250,4,46,0,"[0,7471184,7143525,7667817,5439597,6357108,6815859,0,7471188,6553697,5439589,6357108,6815859,0,7667779,7471218,7209061,7929955,7602259,7536737,104,5570560,6881390,7667825,5439589,6357108,6815859,0,6357069,5439600,6357108,6815859,0,6815828]"
18,"GemStash",18,"GemStash",250,2,47,0,"[0,7471184,7143525,7667817,5439597,6357108,6815859,0,7471188,6553697,5439589,6357108,6815859,0,7667779,7471218,7209061,7929955,7602259,7536737,104,5570560,6881390,7667825,5439589,6357108,6815859,0,6357069,5439600,6357108,6815859,0,6815828]"
19,"SocketableStash",19,"SocketableStash",1,1,60,2,"[0,7471184,7143525,7667817,5439597,6357108,6815859,0,7471188,6553697,5439589,6357108,6815859,0,7667779,7471218,7209061,7929955,7602259,7536737,104,5570560,6881390,7667825,5439589,6357108,6815859,0,6357069,5439600,6357108,6815859,0,6815828]"
20,"ExpeditionStash",20,"ExpeditionStash",1,1,61,2,"[0,7471184,7143525,7667817,5439597,6357108,6815859,0,7471188,6553697,5439589,6357108,6815859,0,7667779,7471218,7209061,7929955,7602259,7536737,104,5570560,6881390,7667825,5439589,6357108,6815859,0,6357069,5439600,6357108,6815859,0,6815828]"
21,"RitualStash",21,"RitualStash",1,1,62,2,"[0,7471184,7143525,7667817,5439597,6357108,6815859,0,7471188,6553697,5439589,6357108,6815859,0,7667779,7471218,7209061,7929955,7602259,7536737,104,5570560,6881390,7667825,5439589,6357108,6815859,0,6357069,5439600,6357108,6815859,0,6815828]"
