"rownum","MTX","TierThresholds","rid","[i32]","rid","TierCount","[rid]","[i32]","[i32]","bool","bool","rid","bool"
0,3482,"[0,10000,500000,2000000]",15560,[],"",4,[],[],[],1,"","",""
1,3490,"[0,150,500,1000,1500]",561,[],562,5,[],[],[],"","","",""
2,3489,"[0,150,500,1000,1500]",564,[],565,5,[],[],[],"","","",""
3,3553,"[74,75]",298,[],140,2,[],[],[],"","","",""
4,3552,"[74,75]",299,[],138,2,[],[],[],"","","",""
5,3554,"[74,75]",300,[],142,2,[],[],[],"","","",""
6,3555,"[74,75]",15480,[],135,2,[],[],[],"","","",""
7,3494,"[0,25,50,100,200,250,325]",235,[],171,7,[],[],[],"","","",""
8,3495,"[0,25,50,100,200,250,325]",235,[],171,7,[],[],[],"","","",""
9,3496,"[0,25,50,100,200,250,325]",235,[],171,7,[],[],[],"","","",""
10,3497,"[0,25,50,100,200,250,325]",235,[],171,7,[],[],[],"","","",""
11,3498,"[0,25,50,100,200,250,325]",235,[],171,7,[],[],[],"","","",""
12,3508,"[0,1,3,7,13,25,30]",15628,[],"",7,[],[],[],"","","",""
13,3509,"[0,1,3,7,13,25,30]",15628,[],"",7,[],[],[],"","","",""
14,3510,"[0,1,3,7,13,25,30]",15628,[],"",7,[],[],[],"","","",""
15,3511,"[0,1,3,7,13,25,30]",15628,[],"",7,[],[],[],"","","",""
16,3512,"[0,1,3,7,13,25,30]",15628,[],"",7,[],[],[],"","","",""
17,3499,"[0,20,30]",15626,[],"",3,[],[],[],"","","",""
18,3500,"[0,20,30]",15626,[],"",3,[],[],[],"","","",""
19,3501,"[0,20,30]",15626,[],"",3,[],[],[],"","","",""
20,3502,"[0,20,30]",15626,[],"",3,[],[],[],"","","",""
21,3524,"[0,1,3,5,7,9,11,12]",15703,[],"",8,[],[],[],"","","",""
22,3525,"[0,1,3,5,7,9,11,12]",15703,[],"",8,[],[],[],"","","",""
23,3526,"[0,1,3,5,7,9,11,12]",15703,[],"",8,[],[],[],"","","",""
24,3527,"[0,1,3,5,7,9,11,12]",15703,[],"",8,[],[],[],"","","",""
25,3544,"[0,1,5,10]",15679,[],"",4,[],[],[],"","","",""
