"rownum","CharacterToOverrideFor","SkillToOverride","Override"
0,1,2495,4188
1,1,2492,4189
2,1,3999,4190
3,1,3998,4191
4,1,3989,3991
5,1,2929,4192
6,1,2930,4193
7,1,2700,2912
8,1,2729,2915
9,1,2739,2404
10,1,2771,2407
11,1,2783,2868
12,1,2811,2871
13,1,3020,2450
14,1,3003,2451
15,1,1342,2453
16,1,1332,2457
17,1,1347,2454
18,1,1338,3036
19,1,1337,3037
20,8,3957,4546
21,8,3964,4547
22,8,3950,4548
23,8,3956,4549
24,8,3958,4550
25,8,3959,4551
26,8,3988,4552
27,8,3965,4553
28,8,3919,4554
29,8,1713,4555
30,8,1714,4556
31,8,1715,4557
32,8,2643,4558
33,8,3176,4559
34,8,3177,4560
35,8,3186,4561
36,8,3917,4562
37,8,3918,4563
