"rownum","Id","Description","SetId","Objective","HASH16","bool","HideAchievementItems","bool","MinCompletedItems","TwoColumnLayout","ShowItemCompletionsAsOne","string","SoftcoreOnly","HardcoreOnly","bool","string","string","string"
0,"KillExiles","Slay the Rogue Exiles",1,"Hostile rogue exiles roam Wraeclast in the Anarchy league. Slay all 13 to complete this challenge. Everyone in the area will receive credit for the kill.",9678,"","","",0,1,"","","","","","","",""
1,"FindUniques","Own these Unique Items",1,"Own 90 specific Unique items to complete this challenge. Note that if you trade any away, the challenge will un-complete until you obtain the item again. Uniques in both Anarchy and Onslaught leagues are counted for this challenge.",-2624,"","","",0,1,"","","","","","","",""
2,"UseCurrency","Use these Currency Items",1,"Use the following 23 currency items in either Anarchy or Onslaught.",-689,"","","",0,1,"","","","","","","",""
3,"60AllClasses","Reach Level 60 in Onslaught",1,"Attain character level 60 with each class in the Onslaught league. This challenge still counts even if a character dies after reaching level 60.",3360,"","","",0,1,"","","","","","","",""
4,"AllRecipes","Items from Vendor Recipes",1,"Complete vendor recipes in either Anarchy or Onslaught to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",7250,"","","",0,1,"","","","","","","",""
5,"AllMaps","Use each Map",1,"This challenge tracks which Maps are used by you in the Map Device in either Anarchy or Onslaught. It does not count Maps that you join, just ones you create.",22458,"","","",0,1,"","","","","","","",""
6,"ClearAllDifficulties","Full-clear in any Difficulty",1,"Kill all the monsters in every area of the game in Anarchy or Onslaught. You can complete this in any difficulty level. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",16538,"","","",0,1,"","","","","","","",""
7,"NotablesKeystones","Allocate these Passives",1,"Allocate this list of Passive Skills in either Anarchy or Onslaught. They will still count even if refunded by Orbs of Regret or quest rewards and can be spread across multiple characters. Skills that have been allocated are marked on the Passive Skill Tree with a small green tick.",-11411,1,"","",0,1,"","","","","","","",""
8,"KillRareEachType","Kill Rare Monsters",3,"Kill a Rare Monster of each of these types in Domination or Nemesis.",-30675,"","","",0,1,"","","","","","","",""
9,"TagShrines","Touch these Shrines",3,"Touch each of these shrines in the Domination league to gain their powers.",-6947,1,"","",0,1,"","","","","","","",""
10,"KillNemesisMonsters","Slay the Nemeses",3,"Kill Rare monsters with each of these Nemesis Mods.",15972,1,"","",0,1,"","","","","","","",""
11,"65AllClasses","Reach level 65",3,"Attain character level 65 with each class in the Domination or Nemesis leagues. This challenge still counts even if a character dies after reaching level 65.",-16731,"","","",0,1,"","","","","","","",""
12,"FindUniquesDominationNemesis","Own these Unique Items",3,"Own 65 specific Unique items to complete this challenge. Note that if you trade any away, the challenge will un-complete until you obtain the item again. Uniques in both Domination and Nemesis leagues are counted for this challenge.",9221,1,"","",0,1,"","","","","","","",""
13,"KillUniqueBosses","Kill these Unique Bosses",3,"Kill each of the following Unique bosses.",23159,"","","",0,1,"","","","","","","",""
14,"UseCurrencyDominationNemesis","Use these Currency Items",3,"Use the following 23 currency items in either Domination or Nemesis.",17420,"","","",0,1,"","","","","","","",""
15,"RecipesDominationNemesis","Items from Vendor Recipes",3,"Complete vendor recipes in either Domination or Nemesis to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",-30878,"","","",0,1,"","","","","","","",""
16,"MemberCompletedPersonalAchievements","",4,"",-20263,"","","",0,1,"","","","","","","",""
17,"FullClearRareUnidMaps","",4,"",32273,"","","",0,1,"","","","","","","",""
18,"HaveSeasonRaceRewards","",4,"",-29499,"","","",0,1,"","","","","","","",""
19,"HaveSeasonPvPRewards","",4,"",-3577,"","","",0,1,"","","","","","","",""
20,"EachClassFirstInRace","",4,"",-3401,"","","",0,1,"","","","","","","",""
21,"OneOfEachCurrencyItem","",4,"",21803,"","","",0,1,"","","","","","","",""
22,"Level95EachClass","",4,"",-11237,"","","",0,1,"","","","","","","",""
23,"HaveAllUniques","",4,"",-28102,"","","",0,1,"","","","","","","",""
24,"AllVaalItems","Have these Vaal Items",5,"Own 44 specific items to complete this challenge. Note that if you trade any away, the challenge will un-complete until you obtain the items again. Items in both Ambush and Invasion leagues are counted for this challenge.",5330,1,"","",0,1,"","","","","","","",""
25,"StrongboxMods","Open Strongboxes",5,"Open Strongboxes with each of the following properties. Strongboxes do not need to be identified to complete the challenge. The ambushers must be defeated before it is counted as open.",15270,1,"","",0,1,"","","","","","","",""
26,"InvaderUniqueKills","Kill these Unique Invaders",5,"Kill each of the following Unique bosses.",4172,1,"","",0,1,"","","","","","","",""
27,"Level90Leagues","Reach Level 90",5,"Attain character level 90 in each challenge league. This challenge still counts even if a character dies after reaching level 90.",-8846,"","","",0,1,"","","","","","","",""
28,"ClearCorruptedAreas","Clear these Corrupted Areas",5,"Kill all the monsters in every side area in Ambush or Invasion. You can complete this in any difficulty level. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",14960,1,"","",0,1,"","","","","","","",""
29,"KillAtziriBosses","Kill Atziri and her Guardians",5,"Kill each of the following Unique bosses.",-29031,"","","",0,1,"","","","","","","",""
30,"UseCurrencyAmbushInvasion","Use these Currency Items",5,"Use the following 24 currency items in either Ambush or Invasion.",13072,1,"","",0,1,"","","","","","","",""
31,"RecipesAmbushInvasion","Items from Vendor Recipes",5,"Complete vendor recipes in either Ambush or Invasion to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",8994,1,"","",0,1,"","","","","","","",""
32,"ClearAllAreasRampageBeyond","Full-clear in any Difficulty",6,"Kill all the monsters in every Act 1, 2 and 3 area of the game in Rampage or Beyond. You can complete this in any difficulty level. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",23969,"","","",0,1,"","","","","","","",""
33,"65AllClassesRampageBeyond","Reach level 65",6,"Attain character level 65 with each class in the Rampage or Beyond leagues. This challenge still counts even if a character dies after reaching level 65.",24294,"","","",0,1,"","","","","","","",""
34,"RampageTiers","Reach these Rampage Tiers",6,"Achieve each of these Rampage tiers in the Rampage League.",29588,"","","",0,1,"","","","","","","",""
