"rownum","BaseItemTypesKey","i32","Description","HASH16","AchievementItemsKeys"
0,641,111,"Essence Item",52571,[]
1,642,131,"Currency Item",52259,[]
2,643,151,"Unique Item",18701,[]
3,644,121,"Map Item",22038,[]
4,645,251,"Unique Map Item",6696,[]
5,646,301,"Rare Abyss Item",41772,[]
6,647,301,"Fragment Item",60390,[]
7,648,301,"Scarab Item",32186,[]
8,649,151,"Essence Item",23218,[]
9,650,301,"Fossil Item",19642,[]
10,651,221,"Expedition Item",40101,[]
11,652,151,"Stacked Decks",34745,[]
12,653,151,"Talisman Item",43064,[]
13,654,161,"Enchanted Helmet",19352,[]
14,655,1001,"6-Linked Armour Item",6078,[]
15,656,141,"Currency Item",14134,[]
16,657,1501,"League-specific Unique Item",4526,[]
17,658,501,"Shaper or Elder Armour Item",61377,[]
18,659,501,"Shaper or Elder Weapon Item",53204,[]
19,660,701,"Shaper or Elder Trinket Item",61894,[]
20,661,501,"Elder Map Item",39336,[]
21,662,351,"Breach Item",43164,[]
22,663,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,664,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,665,301,"Item",31223,[]
25,666,121,"Quality Gem",16288,[]
26,667,151,"Bestiary Item",28161,[]
27,668,221,"Blight Item",19373,[]
28,669,221,"Metamorph Item",62324,[]
29,670,431,"Delirium Item",23535,[]
30,671,111,"Essence Item",46750,[]
31,672,131,"Currency Item",54300,[]
32,673,151,"Unique Item",59184,[]
33,674,121,"Map Item",43361,[]
34,675,251,"Unique Map Item",37492,[]
35,676,301,"Rare Abyss Item",2531,[]
36,677,301,"Fragment Item",4173,[]
37,678,301,"Scarab Item",25303,[]
38,679,151,"Essence Item",31454,[]
39,680,301,"Fossil Item",51101,[]
40,681,221,"Expedition Item",41074,[]
41,682,151,"Stacked Decks",47490,[]
42,683,151,"Talisman Item",23793,[]
43,684,161,"Enchanted Helmet",42868,[]
44,685,1001,"6-Linked Armour Item",12755,[]
45,686,141,"Currency Item",30048,[]
46,687,1501,"League-specific Unique Item",32094,[]
47,688,501,"Shaper or Elder Armour Item",38195,[]
48,689,501,"Shaper or Elder Weapon Item",28068,[]
49,690,701,"Shaper or Elder Trinket Item",52048,[]
50,691,501,"Elder Map Item",56725,[]
51,692,351,"Breach Item",39939,[]
52,693,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,694,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,695,301,"Item",55071,[]
55,696,121,"Quality Gem",43471,[]
56,697,151,"Bestiary Item",58563,[]
57,698,221,"Blight Item",24651,[]
58,699,221,"Metamorph Item",65346,[]
59,700,431,"Delirium Item",12740,[]
