"rownum","StatsKey","TagsKeys","bool","i32","bool"
0,10024,[316],1,0,1
1,10025,[34],1,0,1
2,10026,[319],1,0,1
3,10027,[317],1,0,1
4,10028,[323],1,0,1
5,10029,[309],1,0,1
6,10030,[581],1,0,1
7,10031,[313],1,0,1
8,10032,[324],1,0,1
9,10033,[312],1,0,1
10,10034,[310],1,0,1
11,10035,[311],1,0,1
12,2392,[319],"",1,""
13,2391,[34],"",1,""
14,11785,[313],1,0,""
15,11786,[309],1,0,""
16,11787,[311],1,0,""
17,11788,[310],1,0,""
18,11789,[312],1,0,""
19,11790,[608],1,0,""
20,11791,[323],1,0,""
21,11792,[324],1,0,""
22,11793,[572],1,0,""
23,11794,[581],1,0,""
24,11795,[583],1,0,""
25,11796,[579],1,0,""
26,11844,[316],1,0,""
27,11887,[317],1,0,""
28,11888,[580],1,0,""
29,12175,[],1,0,""
30,13346,[659],1,0,""
31,17486,[320],1,0,""
32,17487,[605],1,0,""
33,17488,"[606,653]",1,0,""
34,3706,[],"",0,1
