"rownum","Id","Text","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool","[i32]","i32","[rid]","bool","[rid]","bool"
0,"LifeTop","Life",[237],0,[],[],17,"",[],0,[],"",[],""
1,"LifeUnreservedTop","Unreserved Life",[10059],0,[3981],[],17,1,[],0,[],"",[],""
2,"LifeRecoveryTop","Recovery per Second",[1376],0,[],[],17,"",[2],0,[],"",[],""
3,"ManaTop","Mana",[238],0,[],[],20,"",[],0,[],"",[],""
4,"ManaUnreservedTop","Unreserved Mana",[10060],0,[2808],[],20,1,[],0,[],"",[],""
5,"ManaRecoveryTop","Recovery per Second",[1377],0,[],[],20,"",[2],0,[],"",[],""
6,"EnergyShieldTop","Energy Shield",[239],0,[],[],18,"",[],0,[],"",[],""
7,"EnergyShieldRecoveryTop","Recovery per Second",[1378],0,[],[],18,"",[2],0,[],"",[],""
8,"EnergyShieldRechargeTop","Recharge per Second",[242],0,[],[],18,"",[2],0,[],"",[],""
9,"SpiritTop","Spirit",[16443],0,[],[],19,"",[],0,[],"",[],""
10,"ArmourEstimatedPhysDamageReductionTopBig","Armour",[699],1,[],[],21,"",[],0,[],"",[],""
11,"ArmourTop","Armour",[233],0,[],[],21,"",[],0,[],"",[],""
12,"ArmourVsProjectilesTop","Armour against Projectiles",[1033],0,[4989],[],21,"",[],0,[],"",[],""
13,"ArmourAdditionalPhysReductionTop","Additional Physical Damage Reduction",[433],1,[],[],21,1,[],0,[],"",[],""
14,"ArmourEstimateReductionTop","Estimated Physical Damage Reduction",[699],1,[],[],21,"",[],0,[],"",[],""
15,"EstimatePhysReductionVsProjTop","Estimated Physical Damage reduction against Projectiles",[1038],1,[4989],[],21,"",[],0,[],"",[],""
16,"EstimateReductionVsHitsTop","Estimated Physical Damage reduction against Hits",[6923],1,[6922],[],21,"",[],0,[],"",[],""
17,"Evasion","Evasion Rating",[274],0,[],[],22,1,[],0,[],"",[],""
18,"EvasionTop","Evasion",[659],1,[],[],22,"",[],0,[],"",[],""
19,"EvasionTopPopup","Estimated Evasion Chance",[659],1,[],[],22,"",[],0,[],"",[],""
20,"MeleeEvadeChanceTop","Estimated chance to Evade Melee Attacks",[10076],1,[],[10078],22,1,[],0,[],"",[],""
21,"ProjectileEvadeChanceTop","Estimated chance to Evade Projectile Attacks",[10077],1,[],[10078],22,1,[],0,[],"",[],""
22,"BlockChanceAttackTop","Block",[907],1,[],[],25,"",[],0,[],"",[],""
23,"BlockChanceTopPopup","Block Chance",[907],1,[],[],25,"",[],0,[],"",[],""
24,"MaxBlockChanceTop","Maximum Block chance",[14159],1,[],[],25,1,[],0,[],"",[],""
25,"LifeStats","Maximum Life",[237],0,[],[],26,"",[],0,[],"",[],""
26,"LifeUnreserved","[Reservation|Unreserved] maximum Life",[10059],0,[3981],[],26,1,[],0,[],"",[],""
27,"LifeRecovery","Total Life Recovery per second",[1376],0,[],[],26,1,[2],0,[],"",[],""
28,"LifeRecoveryRegen","Life Recovery per second from Regeneration",[240],0,[],[],26,1,[2],0,[],"",[],""
29,"LifeRecoveryRecharge","Life Recovery per second from [LifeRecharge|Recharge]",[12686],0,[],[],26,1,[2],0,[],"",[],""
30,"LifeRecoveryFlasks","Life Recovery per second from [Flask|Flasks]",[12687],0,[],[],26,1,[2],0,[],"",[],""
31,"LifeRecoveryLeech","Life Recovery per second from [Leech]",[12689],0,[],[],26,1,[2],0,[],"",[],""
32,"LifeRecoveryOther","Life Recovery per second from other sources",[12688],0,[],[],26,1,[2],0,[],"",[],""
33,"LifeRecoup","Damage taken [Recoup|Recouped] as Life",[9014],1,[],[],26,1,[],0,[],"",[],""
34,"InfernalLegionBurning","",[9575],12,[],[],26,1,[],0,[],"",[],""
35,"ManaStats","Mana",[238],0,[],[],28,"",[],0,[],"",[],""
36,"ManaUnreserved","[Reservation|Unreserved] Mana",[10060],0,[2808],[],28,1,[],0,[],"",[],""
37,"ManaRecovery","Total Mana Recovery per second",[1377],0,[],[],28,1,[2],0,[],"",[],""
38,"ManaRecoveryRegen","Mana Recovery per second from Regeneration",[241],0,[],[],28,1,[2],0,[],"",[],""
39,"ManaRecoveryFlasks","Mana Recovery per second from [Flask|Flasks]",[12690],0,[],[],28,1,[2],0,[],"",[],""
40,"ManaRecoveryLeech","Mana Recovery per second from [ManaLeech|Leech]",[8708],0,[],[],28,1,[2],0,[],"",[],""
41,"ManaRecoveryOther","Mana Recovery per second from other sources",[12691],0,[],[],28,1,[2],0,[],"",[],""
42,"ManaRecoup","Damage taken [Recoup|Recouped] as Mana",[1039],1,[],[],28,1,[],0,[],"",[],""
43,"EnergyShieldStats","Maximum [EnergyShield|Energy Shield]",[239],0,[],[],27,1,[],0,[],"",[],""
44,"EnergyShieldRecharge","[EnergyShield|Energy Shield] [ESRecharge|Recharge] per Second",[242],0,[239],[],27,1,[2],0,[],"",[],""
45,"EnergyShieldDelay","[EnergyShield|Energy Shield] [ESRecharge|Recharge] delay modifier",[3714],7,[239],[],27,1,[],0,[],"",[],""
46,"EnergyShieldRecovery","Total [EnergyShield|Energy Shield] Recovery per second",[1378],0,[239],[],27,1,[2],0,[],"",[],""
47,"EnergyShieldRecoveryRegen","[EnergyShield|Energy Shield] Recovery per second from Regeneration",[1020],0,[239],[],27,1,[2],0,[],"",[],""
48,"EnergyShieldRecoveryRecharge","[EnergyShield|Energy Shield] Recovery per second from [ESRecharge|Recharge]",[12692],0,[239],[],27,1,[2],0,[],"",[],""
49,"EnergyShieldRecoveryFlasks","[EnergyShield|Energy Shield] Recovery per second from [Flask|Flasks]",[12693],0,[239],[],27,1,[2],0,[],"",[],""
50,"EnergyShieldRecoveryLeech","[EnergyShield|Energy Shield] Recovery per second from [EnergyShieldLeech|Leech]",[8709],0,[239],[],27,1,[2],0,[],"",[],""
51,"ArmourStats","[Armour]",[233],0,[],[],29,1,[],0,[],"",[],""
52,"ArmourEstimateReduction","Estimated [Physical] damage reduction",[699],1,[233],[],29,"",[],0,[],"",[],""
53,"ArmourVsProjectiles","[Armour] against [Projectile|Projectiles]",[1033],0,[4989],[],29,"",[],0,[],"",[],""
54,"ArmourVsProjEstimateReduction","Estimated [Physical] damage reduction against [Projectile|Projectiles]",[1038],1,[4989],[],29,"",[],0,[],"",[],""
55,"ArmourVsHitsEstimateReduction","Estimated [Physical] damage reduction against [HitDamage|Hits]",[6923],1,[6922],[],29,"",[],0,[],"",[],""
56,"EvasionStats","[Evasion] Rating",[274],0,[],[],30,1,[],0,[],"",[],""
57,"EvadeChance","Estimated chance to [Evasion|Evade]",[659],1,"[10078,274]",[],30,"",[],0,[],"",[],""
58,"MeleeEvadeChance","Estimated chance to [Evasion|Evade] [Strike|Strikes]",[10076],1,[],[10078],30,1,[],0,[],"",[],""
59,"ProjectileEvadeChance","Estimated chance to [Evasion|Evade] [Projectile|Projectiles]",[10077],1,[],[10078],30,1,[],0,[],"",[],""
60,"Ward","Ward",[13689],0,[],[],41,1,[],0,[],"",[],""
61,"WardDelay","Ward Restoration time",[13694],9,[13689],[],41,"",[9],0,[],"",[],""
62,"BlockChanceStats","","[907,14159]",12,[6850],[],32,1,[],0,[],"",[],""
63,"ProjBlockChance","Chance to [Block] [Projectile|Projectiles]",[1037],1,"[1034,6850]",[],32,1,[],0,[],"",[],""
64,"BlockRec","[Block] Recovery modifier",[17103],7,[6850],[],32,1,[],0,[],"",[],""
65,"FireResist","","[299,137]",12,[],[],31,"",[],0,[],"",[],""
66,"ColdResist","","[298,139]",12,[],[],31,"",[],0,[],"",[],""
67,"LightningResist","","[300,141]",12,[],[],31,"",[],0,[],"",[],""
68,"ChaosResist","","[301,143]",12,[],[],31,"",[],0,[],"",[],""
69,"ChaosResistAgainstDegen","Chaos Resistance against Damage over time",[5638],11,[5772],[677],31,"",[],0,[],"",[],""
70,"FireResistTop","",[299],11,[],[1959],43,"",[],0,[],"",[],""
71,"FireResistUncappedTop","",[2001],11,[],[1959],43,"",[],0,[],"",[],""
72,"ColdResistTop","",[298],11,[],[1959],43,"",[],0,[],"",[],""
73,"ColdResistUncappedTop","",[2002],11,[],[1959],43,"",[],0,[],"",[],""
74,"LightningResistTop","",[300],11,[],[1959],43,"",[],0,[],"",[],""
75,"LightningResistUncappedTop","",[2003],11,[],[1959],43,"",[],0,[],"",[],""
76,"ChaosResistTop","",[301],11,[],[],43,"",[],0,[],"",[],""
77,"ChaosResistUncappedTop","",[2004],11,[],[],43,"",[],0,[],"",[],""
78,"StunImmune","",[1150],12,[],[],34,1,[],0,[],"",[],""
79,"StunRec","[StunRecovery|Stun Recovery] modifier",[273],7,[],[],34,1,[],0,[],"",[],""
80,"BleedingCannotBe","",[7689],12,[],[4519],35,1,[],0,[],"",[],""
81,"BleedingImmune","",[4519],12,[],[],35,1,[],0,[],"",[],""
82,"BleedingDurationRed","[Bleeding] duration on self",[16233],1,[],[7689],35,1,[],0,[],"",[],""
83,"IgniteCannotBe","",[6508],12,[],[4737],35,1,[],0,[],"",[],""
84,"IgniteImmune","",[4737],12,[],[],35,1,[],0,[],"",[],""
85,"IgniteDurationRed","[Ignite] duration on self",[618],1,[],[6508],35,1,[1],0,[],"",[],""
86,"ChillCannotBe","",[6998],12,[],[4738],35,1,[],0,[],"",[],""
87,"ChillImmune","",[4738],12,[],[],35,1,[],0,[],"",[],""
88,"ChillDurationRed","[Chill] duration on self",[615],1,[],[6998],35,1,[1],0,[],"",[],""
89,"FreezeCannotBe","",[6442],12,[],[4736],35,1,[],0,[],"",[],""
90,"FreezeImmune","",[4736],12,[],[],35,1,[],0,[],"",[],""
91,"FreezeDurationRed","[Freeze] duration on self",[617],1,[],[6442],35,1,[1],0,[],"",[],""
92,"ShockCannotBe","",[4756],12,[],[4599],35,1,[],0,[],"",[],""
93,"ShockImmune","",[4599],12,[],[],35,1,[],0,[],"",[],""
94,"ShockDurationRed","[Shock] duration on self",[616],1,[],[4756],35,1,[1],0,[],"",[],""
95,"PoisonCannotBe","",[11175],12,[],[8265],35,1,[],0,[],"",[],""
96,"PoisonImmune","",[8265],12,[],[],35,1,[],0,[],"",[],""
97,"PoisonDurationRed","[Poison] duration on self",[16234],1,[],[11175],35,1,[],0,[],"",[],""
98,"CombinedThorns","","[20439,20440]",12,[],[],33,1,[],0,[],"",[],""
99,"PhysicalThorns","","[20412,20413]",12,[],[],33,1,[],0,[],"",[],""
100,"FireThorns","","[20416,20417]",12,[],[],33,1,[],0,[],"",[],""
101,"ColdThorns","","[20414,20415]",12,[],[],33,1,[],0,[],"",[],""
102,"LightningThorns","","[20418,20419]",12,[],[],33,1,[],0,[],"",[],""
103,"ChaosThorns","","[20420,20421]",12,[],[],33,1,[],0,[],"",[],""
104,"ThornsCritChance","",[20425],12,[],[],33,1,[],0,"[20439,20440]","",[],""
105,"ThornsCritDamage","",[20422],12,[20425],[],33,1,[],0,"[20439,20440]","",[],""
106,"ThornsAnyHit","",[20451],12,[],[],33,1,[],0,"[20439,20440]","",[],""
107,"PhysicalTakenAsFire","[Physical] damage from [HitDamage|Hits] taken as [Fire]",[6820],1,[],[],36,1,[],0,[],"",[],""
108,"PhysicalTakenAsCold","[Physical] damage from [HitDamage|Hits] taken as [Cold]",[6821],1,[],[],36,1,[],0,[],"",[],""
109,"PhysicalTakenAsLightning","[Physical] damage from [HitDamage|Hits] taken as [Lightning]",[6822],1,[],[],36,1,[],0,[],"",[],""
110,"PhysicalTakenAsChaos","[Physical] damage from [HitDamage|Hits] taken as [Chaos]",[1018],1,[],[],36,1,[],0,[],"",[],""
