"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues"
0,"InnerTreasure",[6294],"",[],[],[]
1,"DropVaalItem",[6301],"",[],[],[]
2,"AlwaysIgnite",[],"",[],"[4810,596]","[1,100]"
3,"RandomCurseOnMeleeHit",[],"",[],[1190],[100]
4,"Maimed",[],508,"[-30,1]",[],[]
5,"AlwaysShock",[],"",[],"[4809,644]","[1,100]"
6,"TormentedExperimenterPossess","[7082,7173,7233,7235]","",[],[],[]
7,"TormentedBlasphemerPossess","[7085,7171,7233,7235]","",[],[],[]
8,"TormentedNecromancerPossess","[7088,7173,7233,7235]","",[],[],[]
9,"TormentedArsonistPossess","[7091,7173,7233,7235]","",[],[],[]
10,"TormentedThiefPossess","[7120,7174,7233,7235]","",[],[],[]
11,"TormentedMutilatorPossess","[7133,7173,7233,7235]","",[],[],[]
12,"TormentedCharlatanPossess","[7101,7173,7233,7235]","",[],[],[]
13,"TormentedCannibalPossess","[7126,7173,7233,7235]","",[],[],[]
14,"TormentedPoisonerPossess","[7094,7173,7233,7235]","",[],[],[]
15,"TormentedCorrupterPossess","[7097,7174,7233,7235]","",[],[],[]
16,"TormentedThugPossess","[7104,7171,7233,7235]","",[],[],[]
17,"TormentedRoguePossess","[7107,7171,7108,7233,7235]","",[],[],[]
18,"TormentedFishermanPossess","[7110,7174,7233,7235]","",[],[],[]
19,"TormentedLibrarianPossess","[7113,7174,7233,7235]","",[],[],[]
20,"TormentedCutthroatPossess","[7117,7171,7233,7235]","",[],[],[]
21,"TormentedSpyPossess","[7123,7171,7233,7235]","",[],[],[]
22,"TormentedMartyrPossess","[7130,7173,7233,7235]","",[],[],[]
23,"TormentedEmbezzlerPossess","[7136,7174,7233,7235]","",[],[],[]
24,"TormentedCounterfeiterPossess","[7142,7173,7233,7235]","",[],[],[]
25,"TormentedWarlordPossess","[7145,7171,7233,7235]","",[],[],[]
26,"TormentedFreezerPossess","[7149,7173,7233,7235]","",[],[],[]
27,"TormentedSmugglerPossess","[7153,7151,7174,7233,7235]","",[],[],[]
