"rownum","Id","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[9422]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[9422,9465]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[9460]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[9460,9465]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[9461]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[9461,9465]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[9462]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[9462,9465]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[9463]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[9463,9465]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[9464]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[9464,9465]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[9411]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[9411,9412]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[9411]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[9411]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[9411]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[9411]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[9413]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[9413,9412]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[9413]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[9413]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[9413]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[9413]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[9414]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[9414,9412]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[9414]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[9414]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[9414]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[9414]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[9415]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[9415,9412]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[9415]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[9415]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[9415]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[9415]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[9416]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[9416,9412]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[9416]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[9416]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[9416]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[9416]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[9419,9417]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[9419,9417,9412]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[9419,9417]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[9419,9417]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[9419,9417]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[9419,9417]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[9420,9418]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[9420,9418,9412]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[9420,9418]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[9420,9418]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[9420,9418]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[9420,9418]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[9421,9411]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[9421,9419]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[9411,9412,10451]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[9411,9412,10451]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[9411,9412,10451]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[9411,9412,10451]"
