"rownum","Id","Name","Stats","StatsValues","Points","HASH16","Icon","IconMaxed","SoundEffect","i32","Quest"
0,"JewellerySpeed","Chaotic Adornment",[14102],[5],5,5415,"Art/2DArt/SkillIcons/HellscapePassives/JewelleryandFlaskMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/JewelleryandFlaskMicroMaxed.dds","",4119,""
1,"ArmourSpeed","Twisted Metal",[14098],[5],5,34224,"Art/2DArt/SkillIcons/HellscapePassives/ArmourMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/ArmourMicroMaxed.dds","",4119,""
2,"WeaponSpeed","Murderous Desecration","[14099,14101]","[5,5]",5,10836,"Art/2DArt/SkillIcons/HellscapePassives/WeaponMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/WeaponMicroMaxed.dds","",4119,""
3,"MapSpeed","Fervent Dreams",[14100],[5],5,34087,"Art/2DArt/SkillIcons/HellscapePassives/MapsMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/MapsMicroMaxed.dds","",4119,""
4,"MicrowaveSlotNonMap1","Alternate History",[14558],[1],1,13590,"Art/2DArt/SkillIcons/HellscapePassives/MicrowaveUniqueItems.dds","Art/2DArt/SkillIcons/HellscapePassives/MicrowaveUniqueItemsMaxed.dds",339,4119,""
5,"MicrowaveSlotNonMap2","Crushed Organs",[14080],[1],1,46379,"Art/2DArt/SkillIcons/HellscapePassives/NonMapsSlotMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/NonMapsSlotMicroMaxed.dds",295,4119,""
6,"MicrowaveSlotMap","Restless Nightmares",[14081],[1],1,32734,"Art/2DArt/SkillIcons/HellscapePassives/MapsSlotMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/MapsSlotMicroMaxed.dds",296,1157,""
7,"AddSocketNumber","Trypophobia",[14104],[3],5,15734,"Art/2DArt/SkillIcons/HellscapePassives/AddAdditionalSlot.dds","Art/2DArt/SkillIcons/HellscapePassives/AddAdditionalSlotMaxed.dds","",4119,""
8,"AddSocketLink","Stitched Wounds",[14105],[3],5,50796,"Art/2DArt/SkillIcons/HellscapePassives/LinkAdditionalSlot.dds","Art/2DArt/SkillIcons/HellscapePassives/LinkAdditionalSlotMaxed.dds","",4119,""
9,"HellscapingSpeedPerHellscapeTierOnMap","Warped Sluice",[14419],[1],5,31773,"Art/2DArt/SkillIcons/HellscapePassives/AddCorruptedImplicitModifier.dds","Art/2DArt/SkillIcons/HellscapePassives/AddCorruptedImplicitModifierMaxed.dds","",4119,""
10,"AddExplicitModifier","Golden Blood",[14107],[4],5,46764,"Art/2DArt/SkillIcons/HellscapePassives/AddExplicitModifier.dds","Art/2DArt/SkillIcons/HellscapePassives/AddExplicitModifierMaxed.dds","",4119,""
11,"UpgradeExplicitModifier","Intensifying Emulsion",[14108],[2],5,5968,"Art/2DArt/SkillIcons/HellscapePassives/UpgradeExplicitModifierByOne.dds","Art/2DArt/SkillIcons/HellscapePassives/UpgradeExplicitModifierByOneMaxed.dds","",4119,""
12,"IncreasedUpsideTier","Anomalous Aura",[14109],[2],5,38827,"Art/2DArt/SkillIcons/HellscapePassives/GenerateHellscapeUpside.dds","Art/2DArt/SkillIcons/HellscapePassives/GenerateHellscapeUpsideMaxed.dds","",4119,""
13,"ReducedDownsideTier","Stabilising Energy",[14110],[2],5,46437,"Art/2DArt/SkillIcons/HellscapePassives/GenerateHellscapeDownside.dds","Art/2DArt/SkillIcons/HellscapePassives/GenerateHellscapeDownsideMaxed.dds","",4119,""
14,"AdditionalUpside","Strange Forces",[14111],[1],5,49509,"Art/2DArt/SkillIcons/HellscapePassives/GenerateAdditionalHellscapeUpside.dds","Art/2DArt/SkillIcons/HellscapePassives/GenerateAdditionalHellscapeUpsideMaxed.dds","",4119,""
