"rownum","Id","Mods","string","string","i32","i32","[rid]","i32","[i32]","[rid]"
0,"ProphecySignature",[],"","",0,0,[],0,[],[]
1,"BLAMTEasyBrutus",[],"","",0,0,[],0,[],[]
2,"PathOfEndurance",[],"Path of Endurance","http://poe.qq.com/redirect/g25.htm",60,0,[],0,[],[]
3,"EverythingEverywhere","[9184,9188,9192,9196,9200,9219,9223,9225,9229,9230,9231,9232,9233,9234,9235,9236,9237,9238,9239,9240]","","",0,60,[],0,"[1,2]","[2576,2577]"
4,"EverythingSomewhere","[9185,9189,9193,9197,9201,9205,9209,9212,9214]","","",0,60,[],1,[],[]
5,"EverythingSomewhereSingle","[9186,9190,9194,9198,9202,9206,9210,9213,9215,9216,9218,9220,9221,9222,9224]","","",0,60,[],3,[],[]
6,"EverythingSomewhereSingleTencent","[9186,9194,9198,9202,9210,9216,9218,9220,9221,9222,9224]","","",0,60,[],3,[],[]
7,"PerandusSingleTencent",[9206],"","",0,0,[],0,[],[]
8,"EverythingSomewhereSingleNoDelirium","[9186,9190,9194,9198,9202,9206,9210,9213,9215,9216,9218,9220,9221,9222]","","",0,60,[],3,[],[]
9,"DeliriumSingleTencent",[9224],"","",0,0,[],0,[],[]
