"rownum","rid","i32","[string]"
0,0,3,[]
1,0,1,[]
2,0,2,[]
3,0,4,[]
4,1,3,[]
5,1,1,[]
6,1,2,[]
7,1,4,[]
8,2,3,[]
9,2,1,[]
10,2,2,[]
11,2,4,[]
12,3,3,[]
13,3,1,[]
14,3,2,[]
15,3,4,[]
16,4,3,[]
17,4,1,[]
18,4,2,[]
19,4,4,[]
20,5,3,[]
21,5,1,[]
22,5,2,[]
23,5,4,[]
24,6,3,[]
25,6,1,[]
26,6,2,[]
27,6,4,[]
28,7,3,[]
29,7,1,[]
30,7,2,[]
31,7,4,[]
32,8,3,[]
33,8,1,[]
34,8,2,[]
35,8,4,[]
36,9,3,[]
37,9,1,[]
38,9,2,[]
39,9,4,[]
40,10,3,[]
41,10,1,[]
42,10,2,[]
43,10,4,[]
44,11,3,[]
45,11,1,[]
46,11,2,[]
47,11,4,[]
48,12,3,[]
49,12,1,[]
50,12,2,[]
51,12,4,[]
52,13,3,[]
53,13,1,[]
54,13,2,[]
55,13,4,[]
56,14,3,[]
57,14,1,[]
58,14,2,[]
59,14,4,[]
60,15,3,[]
61,15,1,[]
62,15,2,[]
63,15,4,[]
64,16,3,"[""Metadata/Effects/Environment/Gallows/Act2/g2_4_1/footstep_S.ao""]"
65,16,1,"[""Metadata/Effects/Environment/Gallows/Act2/g2_4_1/footstep_M.ao""]"
66,16,2,"[""Metadata/Effects/Environment/Gallows/Act2/g2_4_1/footstep_B.ao""]"
67,16,4,"[""Metadata/Effects/Environment/Gallows/Act2/g2_4_1/footstep_S_puff.ao""]"
68,17,3,[]
69,17,1,[]
70,17,2,[]
71,17,4,[]
72,18,3,[]
73,18,1,[]
74,18,2,[]
75,18,4,[]
76,19,3,[]
77,19,1,[]
78,19,2,[]
79,19,4,[]
80,20,3,[]
81,20,1,[]
82,20,2,[]
83,20,4,[]
84,21,3,[]
85,21,1,[]
86,21,2,[]
87,21,4,[]
88,22,3,[]
89,22,1,[]
90,22,2,[]
91,22,4,[]
92,23,3,[]
93,23,1,[]
94,23,2,[]
95,23,4,[]
96,24,3,[]
97,24,1,[]
98,24,2,[]
99,24,4,[]
100,25,3,[]
101,25,1,[]
102,25,2,[]
103,25,4,[]
104,26,3,[]
105,26,1,[]
106,26,2,[]
107,26,4,[]
108,27,3,[]
109,27,1,[]
110,27,2,[]
111,27,4,[]
112,28,3,[]
113,28,1,[]
114,28,2,[]
115,28,4,[]
116,29,3,[]
117,29,1,[]
118,29,2,[]
119,29,4,[]
120,30,3,[]
121,30,1,[]
122,30,2,[]
123,30,4,[]
124,31,3,[]
125,31,1,[]
126,31,2,[]
127,31,4,[]
128,32,3,[]
129,32,1,[]
130,32,2,[]
131,32,4,[]
132,33,3,[]
133,33,1,[]
134,33,2,[]
135,33,4,[]
136,34,3,[]
137,34,1,[]
138,34,2,[]
139,34,4,[]
140,35,3,"[""Metadata/Effects/Environment/Gallows/Act2/g2_1/footsteps/footstep_S.ao""]"
141,35,1,"[""Metadata/Effects/Environment/Gallows/Act2/g2_1/footsteps/footstep_M.ao""]"
142,35,2,"[""Metadata/Effects/Environment/Gallows/Act2/g2_1/footsteps/footstep_B.ao""]"
143,35,4,"[""Metadata/Effects/Environment/Gallows/Act2/g2_1/footsteps/footstep_S_puff.ao""]"
144,36,3,"[""Metadata/Effects/Environment/Gallows/Act2/g2_5/footstep_S.ao""]"
145,36,1,"[""Metadata/Effects/Environment/Gallows/Act2/g2_5/footstep_M.ao""]"
146,36,2,"[""Metadata/Effects/Environment/Gallows/Act2/g2_5/footstep_B.ao""]"
