"rownum","BuffDefinitions","[i32]","StatsKeys","i32","i32","i32","[i32]","[rid]","[i32]","bool"
0,799,[],"[466,435]",0,0,0,[],[],[],""
1,818,[],[],0,1,0,[],[],[],""
2,845,[],[338],25,2,0,[],[],"[1,2,3]",""
3,847,"[1,1]",[466],0,3,0,[],[],[],""
4,849,[],"[167,166,5905,1079]",0,4,0,[],[],[],""
5,851,[],"[24,466,70,171]",0,5,0,[],[],[],""
6,1023,[],"[24,70,210,171,466]",0,6,0,[],[],[],""
7,844,[],"[6031,6032,6033]",0,7,0,[],[],[],""
8,1083,[1],[],30,8,0,[],[],[3],""
9,1194,[],[],0,9,0,[],[],[],""
10,1241,[],"[171,70]",0,10,0,[],[],[],""
11,1318,[],[24],0,11,0,[],[],[],""
12,1329,[],"[698,24]",0,12,0,[],[],[],""
13,1365,[],[134],0,17,0,[],[],[],""
14,1369,[],[1910],200,18,100,[],[],"[3,10]",""
15,1369,[],[1910],200,19,85,[],[],"[3,10]",""
16,1369,[],[1910],200,20,70,[],[],"[3,10]",""
17,1369,[],[1910],200,21,55,[],[],"[3,10]",""
18,1369,[],[1910],200,22,35,[],[],"[3,10]",""
19,1341,[],"[5662,5663,5665,5666,338]",74,23,0,[],[],"[3,10,11]",""
20,1342,[],"[5662,5663,5665,5666,338]",55,24,0,[],[],"[3,10,11]",""
21,1380,[],"[5662,5663,5665,5666,338]",74,25,0,[],[],"[3,10,18]",""
22,1381,[],"[5662,5663,5665,5666,338]",55,26,0,[],[],"[3,10,18]",""
23,852,[],"[24,466,70,171,3286]",0,28,0,[],[],[],""
24,848,"[1,1,1]",[466],0,29,0,[],[],[],""
25,850,[],"[167,166,5905,1079,9990]",0,30,0,[],[],[],""
26,846,[],[338],35,31,0,[],[],"[1,2]",""
27,853,[],"[582,644]",0,32,0,[],[],[],""
28,1570,[],[1909],23,33,0,[],[],"[3,5,10]",""
29,1570,[],[1909],11,34,0,[],[],"[3,5,10]",""
30,1628,[],"[466,145,147]",16,35,0,[],[],"[3,11]",""
31,1631,[],[338],0,36,0,[],[],[],""
32,1648,[-8],[1913],120,37,0,[],[],"[3,10,11]",""
33,1652,[],[466],28,38,0,[],[],"[2,10,14]",""
34,1630,[],[338],120,39,0,[],[],"[1,2,3,10]",""
35,1659,[],"[133,132]",0,40,0,[],[],[],""
36,1570,[],[1909],23,41,0,[],[],"[3,4,10]",""
37,1570,[],[1909],11,42,0,[],[],"[3,4,10]",""
38,1691,[],[2493],14,43,0,[],[],[3],""
39,1692,[],[2493],14,44,0,[400],[],[3],""
40,1719,[],[],0,45,0,[],[],[],""
41,1794,[],[1907],150,46,55,[],[],"[3,10]",""
42,1900,[],"[3223,1911]",38,47,28,[],[],[3],""
43,1920,[],"[70,210,208,14805]",0,48,0,[],[],[],""
44,1342,[],"[5662,5663,5665,5666,338]",48,49,0,[],[],"[3,10,11]",""
45,2036,[],[1913],15,50,0,[],[],"[3,10]",""
46,441,[1],[],0,51,0,[],[],[],""
47,1731,[10],[],0,1000,0,"[1,50]",[],[],""
48,2013,"[20,10]",[],0,1001,0,[],[],"[1,2,3]",""
49,2283,"[-20,30]",[],0,1003,0,[],[],[],""
50,2294,[],[119],0,1004,0,[],[],[],""
51,2296,[0],"[18562,8843]",0,1005,0,[],[19026],[],""
52,502,[],[],25,1006,0,[],[],[3],""
