"rownum","Id","Text"
0,"AccountNameAlreadyExists","An account with this name already exists."
1,"AccountNameInvalid","Account name must be at least 3 characters in length and is restricted to the characters a-z, 0-9 and _"
2,"EmailInvalid","This is not a valid email address."
3,"EmailAlreadyExists","An account with this email address already exists."
4,"AccountDoesNotExist","The specified account does not exist."
5,"InvalidPassword","The password is not correct for this account."
6,"AlreadyLoggedOn","The operation could not be completed because this account was already logged on by someone else."
7,"InvalidProtocolVersion","There has been a patch that you need to update to. Please restart Path of Exile."
8,"NotAllowedGameLogin","Access to the game is not currently enabled on this account."
9,"OtherAccountLoggedOn","Another person has logged into this account."
10,"AccountNotLoggedIn","This operation requires the account to be logged in."
11,"Timeout","The operation timed out."
12,"Disconnected","Disconnected from server."
13,"TerrainGenerationOutOfSync","The terrain generator for the client is out of sync with the server. Please create a new instance and try again."
14,"UnexpectedDisconnect","An unexpected disconnection occurred."
15,"CharacterDoesNotExist","The specified character does not exist."
16,"NotCharacterOwner","An attempt was made to retreive a character that this account is not the owner of."
17,"LinkedItemDoesNotExist","The specified linked item does not exist."
18,"DatabaseError","An unexpected database error occurred. Try again."
19,"TransferredToInstance","Account has been transfered to another instance."
20,"CharacterNameAlreadyExists","A character with this name already exists."
21,"CharacterNameInvalid","The character name contains invalid characters. Valid names only contain letters and underscores."
22,"CharacterNameTooShort","The character name is too short."
23,"CharacterNameTooLong","The character name is too long."
24,"CharacterInvalidClass","Invalid character class."
25,"LeagueDoesNotExist","This league does not exist."
26,"InvalidCharacterFlags","Invalid character flags."
27,"LeagueNameAlreadyExists","A league with this name already exists."
28,"LeagueNameInvalid","This is not a valid league name."
29,"LeagueDescriptionInvalid","This is not a valid league description."
30,"AlreadyInParty","The operation could not be completed because you are already in a party."
31,"NotItemOwner","Your character is not the owner of this item."
32,"NotAPartyMember","The target of this operation was not a party member."
33,"PartyPromotionRequired","You cannot perform this operation because you are not the party leader"
34,"PartyDoesNotExist","The party does not exist."
35,"PartyLeaderOnlyCanOpenMapPortals","Only the Party Leader may open Map Portals. The Party Leader can promote other players to Party Leader from the Party UI."
36,"ServiceDoesNotExist","The service does not exist."
37,"CommandInvalid","The service does not respond to this command, or there was an error in the syntax."
38,"DestinationUnreachable","Unable to make contact with service."
39,"NotInPartyWith","You must be in a party with this player."
40,"NotInParty","You are not in this party."
41,"InstanceFull","The instance is full."
42,"InvalidInstanceTransfer","Transfer to this instance is not allowed using this method."
43,"PortalDoesNotExist","The other side of the portal disconnected."
44,"OutOfYourLeague","That character is in a different League."
45,"DownForMaintenance","The realm is currently down for maintenance. Try again later."
46,"InstanceAuthenticationInvalid","Your authentication for instance transfer was invalid."
47,"PartyFull","Your party is full."
48,"TooManyCharacters","You have no character slots left."
49,"InvalidActivationKey","Invalid activation key."
50,"EmailValidationRequired","An account has been created with this email address already. You must verify your account by email before logging in."
51,"MissingRequiredField","Please fill out all required fields."
52,"InvalidArgument","An argument was invalid."
53,"GameComplete","The game has ended."
54,"LeagueHasEnded","The league has ended. You cannot create characters in it anymore."
55,"LeagueClosedForEntry","Entry to this league has closed."
56,"AlreadyOnIgnoreList","This account is already on your ignore list."
57,"NotOnIgnoreList","This account is not on your ignore list."
58,"IgnoreListFull","Your ignore list is full."
59,"AddToIgnoreListFailed","Unable to add {0} to ignore list because: {1}"
60,"AddedToIgnoreList","{0} has been added to your ignore list."
61,"RemoveFromIgnoreListFailed","Unable to remove {0} from ignore list because: {1}"
62,"RemovedFromIgnoreList","{0} has been removed from your ignore list."
63,"FailedToClearIgnoreList","Unable to clear ignore list because: {0}"
64,"IgnoreListCleared","Your ignore list has been cleared."
65,"FailedToAddNamedFriend","Unable to add {0} to friends list because: {1}"
66,"FailedToAddUnnamedFriend","Unable to add account to friends list because: {0}"
67,"FailedToAcceptFriend","Unable to accept friend request because: {0}"
68,"FailedToRemoveFriend","Unable to remove friend because: {0}"
69,"TriedToFriendSelf","You cannot add yourself as a friend."
70,"AccountBanned","Your account has been banned by an administrator."
71,"AccountChildLocked","Your account has been locked by parents."
72,"LoginRateLimited","You have attempted to log in too often within a short time period. Try again later."
73,"AccountLocked","Your account has been locked. Please contact support."
74,"NotAccountOwner","Operation cannot be performed because this instance is not the owner of the account."
75,"TemporaryLockout","Your account has been temporarily locked while an administrator works with it."
76,"Kicked","You have been kicked from the server by an administrator."
77,"StashTabDoesNotExist","The specified stash tab does not exist."
78,"LeaguePasswordInvalid","The password is not correct for this league."
79,"InstanceRateLimited","You have been kicked for performing too many actions too fast."
80,"FriendsListFull","Your friends list has reached maximum size."
81,"NotOnFriendsList","This account is not on your friend list."
82,"AlreadyOnFriendsList","This account is already on your friends list."
83,"LeagueUnavailableToNonBeta","This league is only available to Beta players."
84,"InstanceDoesNotExist","The instance does not exist."
85,"Muted","You cannot do this action while muted."
86,"Ignored","You have been ignored by the target player."
87,"PvPMatchDoesNotExist","This PvP match type does not exist."
88,"ItemDoesNotExist","The specified item does not exist."
89,"NeedNormalStashTab","You must have at least one normal stash tab to upgrade."
90,"NotEnoughCredit","You don't have enough credit to purchase this item."
91,"PackagePurchaseIncomplete","Your purchase did not complete successfully. Please contact support."
92,"MultiplePurchasesNotAllowed","You may only purchase this microtransaction once."
93,"CantDeleteWithMicrotransactions","Please remove all cosmetic effects from items on this character first. You can do this in the Microtransaction stash."
94,"NotEnoughRoomForItem","Not enough room for item."
95,"SavedCredentialsNewLocation","You are logging in from a new location. Please re-enter your password."
96,"SavedCredentialsBad","Your saved credentials are out of date. Please re-enter your password."
97,"LoginRequiresUnlockCode","Your account has been locked until you can provide an unlock code from your email."
98,"UnlockCodeIncorrect","The unlock code you have provided is incorrect."
99,"UnlockEmailTooSoon","It has been too soon since the last account unlock email was sent."
100,"DailyDealDoesNotExist","Deal does not exist."
101,"MicrotransactionDoesNotExist","Microtransaction does not exist."
102,"AccountNameDisallowed","Account name disallowed."
103,"BannedLoginIp","Your IP has been banned. Please contact support if you think this is a mistake."
104,"GeneralFailure","An unexpected problem has occurred."
105,"CurrencyTradingPrevented","You cannot trade currency or unique items to other players until you have reached level 25 on at least one character on your account."
106,"SteamAssociateEmailSent","An email has been sent to confirm that you own this account. Please click the link in your email to continue."
107,"EmailAlreadyInUse","This email address already has a Path of Exile account associated with it."
108,"AccountAlreadyHasEmail","This account already has an email address associated with it."
109,"NoAssociatedEmail","This account does not have an email address associated with it."
