"rownum","Id","X","Y","IsMajorGod","CoverImage","GodName2","GodName2 (French)","GodName2 (German)","GodName2 (Japanese)","GodName2 (Korean)","GodName2 (Portuguese)","GodName2 (Russian)","GodName2 (Spanish)","GodName2 (Thai)","GodName2 (Traditional Chinese)","SelectionImage","Effect1_Stats","Effect1_Values","Effect2_Stats","GodName3","GodName3 (French)","GodName3 (German)","GodName3 (Japanese)","GodName3 (Korean)","GodName3 (Portuguese)","GodName3 (Russian)","GodName3 (Spanish)","GodName3 (Thai)","GodName3 (Traditional Chinese)","Effect3_Values","Effect3_Stats","GodName4","GodName4 (French)","GodName4 (German)","GodName4 (Japanese)","GodName4 (Korean)","GodName4 (Portuguese)","GodName4 (Russian)","GodName4 (Spanish)","GodName4 (Thai)","GodName4 (Traditional Chinese)","Effect4_Stats","Effect4_Values","GodName1","GodName1 (French)","GodName1 (German)","GodName1 (Japanese)","GodName1 (Korean)","GodName1 (Portuguese)","GodName1 (Russian)","GodName1 (Spanish)","GodName1 (Thai)","GodName1 (Traditional Chinese)","Effect2_Values","QuestFlag","rid_209","string_225","[rid]_233","i32_249","i32_253","bool_257","[rid]_258"
0,"TheBrineKing",60,242,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarLeft","Puruna, the Challenger","Puruna, l'Opposant","Puruna der Herausforderer","挑戦者、プルナ","도전자 푸루나","Puruna, o Desafiador","Пуруны, претендента","Puruna, la Retadora","พูรูนา ผู้ท้าทาย","挑戰者普魯那","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[6082],[1],[215],"Captain Tanner Lightfoot","Capitaine Tanner Lestepied","Hauptmann Tanner Leichtfuß","タナー・ライトフット隊長","혁갑 경보병 지휘관","Capitão Tanner Lightfoot","Трибуна Таннера Легкоступа","Capitán Tanner Pies Ligeros","กัปตันแทนเนอร์ ไลท์ฟุท","隊長坦納萊富特",[100],[185],"Pirate Treasure","Trésor pirate","Piratenschatz","海賊の宝","해적 보물","Tesouro Pirata","Сокровища пиратов","Tesoro pirata","สมบัติโจรสลัด","海盜的寶藏",[2546],[-50],"Soul of the Brine King","Âme du Roi des Embruns","Seele des Gischtkönigs","海水の王の魂","염수왕의 영혼","Alma do Rei da Salmoura","Душа Морского царя","Alma del Rey del mar","วิญญาณราชันน้ำเค็ม","海洋王之魂",[30],72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[6814]
1,"Arakaali",760,300,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarRight","Maligaro the Mutilator","Maligaro, le Mutilateur","Maligaro der Verstümmler","切断者、マリガロ","절단자 말리가로","Maligaro, o Mutilador","Малигаро Мучителя","Malígaro el Mutilador","มาลิกาโร ผู้พรากอวัยวะ","毀壞者馬雷葛蘿","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[531],[-10],[5645],"Hybrid Widow","Veuve hybride","Hybridwitwe","ハイブリッドウィドウ","잡종 과부","Viúva Híbrida","Гибридной вдовы","Viuda híbrida","ไฮบริดวิโดว์","混種黑寡婦",[20],[6007],"Queen of the Great Tangle","Reine du Grand enchevêtrement","Königin des großen Gewirrs","大きな縺れの女王","거대한 덩굴의 여왕","Rainha do Grande Emaranhado","Царицы Великого плетения","Reina del gran enredo","นางพญามหาพัวพัน","紛爭女王",[5781],[40],"Soul of Arakaali","Âme d'Arakaali","Seele von Arakaali","アラカーリの魂","아라칼리의 영혼","Alma de Arakaali","Душа Аракаали","Alma de Arakaali","วิญญาณอาราคาลี","艾爾卡莉之魂",[20],72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[6814]
2,"Solaris",560,357,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeRight","a Redblade Warlord","un Seigneur de guerre Rougelame","Kriegsherr der Rotklingen","紅い雨、ビナイア","적검단 전쟁군주","Comandante da Lâmina Vermelha","атамана Красных сабель","un Señor de la guerra Cuchilla roja","ขุนศึกเรดเบลดผู้หนึ่ง","紅刃軍閥","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[5846,5847]","[6,20]",[5848],"The Infernal King","Le Roi infernal","Der Höllenkönig","地獄の王","지옥불 왕","O Rei Infernal","Владыки преисподней","El Rey Infernal","กษัตริย์เพลิงอเวจี","獄炎之王",[1],[5849],"Jorus, Sky's Edge","Jorus, l'Orée du ciel","Jorus, Himmelsrand","天空の端、ジョラス","하늘의 끝 조러스","Jorus, Lâmina Celeste","Хоруса, Небесной грани","Jorus, el Filo del cielo","จอรัส ขอบแห่งนภา","天際朱力斯",[5852],[50],"Soul of Solaris","Âme de Solaris","Seele von Solaris","ソラリスの魂","솔라리스의 영혼","Alma de Solaris","Душа Солярис","Alma de Solaris","วิญญาณโซลาริส","日耀神之魂",[-8],72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[6814]
3,"Lunaris",354,386,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeLeft","Sebbert, Crescent's Point","Sebbert, la Pointe du croissant","Sebbert, Spitze des Halbmondes","三日月の先端、セバート","초승달의 끝 세버트","Sebbert, Ponto Crescente","Зибберта, Полумесяца","Sebbert, Cuarto creciente","เซบเบิร์ท จุดแห่งจันทร์เสี้ยว","弦月之靈賽伯特","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[5853,5854]","[1,1]",[5855],"Khor, Sister of Shadows","Khor, Sœur des Ombres","Khor, Schwester der Schatten","影の妹、コール","그림자의 자매 코르","Khor, Irmã das Sombras","Хор, Сестры теней","Khor, Hermana de sombras","คอร์ ธิดาแห่งเงา","暗影姊妹．霍爾",[-6],[14662],"Captain Clayborne, The Accursed","Capitaine Poindreglaise, le Maudit","Kapitän Clayborne, der Verfluchte","呪われしクレーボーン船長","저주받은 자 클레이본 대장","Capitão Clayborne, o Amaldiçoado","Капитана Клейборна, проклятого","Capitán Clayborne, el Maldito","กัปตันเคลย์บอร์น ผู้ต้องสาป","被詛咒的．隊長克雷波恩",[5857],[100],"Soul of Lunaris","Âme de Lunaris","Seele von Lunaris","ルナリスの魂","루나리스의 영혼","Alma de Lunaris","Душа Лунарис","Alma de Lunaris","วิญญาณลูนาริส","月影神之魂",[10],72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[6814]
4,"Minor God 1",780,517,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","","","","","","","","","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],72,72,"/InGame/Pantheon/CoverLargeFarLeft",[],0,0,1,[]
5,"Minor God 2",682,550,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","","","","","","","","","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],72,72,"/InGame/Pantheon/CoverLargeFarLeft",[],0,0,1,[]
6,"Abberath",328,584,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Megaera","Mégaera","Megaera","メガイラ","메가이라","Megaera","Мегеры","Megaera","เมแกอ์รา","炎靈密卡拉","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[14038],[-60],"[6549,5646]","","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"Soul of Abberath","Âme d'Abberath","Seele von Abberath","アバラスの魂","아버라스의 영혼","Alma de Abberath","Душа Абберата","Alma de Abberath","วิญญาณแอ็บเบอร์แรธ","艾貝拉斯之魂","[1,10]",72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[]
7,"Minor God 4",359,794,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","","","","","","","","","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],72,72,"/InGame/Pantheon/CoverLargeFarLeft",[],0,0,1,[]
8,"Gruthkul",425,609,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Erebix, Light's Bane","Érébix, le Fléau de la Lumière","Erebix, Lichtverderberin","光の災い、エレビックス","빛의 파멸 에레빅스","Erebix, Estandarte da Luz","Эребикса, Погибели света","Erebix, Flagelo de la luz","เอเรบิกซ์ หายนะแก่สรรพแสง","光明剋星艾爾畢斯","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5655],[1],[5838],"","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"Soul of Gruthkul","Âme de Gruthkul","Seele von Gruthkul","グラスクルの魂","그루스컬의 영혼","Alma de Gruthkul","Душа Граткул","Alma de Gruthkul","วิญญาณกรัธท์คัล","葛魯斯寇之魂",[-8],72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[]
9,"Yugul",225,627,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Varhesh, Shimmering Aberration","Varhesh, l'Aberration miroitante","Varhesh, schimmernde Anomalie","煌めく怪物、ヴァーヘッシュ","일렁이는 변이 바레쉬","Varhesh, Aberração Cintilante","Вархеша, Сверкающего отродья","Varhesh, Aberración brillante","วาร์เฮช ระยิบวิปลาส","微光之屍弗賽斯","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[10328,14039]","[-50,50]",[1275],"","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"Soul of Yugul","Âme de Yugul","Seele von Yugul","ユーグルの魂","유굴의 영혼","Alma de Yugul","Душа Югула","Alma de Yugul","วิญญาณยูกูล","伊果之魂",[-30],72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[]
