"rownum","Id","MonsterVarietiesKey","i32_20","rid_24","bool_40","bool_41","i32_42","i32_46","bool_50","rid_51","rid_67","i32_83","bool_87","i32_88","string_92","bool_100","bool_101","i32_102"
0,563,475,158,"","",1,0,0,"","","",0,1,0,"voidzone",1,1,0
1,564,457,158,"","",1,0,0,"","","",0,"",0,"","",1,0
2,567,"",121,"",1,1,0,0,1,"","",0,1,0,"temp_minion",1,1,0
3,572,480,158,"","",1,0,8,1,"","",0,"",0,"my_laser","",1,0
4,576,1655,158,"","","",0,0,"","","",0,"",0,"","",1,0
5,600,571,158,"",1,1,0,0,1,"","",0,1,0,"crystals",1,1,0
6,601,98,158,"",1,1,0,0,"","","",0,"",0,"","",1,0
7,612,20,158,"","",1,0,0,"","","",0,"",0,"","",1,0
8,632,1400,158,"","",1,0,0,1,"","",0,"",0,"","",1,0
9,1000,282,158,"","",1,0,0,"","","",0,"",0,"","",1,0
10,1001,"",137,"",1,1,0,0,"","","",0,"",0,"","",1,0
11,1003,229,158,"",1,1,0,0,"","","",0,"",0,"","",1,0
12,1004,180,158,"",1,1,0,0,"","","",0,"",0,"","",1,0
13,1005,180,158,"",1,1,0,0,"","","",0,"",0,"","",1,0
14,1006,180,158,"",1,1,0,0,"","","",0,"",0,"","",1,0
15,1007,181,158,"",1,1,0,0,"","","",0,"",0,"","",1,0
16,1008,335,158,"",1,1,0,0,"","","",0,"",0,"","",1,0
17,1009,"",137,"","","",0,0,"","","",0,"",0,"","",1,0
18,1011,"",138,"","","",0,0,"","","",0,"",0,"","",1,0
19,1013,385,158,"","",1,0,0,"","","",0,"",0,"clones",1,1,0
20,1014,602,158,"","",1,0,0,"","","",0,"",0,"","",1,0
21,1016,"",139,5483,1,1,0,0,"","","",0,"",0,"","",1,0
22,1018,655,158,"","",1,0,0,"","","",0,"",0,"totems",1,1,0
23,1019,800,158,"",1,"",0,0,"","","",0,"",0,"offense_squad",1,"",0
24,1020,801,158,"",1,"",0,0,"","","",0,"",0,"defense_squad",1,1,0
25,1021,867,158,"","","",0,0,"","","",0,"",0,"","",1,0
26,1022,862,158,"","",1,0,0,"","","",0,"",0,"","",1,0
27,1023,826,158,"",1,"",0,0,"","","",0,"",0,"","",1,0
28,1026,1031,158,"",1,"",0,0,1,"","",0,"",0,"jaguar_minion",1,1,0
29,1027,1064,158,"",1,"",0,0,"","","",0,"",0,"orb",1,"",0
30,1028,1089,158,"",1,1,0,-20,"","","",0,1,0,"blackhole",1,1,0
31,1031,1105,158,"",1,1,0,0,"","","",0,1,0,"","",1,0
32,1032,1106,158,"",1,1,0,0,"","","",0,1,0,"","",1,0
33,1033,1107,158,"",1,1,0,0,"","","",0,1,0,"","",1,0
34,1034,1108,158,"",1,1,0,0,"","","",0,1,0,"","",1,0
35,1035,"",141,"",1,1,0,0,"","","",0,"",0,"","",1,0
36,1037,1184,158,"",1,1,0,0,"","","",0,"",0,"spirits",1,1,0
37,649,1172,158,1175,1,1,0,0,"","","",0,"",0,"","",1,0
38,1042,718,158,"",1,1,0,0,"","","",0,"",0,"soul_orb",1,1,0
39,1043,719,158,"",1,1,0,0,"","","",0,"",0,"soul_orb",1,1,0
40,1044,720,158,"",1,1,0,0,"","","",0,"",0,"soul_orb",1,1,0
41,1045,1118,158,"","",1,0,0,"","","",0,"",0,"cannon_barrage",1,1,0
42,1046,"",143,"",1,1,0,0,"","","",0,"",0,"","",1,0
43,1048,"",145,"",1,"",0,0,1,"","",0,"",0,"tentacle",1,1,0
44,1050,341,158,8169,1,1,0,0,"","","",0,"",0,"","",1,0
45,1051,336,158,"","",1,0,0,"","","",0,"",0,"wolves",1,1,0
46,1052,1360,158,"",1,"",0,0,"","","",0,"",0,"bone_wall",1,1,0
47,1053,229,158,"",1,1,0,0,"","","",0,1,0,"","",1,0
48,1054,1109,158,"",1,1,0,0,"","","",0,1,0,"","",1,0
49,1055,1110,158,"",1,1,0,0,"","","",0,1,0,"","",1,0
50,1056,289,158,"","",1,0,0,"","","",0,1,0,"skeleton_minions",1,1,0
