"rownum","BaseItemType","AreaLevel","Tier","Odds"
0,2832,62,14,128
1,2832,62,15,1
2,2832,63,14,128
3,2832,63,15,2
4,2832,64,14,128
5,2832,64,15,4
6,2832,65,14,128
7,2832,65,15,8
8,2832,66,14,128
9,2832,66,15,16
10,2832,66,16,1
11,2832,67,14,64
12,2832,67,15,32
13,2832,67,16,2
14,2832,68,14,8
15,2832,68,15,64
16,2832,68,16,4
17,2832,69,14,4
18,2832,69,15,128
19,2832,69,16,8
20,2832,70,15,64
21,2832,70,16,16
22,2832,70,17,1
23,2832,71,15,32
24,2832,71,16,32
25,2832,71,17,2
26,2832,72,15,8
27,2832,72,16,64
28,2832,72,17,4
29,2832,73,15,4
30,2832,73,16,128
31,2832,73,17,8
32,2832,74,16,64
33,2832,74,17,16
34,2832,74,18,1
35,2832,75,16,32
36,2832,75,17,32
37,2832,75,18,2
38,2832,76,16,8
39,2832,76,17,64
40,2832,76,18,4
41,2832,77,16,4
42,2832,77,17,128
43,2832,77,18,8
44,2832,78,17,64
45,2832,78,18,16
46,2832,78,19,1
47,2832,79,17,64
48,2832,79,18,64
49,2832,79,19,4
50,2832,80,17,24
51,2832,80,18,192
52,2832,80,19,12
53,2832,80,20,1
54,2832,81,17,4
55,2832,81,18,128
56,2832,81,19,12
57,2832,81,20,2
58,2832,82,18,64
59,2832,82,19,16
60,2832,82,20,2
61,2832,83,18,32
62,2832,83,19,32
63,2832,83,20,2
64,2832,84,18,8
65,2832,84,19,64
66,2832,84,20,4
67,2832,85,18,4
68,2832,85,19,128
69,2832,85,20,8
70,2832,86,19,64
71,2832,86,20,16
72,2832,87,19,32
73,2832,87,20,32
74,2832,88,19,8
75,2832,88,20,64
76,2832,89,19,4
77,2832,89,20,128
78,3173,62,14,128
79,3173,62,15,1
80,3173,63,14,128
81,3173,63,15,2
82,3173,64,14,128
83,3173,64,15,4
84,3173,65,14,128
85,3173,65,15,8
86,3173,66,14,128
87,3173,66,15,16
88,3173,66,16,1
89,3173,67,14,64
90,3173,67,15,32
91,3173,67,16,2
92,3173,68,14,8
93,3173,68,15,64
94,3173,68,16,4
95,3173,69,14,4
96,3173,69,15,128
97,3173,69,16,8
98,3173,70,15,64
99,3173,70,16,16
100,3173,70,17,1
101,3173,71,15,32
102,3173,71,16,32
103,3173,71,17,2
104,3173,72,15,8
105,3173,72,16,64
106,3173,72,17,4
107,3173,73,15,4
108,3173,73,16,128
109,3173,73,17,8
110,3173,74,16,64
111,3173,74,17,16
112,3173,74,18,1
113,3173,75,16,32
114,3173,75,17,32
115,3173,75,18,2
116,3173,76,16,8
117,3173,76,17,64
118,3173,76,18,4
119,3173,77,16,4
120,3173,77,17,128
121,3173,77,18,8
122,3173,78,17,64
123,3173,78,18,16
124,3173,78,19,1
125,3173,79,17,32
126,3173,79,18,32
127,3173,79,19,2
128,3173,80,17,24
129,3173,80,18,192
130,3173,80,19,12
131,3173,80,20,1
132,3173,81,17,4
133,3173,81,18,128
134,3173,81,19,12
135,3173,81,20,2
136,3173,82,18,64
137,3173,82,19,16
138,3173,82,20,2
139,3173,83,18,32
140,3173,83,19,32
141,3173,83,20,2
142,3173,84,18,8
143,3173,84,19,64
144,3173,84,20,4
145,3173,85,18,4
146,3173,85,19,128
147,3173,85,20,8
148,3173,86,19,64
149,3173,86,20,16
150,3173,87,19,32
151,3173,87,20,32
152,3173,88,19,8
153,3173,88,20,64
154,3173,89,19,4
155,3173,89,20,128
