"rownum","BaseItemTypesKey","i32_16","rid_20","rid_36"
0,32,50,2,6162
1,4499,50,2,6165
2,250,20,2,6159
3,249,15,3,6160
4,247,10,0,6158
5,32,10,2,6161
6,4499,10,2,6164
7,4499,5,1,6163
8,5202,1,8,""
9,5021,1,8,""
10,4823,1,8,""
11,4615,1,0,""
12,5206,1,2,""
13,5207,1,2,""
14,5089,1,7,""
15,5197,1,3,""
16,5201,1,3,""
17,4937,1,9,""
18,4840,1,4,""
19,4646,1,4,""
20,5090,1,7,""
21,5208,1,2,""
22,5088,1,0,""
23,4960,1,2,""
24,5022,1,4,""
25,5203,1,8,""
26,4679,1,2,""
27,5209,1,2,""
28,4724,1,2,""
29,4877,1,8,""
30,4885,1,3,""
31,4980,1,1,""
32,5091,1,7,""
33,534,1,8,""
34,530,1,8,""
35,4122,1,8,""
36,126,1,9,""
37,262,1,2,""
38,61,1,2,""
39,227,1,2,""
40,228,1,2,""
41,229,1,2,""
42,593,1,2,""
43,230,1,2,""
44,574,1,2,""
45,575,1,2,""
46,589,1,2,""
47,125,1,8,""
48,267,1,2,""
49,268,1,3,""
50,389,1,0,""
51,387,1,0,""
52,154,1,0,""
53,388,1,0,""
54,386,1,0,""
55,312,1,0,""
56,79,1,0,""
57,146,1,0,""
58,259,1,3,""
59,260,1,7,""
60,261,1,3,""
61,253,1,3,""
62,539,1,8,""
63,455,1,2,""
64,453,1,2,""
65,454,1,2,""
66,452,1,2,""
67,497,1,1,""
68,608,1,2,""
69,606,1,2,""
70,607,1,2,""
71,605,1,2,""
72,603,1,2,""
73,592,1,2,""
74,299,1,1,""
75,498,1,1,""
76,64,1,7,""
77,57,1,7,""
78,493,1,1,""
79,491,1,1,""
80,492,1,1,""
81,490,1,1,""
82,494,1,1,""
83,151,1,1,""
84,500,1,1,""
85,566,1,2,""
86,560,1,2,""
87,562,1,2,""
88,561,1,2,""
89,563,1,2,""
90,571,1,2,""
91,565,1,2,""
92,570,1,2,""
93,568,1,2,""
94,569,1,2,""
95,567,1,2,""
96,564,1,2,""
97,572,1,2,""
98,263,1,2,""
99,110,1,1,""
100,325,1,2,""
101,323,1,2,""
102,324,1,2,""
103,322,1,2,""
104,63,1,2,""
105,242,1,1,""
106,265,1,2,""
107,590,1,2,""
108,59,1,7,""
109,576,1,2,""
110,155,1,3,""
111,131,1,3,""
112,42,1,1,""
113,49,1,4,""
114,311,1,2,""
115,264,1,2,""
116,385,1,9,""
117,383,1,9,""
118,164,1,9,""
119,384,1,9,""
120,382,1,9,""
121,165,1,9,""
122,150,1,9,""
123,438,1,3,""
124,436,1,3,""
125,437,1,3,""
126,435,1,3,""
127,369,1,1,""
128,367,1,1,""
129,159,1,1,""
130,368,1,1,""
131,366,1,1,""
132,501,1,1,""
133,594,1,2,""
134,109,1,9,""
135,133,1,9,""
136,81,1,2,""
137,52,1,2,""
138,53,1,2,""
139,290,1,2,""
140,54,1,0,""
141,331,1,4,""
142,329,1,4,""
143,152,1,4,""
144,330,1,4,""
145,328,1,4,""
146,72,1,4,""
147,147,1,4,""
148,66,1,3,""
149,141,1,7,""
150,451,1,8,""
151,449,1,8,""
152,153,1,8,""
153,450,1,8,""
154,448,1,8,""
155,80,1,8,""
156,148,1,8,""
157,426,1,3,""
158,55,1,2,""
159,158,1,9,""
160,128,1,9,""
161,183,1,3,""
162,180,1,8,""
163,405,1,7,""
164,403,1,7,""
165,157,1,7,""
166,404,1,7,""
167,402,1,7,""
168,406,1,7,""
169,407,1,7,""
170,124,1,7,""
171,349,1,3,""
172,289,1,2,""
173,135,1,1,""
174,266,1,2,""
175,105,1,1,""
176,198,1,2,""
177,207,1,7,""
178,215,1,7,""
179,203,1,2,""
180,219,1,3,""
181,223,1,7,""
182,199,1,2,""
183,208,1,7,""
184,216,1,7,""
185,204,1,2,""
186,220,1,3,""
187,224,1,7,""
188,320,1,7,""
189,392,1,7,""
190,161,1,7,""
191,200,1,2,""
192,210,1,7,""
193,217,1,7,""
194,206,1,2,""
195,221,1,3,""
196,225,1,7,""
197,201,1,2,""
198,209,1,7,""
199,218,1,7,""
200,205,1,2,""
201,222,1,3,""
202,226,1,7,""
203,300,1,7,""
204,286,1,7,""
205,149,1,7,""
206,327,1,8,""
207,241,1,7,""
208,65,1,2,""
209,67,1,3,""
210,69,1,9,""
211,60,1,2,""
212,499,1,1,""
213,318,1,3,""
214,316,1,2,""
215,314,1,2,""
216,315,1,2,""
217,313,1,2,""
218,538,1,8,""
219,536,1,8,""
220,537,1,8,""
221,535,1,8,""
222,108,1,0,""
223,103,1,2,""
224,595,1,2,""
225,62,1,3,""
226,231,1,2,""
227,232,1,2,""
228,156,1,1,""
229,233,1,2,""
230,234,1,2,""
231,129,1,1,""
232,496,1,1,""
233,235,1,2,""
234,236,1,2,""
235,163,1,9,""
236,237,1,2,""
237,238,1,2,""
238,127,1,9,""
239,58,1,7,""
240,307,1,2,""
241,308,1,9,""
242,309,1,8,""
243,171,1,2,""
244,119,1,2,""
245,113,1,4,""
246,395,1,8,""
247,390,1,8,""
248,528,1,8,""
249,391,1,8,""
250,120,1,0,""
251,504,1,2,""
252,505,1,2,""
253,100,1,0,""
254,394,1,1,""
255,294,1,1,""
256,293,1,1,""
257,411,1,1,""
258,111,1,8,""
259,612,1,2,""
260,92,1,4,""
261,414,1,3,""
262,458,1,1,""
263,93,1,9,""
264,456,1,2,""
265,101,1,9,""
266,306,1,2,""
267,359,1,9,""
268,123,1,9,""
269,356,1,2,""
270,434,1,3,""
271,396,1,7,""
272,409,1,1,""
273,121,1,1,""
274,413,1,1,""
275,408,1,1,""
276,114,1,0,""
277,360,1,2,""
278,89,1,2,""
279,118,1,2,""
280,609,1,2,""
281,613,1,2,""
282,502,1,8,""
283,350,1,7,""
284,357,1,3,""
285,102,1,8,""
286,115,1,7,""
287,117,1,7,""
288,122,1,8,""
289,85,1,7,""
290,292,1,0,""
291,84,1,9,""
292,112,1,8,""
293,4141,1,9,""
