"rownum","ChestsKey","SpawnWeight","i32_20","bool_24","bool_25","SpawnWeightIncrease","SpawnWeightHardmode"
0,81,200,5,"",1,"",200
1,82,200,5,"",1,"",200
2,83,200,5,"",1,"",200
3,84,0,5,"",1,"",0
4,85,50,5,"",1,"",50
5,86,50,5,"",1,"",50
6,87,50,5,"",1,"",50
7,88,0,5,"",1,"",0
8,89,200,5,"",1,"",200
9,90,200,5,"",1,"",200
10,91,200,5,"",1,"",200
11,92,0,5,"",1,"",0
12,93,10,5,"",1,"",10
13,94,10,5,"",1,"",10
14,95,10,5,"",1,"",10
15,96,0,5,"",1,"",0
16,97,200,5,"",1,14832,200
17,98,200,5,"",1,14832,200
18,99,200,5,"",1,14832,200
19,100,0,5,"",1,"",0
20,101,10,5,1,1,14833,10
21,102,0,5,"",1,"",0
22,103,100,12,"",1,"",100
23,104,100,12,"",1,"",100
24,105,100,12,"",1,"",100
25,106,0,5,"",1,"",0
26,107,300,7,"",1,"",300
27,108,300,7,"",1,"",300
28,109,300,7,"",1,"",300
29,110,0,5,"",1,"",0
30,111,100,7,"",1,14834,100
31,112,100,7,"",1,14834,100
32,113,100,7,"",1,14834,100
33,114,0,5,"",1,"",0
34,115,0,5,1,1,"",0
