"rownum","Id","WordsKey","FlavourTextKey","MinLevel","ModsKeys","SpawnWeight","[i32]_64","AOFile","bool_88","[i32]_89","AppearanceChestsKey","ChestsKey","[rid]_137","i32_153","bool_157","i32_158"
0,"ForgottenReliquaryChest",892,1189,0,[9886],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",120,[],60,"",0
1,"ForgottenReliquaryChest2",893,1190,0,[9887],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",121,[],60,"",0
2,"ForgottenReliquaryChestVaal",894,1191,0,[9888],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",122,[],60,"",0
3,"ForgottenReliquaryVenarius",895,1192,0,[9889],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",123,[],60,"",0
4,"ForgottenReliquaryEaterOfWorlds",896,1193,0,[9890],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",124,[],60,"",0
5,"ForgottenReliquaryMaven",897,1194,0,[9891],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",125,[],60,"",0
6,"ForgottenReliquarySearingExarch",898,1195,0,[9892],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",126,[],60,"",0
7,"ForgottenReliquarySirus",899,1196,0,[9893],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",127,[],60,"",0
8,"ForgottenReliquaryShaper",900,1197,0,[9894],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",128,[],60,"",0
9,"ForgottenReliquaryUberElder",901,1198,0,[9895],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",129,[],60,"",0
10,"ForgottenReliquaryCosmic",902,1199,0,[9896],0,[],"Metadata/Chests/Legacy/ForgottenReliquaryCosmic.ao",1,[],"",130,[],60,"",0
11,"ReliquaryTwilightOrder",1730,1200,0,[],0,[],"Metadata/Chests/Reliquary/kethChestGold.ao",1,[],"",2155,[],60,"",0
12,"UniqueCorruptionVaalStrongboxMartial",1731,3222,58,[4506],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7236,0]","",81,[],57,1,16777216
13,"UniqueCorruptionVaalStrongboxMartialLow",1731,3222,33,[4506],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7236,0]","",82,[],57,1,16777216
14,"UniqueCorruptionVaalStrongboxMartialHigh",1731,3222,0,[4506],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7236,0]","",83,[],57,1,16777216
15,"UniqueCorruptionVaalStrongboxMartialExpedition",1731,3222,0,[4506],0,[],"Metadata/Terrain/Leagues/Expedition/Strongboxes/BuriedVaalStrongbox/BuriedVaalStrongbox01.ao",1,"[7236,0]","",83,[],57,1,16777216
16,"UniqueCorruptionVaalStrongboxCaster",1731,3222,58,[4506],106,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7236,0]","",85,[],58,1,16777216
