"rownum","BaseItemType","Name","Type","LifePerUse","ManaPerUse","RecoveryTime","RecoveryTime2","BuffDefinition","i32_60","UtilityBuff"
0,2340,"Lesser Life Flask",1,50,0,30,30,"",0,[]
1,2341,"Medium Life Flask",1,90,0,50,50,"",0,[]
2,2342,"Greater Life Flask",1,150,0,40,40,"",0,[]
3,2343,"Grand Life Flask",1,260,0,50,50,"",0,[]
4,2344,"Giant Life Flask",1,340,0,40,40,"",0,[]
5,2345,"Colossal Life Flask",1,450,0,40,40,"",0,[]
6,2346,"Gargantuan Life Flask",1,710,0,50,50,"",0,[]
7,2347,"Transcendent Life Flask",1,840,0,40,40,"",0,[]
8,2348,"Ultimate Life Flask",1,920,0,30,30,"",0,[]
9,2349,"Lesser Mana Flask",2,0,50,20,20,"",0,[]
10,2350,"Medium Mana Flask",2,0,70,30,30,"",0,[]
11,2351,"Greater Mana Flask",2,0,90,25,25,"",0,[]
12,2352,"Grand Mana Flask",2,0,110,25,25,"",0,[]
13,2353,"Giant Mana Flask",2,0,165,35,35,"",0,[]
14,2354,"Colossal Mana Flask",2,0,165,25,25,"",0,[]
15,2355,"Gargantuan Mana Flask",2,0,185,20,20,"",0,[]
16,2356,"Transcendent Mana Flask",2,0,285,35,35,"",0,[]
17,2357,"Ultimate Mana Flask",2,0,310,30,30,"",0,[]
18,2358,"Thawing Charm",3,0,0,30,30,"",0,[1]
19,2359,"Staunching Charm",3,0,0,30,30,"",0,[0]
20,2360,"Antidote Charm",3,0,0,30,30,"",0,[4]
21,2361,"Dousing Charm",3,0,0,30,30,"",0,[2]
22,2362,"Grounding Charm",3,0,0,30,30,"",0,[3]
23,2363,"Stone Charm",3,0,0,30,30,"",0,[5]
24,2364,"Silver Charm",3,0,0,30,30,"",0,[6]
25,2365,"Ruby Charm",3,0,0,40,40,"",0,[7]
26,2366,"Sapphire Charm",3,0,0,40,40,"",0,[8]
27,2367,"Topaz Charm",3,0,0,40,40,"",0,[9]
28,2368,"Amethyst Charm",3,0,0,40,40,"",0,[10]
29,2369,"Golden Charm",3,0,0,10,10,"",0,[11]
