"rownum","rid_0","[rid]_16","[rid]_32","[rid]_48","bool_64","bool_65"
0,6474,"[2899,6474]",[],[],1,""
1,6473,"[134,6473]",[],[],1,""
2,17391,[17391],[],[],1,""
3,17392,[17392],[],[],1,""
4,153,[118],[],"[8,9,0,7]","",""
5,556,[118],"[8,9]",[],"",""
6,287,[118],[0],[],"",""
7,288,[118],[7],[],"",""
8,160,[118],"[5,74]",[],1,""
9,3567,[3566],[],[],"",""
10,12119,[12120],[],[],"",""
11,5736,[5736],[],[],"",""
12,3413,[70],[],[],"",""
13,1144,[1143],[],[],"",""
14,3694,[1039],[],[],"",""
15,3414,[210],[],[],"",""
16,2082,[144],[],[],"",""
17,3415,[119],[],[],"",""
18,2711,[171],[],[],"",""
19,2070,[110],[],[],"",""
20,6678,[135],[],[],"",""
21,2404,[24],[],[],"",""
22,9428,[641],[],[],"",""
23,747,[748],[],[],"",""
24,2080,[439],[],[],"",""
25,638,[640],[],[],"",""
26,6167,[6168],[],[],"",""
27,9619,[9620],[],[],"",""
28,3123,[128],[],[],"",""
29,3122,[122],[],[],"",""
30,2950,[2951],[],[],"",""
31,2069,[1086],[],[],"",""
32,1095,[1096],[],[],"",""
33,2981,[2980],[],[],"",""
34,2795,[2794],[],[],"",""
35,3608,[3607],[],[],"",""
36,3610,[3609],[],[],"",""
37,3605,[3603],[],[],"",""
38,3606,[3604],[],[],"",""
39,3699,[3698],[],[],"",""
40,3980,[30],[],[],"",""
41,3981,[31],[],[],"",""
42,3580,[3581],[],[],"",""
43,4362,[4363],[],[],"",""
44,4422,[978],[],[],"",""
45,4423,[2358],[],[],"",""
46,18509,[140],[],[],"",""
47,18508,[138],[],[],"",""
48,18510,[142],[],[],"",""
49,4493,[436],[],[],"",""
50,3979,[438],[],[],"",""
51,5038,[5037],[],[],"",""
52,5044,[3266],[],[],"",""
53,5135,[5136],[],[],"",""
54,5167,[562],[],[],"",""
55,5698,[5699],[],[],"",""
56,6388,[43],[],[],"",""
57,6389,[44],[],[],"",""
58,6390,[50],[],[],"",""
59,6391,[51],[],[],"",""
60,6392,[57],[],[],"",""
61,6393,[58],[],[],"",""
62,6394,[28],[],[],"",""
63,6395,[29],[],[],"",""
64,11873,[43],[],[],"",""
65,11874,[44],[],[],"",""
66,11871,[50],[],[],"",""
67,11872,[51],[],[],"",""
68,11875,[57],[],[],"",""
69,11876,[58],[],[],"",""
70,11869,[28],[],[],"",""
71,11870,[29],[],[],"",""
72,6396,[64],[],[],"",""
73,6397,[65],[],[],"",""
74,6403,[6402],[],[],"",""
75,6432,[6433],[],[],"",""
76,6438,[6435],[],[],"",""
77,6439,[6436],[],[],"",""
78,6440,[6437],[],[],"",""
79,6528,[6527],[],[],"",""
80,6987,[5618],[],[],"",""
81,3940,[7074],[],[],"",""
82,7359,[7359],[],[],"",""
83,9208,[83],[],[],"",""
84,7736,[84],[],[],"",""
85,7880,[2803],[],[],"",""
86,7881,[39],[],[],"",""
87,7886,[2809],[],[],"",""
88,7882,[2914],[],[],"",""
89,7883,[2931],[],[],"",""
90,7884,[7887],[],[],"",""
91,7885,[7888],[],[],"",""
92,7861,[7751],[],[],"",""
93,237,[9314],[],[],"",""
94,9437,[423],[],[],"",""
95,9433,[3533],[],[],"",""
96,9434,[3281],[],[],"",""
97,9435,[4456],[],[],"",""
98,9436,[7248],[],[],"",""
99,9424,[9423],[],[],"",""
100,9476,[9477],[],[],"",""
101,9478,[3304],[],[],"",""
102,9479,[9480],[],[],"",""
103,9493,[1865],[],[],"",""
104,9494,[471],[],[],"",""
105,9495,[472],[],[],"",""
106,9496,[473],[],[],"",""
107,9497,[474],[],[],"",""
108,9566,[9567],[],[],"",""
109,9570,[9568],[],[],"",""
110,9571,[9572],[],[],"",""
111,9592,[14103],[],[],"",""
112,9593,[466],[],[],"",""
113,9634,[952],[],[],"",""
114,9673,[9673],[],[],"",""
115,9713,[2028],[],[],"",""
116,10322,[2260],[],[],"",""
117,10323,[1667],[],[],"",""
118,10324,[1666],[],[],"",""
119,10328,[4654],[],[],"",""
120,15196,[4654],[],[],"",""
121,10406,[10405],[],[],"",""
122,10404,[435],[],[],"",""
123,10407,[598],[],[],"",""
124,10408,[17654],[],[],"",""
125,10409,[7987],[],[],"",""
126,10847,[468],[],[],"",""
127,10848,[3780],[],[],"",""
128,10922,[8024],[],[],"",""
129,10979,[10980],[],[],"",""
130,11012,[5881],[],[],"",""
131,11319,[543],[],[],"",""
132,11322,[95],[],[],"",""
133,11357,[11356],[],[],"",""
134,11361,[11360],[],[],"",""
135,11358,[1199],[],[],"",""
136,11472,[133],[],[],"",""
137,11522,[11523],[],[],"",""
138,11801,[169],[],[],"",""
139,11842,[11845],[],[],"",""
140,11943,[5233],[],[],"",""
141,11877,[439],[],[],"",""
142,11878,[124],[],[],"",""
143,11971,[1357],[],[],"",""
144,11972,[102],[],[],"",""
145,12195,[573],[],[],"",""
146,12196,[3239],[],[],"",""
147,12190,[203],[],[],"",""
148,12812,[12813],[],[],"",""
149,13219,[9606],[],[],"",""
150,13886,[13887],[],[],"",""
151,13922,[13927],[],[],"",""
152,14294,[10172],[],[],"",""
153,14295,[14296],[],[],"",""
154,14461,[2748],[],[],"",""
155,14463,[14462],[],[],"",""
156,15810,[15809],[],[],"",""
157,15941,[11398],[],[],"",""
158,16022,[3502],[],[],"",""
159,16913,[16913],[],[],"",""
160,16310,[16310],[],[],"",""
161,17033,[17031],[],[],"",""
162,17034,[17032],[],[],"",""
163,17361,[444],[],[],"",""
164,17362,[648],[],[],"",""
165,17386,[557],[],[],"",""
166,17387,[705],[],[],"",""
167,17388,[1606],[],[],"",""
168,17389,[696],[],[],"",""
169,17390,[114],[],[],"",""
170,17776,[9243],[],[],"",""
171,17777,[17803],[],[],"",""
172,17770,[17796],[],[],"",""
173,18469,[19539],[],[],"",""
174,18472,[18471],[],[],"",""
175,9739,[28],[],[23],"",""
176,9740,[29],[],[23],"",""
177,7686,[728],[23],[],"",""
178,7682,[7684],[23],[],"",""
179,7683,[7685],[23],[],"",""
180,13638,[13636],[],[50],"",""
181,13639,[13637],[],[50],"",""
182,14400,[14402],[17],[],"",""
183,10849,[95],"[0,7,8,9]",[],"",""
184,18512,[140],[5],[],1,""
185,18511,[138],[5],[],1,""
186,18513,[142],[5],[],1,""
187,10908,[144],[5],[],1,""
188,22604,[952],[5],[],1,""
189,3861,[24],[19],[],"",""
190,7251,[189],[19],[],"",""
191,9049,[441],[19],[],"",""
192,9061,[118],[19],[],"",""
193,11250,[11249],[19],[],"",""
194,3869,[24],"[8,9]",[],"",""
195,18520,[171],"[8,9]",[],"",""
196,6013,[70],"[8,9]",[],"",""
197,6014,[210],"[8,9]",[],"",""
198,7238,[696],"[8,9]",[],"",""
199,7435,[5067],"[8,9]",[],"",""
200,7434,[7436],"[8,9]",[],"",""
201,7433,[2490],"[8,9]",[],"",""
202,10410,[474],"[8,9]",[],"",""
203,10411,[9243],"[8,9]",[],"",""
204,17288,[12563],"[8,9,39]",[],"",""
205,17289,[5976],"[8,9,39]",[],"",""
206,6207,[117],[0],[],"",""
207,3433,[24],[0],[],"",""
208,4067,[1895],[0],[],"",""
209,4132,[135],[0],[],"",""
210,4731,[4732],[0],[],"",""
211,6489,[543],[0],[],"",""
212,13618,[13627],[56],[],"",""
213,13245,[18523],[56],[],"",""
214,18528,[18529],[],[],"",""
215,1366,[117],[7],[],"",""
216,1375,[1374],[7],[],"",""
217,1608,[728],[7],[],"",""
218,1368,[7230],[7],[],"",""
219,1609,[26],[7],[],"",""
220,3853,[24],[7],[],"",""
221,4059,[70],[7],[],"",""
222,4133,[135],[7],[],"",""
223,12153,[2490],[7],[],"",""
224,10412,[3304],[7],[],"",""
225,7107,[3566],[7],[],"",""
226,5267,[5266],[7],[],"",""
227,12154,[5067],[7],[],"",""
228,5270,[5269],[7],[],"",""
229,7239,[7240],[7],[],"",""
230,5377,[5376],[7],[],"",""
231,12152,[7436],[7],[],"",""
232,8873,[8872],[7],[],"",""
233,18419,[18419],[7],[],"",""
234,18833,[1100],[],[],"",""
235,18987,[18989],[],[],"",""
236,7738,[2073],[],[],"",""
237,19108,[9572],[],[],"",""
238,19390,[4824],[],[],"",""
239,19431,[9018],[],[],"",""
240,19435,[568],[],[],"",""
241,19616,[52],[],[],"",""
242,19617,[53],[],[],"",""
243,19834,[19835],[],[],"",""
244,19833,[19833],[],[],"",""
245,19832,[118],"[67,68,69,70,71,72]",[],"",""
246,19837,[19837],[],[],"",""
247,19838,[19838],[],[],"",""
248,19839,[19839],[],[],"",""
249,19840,[19840],[],[],"",""
250,19841,[19841],[],[],"",""
251,19842,[19842],[],[],"",""
252,20213,[20211],[],[],"",""
253,20214,[20212],[],[],"",""
254,20322,[8872],"[8,0]",[],"",""
255,20345,[171],[57],[],"",""
256,20566,[20567],[],[],"",""
