"rownum","string_0","string_8","i32_16","i32_20","i32_24"
0,"BoneShatterStun","etonResummon",0,0,-93015103
1,"MagmaBarrierBlock","esummon",0,0,-363984537
2,"ShieldDrumArmourBroken","nResummon",0,0,77831965
3,"SkeletalBruteStun","欀攀氀攀琀愀氀䌀氀攀爀椀挀刀攀瘀椀瘀攀",0,0,-1702486015
4,"SkeletalClericRevive","氀攀琀愀氀䌀氀攀爀椀挀刀攀瘀椀瘀攀",0,0,982105551
5,"SkeletonResummon","攀匀琀甀渀",0,0,1108045582
6,"IceNovaFrostBolt","keletonResummon",0,0,656542665
7,"LightningWarpSuccess","eletonResummon",0,0,-1002294092
8,"LightningWarpFail","氀攀琀漀渀刀攀猀甀洀洀漀渀",0,0,2099612631
9,"SnipeFailure","攀一漀瘀愀䘀爀漀猀琀䈀漀氀琀",0,0,700394792
10,"SnipeSuccess","NovaFrostBolt",0,0,1385059030
11,"SnipeSuccessHit","漀瘀愀䘀爀漀猀琀䈀漀氀琀",0,0,1794762153
12,"PerfectStrikeFail","ummon",0,0,1731975944
13,"PerfectStrikeSuccess","洀洀漀渀",0,0,709844548
14,"UnearthConstructs","愀氀䌀氀攀爀椀挀刀攀瘀椀瘀攀",0,0,-211402709
