"rownum","BaseItemType","ItemClass","Stats","StatsValues"
0,609,22,[1383],[5]
1,610,25,[153],[12]
2,611,23,[3239],[5]
3,612,23,[97],[15]
4,613,22,[9612],[10]
5,614,25,[20654],[8]
6,615,22,[19540],[1]
7,616,25,[423],[8]
8,617,23,[18627],[20]
9,618,24,[147],[8]
10,619,24,[14721],[2]
11,582,24,[133],[30]
12,609,32,[18220],[8]
13,610,32,[18209],[30]
14,611,32,[18221],[8]
15,612,32,[18223],[14]
16,613,32,[18224],[14]
17,614,32,[18222],[100]
18,615,32,[18226],[480]
19,616,32,"[18210,18211]","[12,18]"
20,617,32,[18225],[8]
21,618,32,[16423],[10]
22,619,32,[18627],[20]
23,554,23,[22298],[-6]
24,555,23,[171],[5]
25,556,24,[1275],[-40]
26,557,25,[151],[2]
27,558,25,[20654],[20]
28,560,24,[132],[50]
29,561,22,[9615],[15]
30,562,22,[5976],[20]
31,563,22,[210],[8]
32,564,13,[168],[1]
33,566,22,[11353],[20]
34,570,22,"[30,31]","[5,12]"
35,571,24,[1914],[10]
36,572,22,[70],[8]
37,574,22,[15836],[15]
38,575,25,[13308],[-6]
39,576,25,[3432],[5]
40,577,24,[16249],[1]
41,578,25,[18493],[-5]
42,583,25,"[209,3239]","[8,8]"
43,584,25,[7052],[4]
44,585,23,"[2013,3263]","[15,15]"
45,589,23,[19425],[10]
46,589,25,[9018],[6]
47,590,25,[4262],[-4]
48,591,13,[169],[20]
49,593,32,[22662],[40]
50,535,32,[563],[6]
51,536,32,[563],[8]
52,537,32,[563],[10]
53,538,32,[569],[6]
54,539,32,[569],[8]
55,540,32,[569],[10]
56,541,32,[566],[6]
57,542,32,[566],[8]
58,543,32,[566],[10]
59,579,24,[22681],[20]
60,580,24,[22682],[20]
61,581,24,[19162],[20]
