"rownum","Id","i32_8","i32_12","i32_16","i32_20","rid_24","[rid]_40"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[10206]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[10206,10249]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[10244]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[10244,10249]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[10245]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[10245,10249]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[10246]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[10246,10249]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[10247]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[10247,10249]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[10248]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[10248,10249]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[10195]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[10195,10196]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[10195]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[10195]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[10195]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[10195]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[10197]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[10197,10196]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[10197]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[10197]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[10197]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[10197]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[10198]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[10198,10196]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[10198]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[10198]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[10198]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[10198]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[10199]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[10199,10196]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[10199]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[10199]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[10199]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[10199]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[10200]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[10200,10196]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[10200]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[10200]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[10200]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[10200]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[10203,10201]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[10203,10201,10196]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[10203,10201]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[10203,10201]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[10203,10201]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[10203,10201]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[10204,10202]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[10204,10202,10196]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[10204,10202]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[10204,10202]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[10204,10202]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[10204,10202]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[10205,10195]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[10205,10203]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[10195,10196,11235]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[10195,10196,11235]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[10195,10196,11235]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[10195,10196,11235]"
