"rownum","WorldArea","CapturedVessel","QuestFlag","CapturedMonster","PanelLayout","CapturedMonsterDescription"
0,1172,9498,1389,[2451],0,""
1,1145,9499,1390,[2398],0,""
2,1244,9500,1391,[5251],0,""
3,1215,9501,1392,[5886],1,""
4,1158,9502,1393,[2425],1,""
5,1135,9503,1394,[2429],1,""
6,1140,9504,1395,[2415],2,""
7,1146,9505,1396,[2342],2,""
8,1183,9506,1397,[5430],2,""
9,1175,9507,1398,[5406],3,""
10,1261,9508,1399,[8319],3,""
11,1155,9509,1400,[3180],3,""
12,1214,9510,1402,[5731],6,""
13,1143,9511,1405,[5765],8,""
14,1169,9512,1406,[2711],9,""
15,1096,9513,1407,[5835],10,""
16,1189,9514,1401,[5520],11,""
17,1134,9515,1404,[5467],13,""
18,1239,9516,1408,[5817],14,""
19,1161,9517,1403,[1547],15,""
