"rownum","BaseItemTypesKey","HeistAreasKey","i32"
0,9677,0,45
1,9678,1,0
2,9679,2,0
3,9680,3,0
4,9699,0,0
5,9681,4,0
6,9682,5,0
7,9683,6,45
8,9684,7,0
9,9685,8,0
10,9700,1,0
11,9701,8,0
12,9702,1,0
13,9703,7,0
14,9704,3,0
15,9705,0,0
16,9706,5,0
17,9707,2,0
18,9708,2,0
19,9709,7,0
20,9710,8,0
21,9711,3,0
22,9712,0,0
23,9713,0,0
24,9714,2,0
25,9715,7,0
26,9716,4,0
27,9717,7,0
28,9718,7,0
29,9719,0,0
30,9720,1,0
31,9721,1,0
32,9722,3,0
33,9723,1,0
34,9724,7,0
35,9725,1,0
36,9726,8,0
37,9727,8,0
38,9728,2,81
39,9729,8,0
40,9730,8,0
41,9731,8,0
42,9732,8,81
