"rownum","BaseItemTypesKey","AOFile","bool"
0,569,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX.ao",1
1,570,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_SG.ao",""
2,571,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_TW.ao",""
3,572,"Metadata/Effects/Microtransactions/Misc/fireworks/Gore/gorefireworksMTX.ao",""
4,573,"Metadata/Effects/Microtransactions/Misc/arctic_aurora/arcticAurora.ao",""
5,574,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_BR.ao",""
6,575,"Metadata/Effects/misc/darksoulercoaster/rig.ao",""
7,576,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_Classic.ao",""
8,577,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_halloween.ao",""
9,578,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_frigid.ao",""
10,3752,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_valentine.ao",""
