"rownum","rid","string","string","rid"
0,6875,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveRed","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveRedAlt",""
1,6876,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveGreen","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveGreenAlt",""
2,6877,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActive_Blue","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActive_BlueAlt",""
3,6878,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActivePrismatic","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActivePrismaticAlt",""
4,6879,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyss","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssAlt",""
5,6880,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyss","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssAlt",""
6,6881,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyss","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssAlt",""
7,6882,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyss","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssAlt",""
8,6883,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveLegion","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveLegionAlt",""
9,6884,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAltPurple",219
10,6885,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAltBlue",218
11,6886,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAltRed",217
12,10707,"Art/2DArt/UIImages/InGame/Azmeri/AnimalCharmSocketedBear","",542
13,10708,"Art/2DArt/UIImages/InGame/Azmeri/AnimalCharmSocketedWolf","",543
14,10709,"Art/2DArt/UIImages/InGame/Azmeri/AnimalCharmSocketedCat","",544
