"rownum","MapPinsKey0","MapPinsKey1","rid","RestrictedAreaText","rid","rid","rid","[rid]"
0,0,1,0,"You must complete the quest 'Enemy at the Gate' first.",1,"","",[]
1,0,2,"","","","","",[]
2,2,3,"","","","","",[]
3,2,4,"","","","","",[]
4,4,5,"","","","","",[]
5,4,7,24,"You must complete the quest 'Breaking Some Eggs' first.",25,"","",[]
6,7,6,"","","","","",[]
7,7,8,"","","","","",[]
8,8,9,"","","","","",[]
9,9,10,"","","","","",[]
10,10,11,"","","","","",[]
11,11,12,"","","","","",[]
12,12,13,"","","","","",[]
13,12,14,"","","","","",[]
14,17,18,"","","","","",[]
15,17,19,"","","","","",[]
16,17,25,"","","","","",[]
17,19,21,"","","","","",[]
18,19,20,"","","","","",[]
19,21,24,"","","","","",[]
20,21,23,"","","","","",[]
21,21,33,"","","","","",[]
22,22,33,"","","","","",[]
23,25,30,"","","","","",[]
24,25,27,"","","","","",[]
25,27,28,"","","","","",[]
26,30,29,99,"You must complete the quest 'The Root of the Problem' first.",100,"","",[]
27,29,26,"","","","","",[]
28,26,31,"","","","","",[]
29,26,32,"","","","","",[]
30,14,15,"","","","","",[]
31,11,16,233,"You must complete the quest 'The Way Forward' first.",230,"","",[]
32,34,35,"","","","","",[]
33,34,36,"","","","","",[]
34,36,37,"","","","","",[]
35,36,44,"","","","","",[]
36,44,45,434,"The way is impassable due to the Undying blockage.",194,434,473,[]
37,44,38,"","","","","",[]
38,38,39,"","","","","",[]
39,38,40,"","","","","",[]
40,40,41,"","","","","",[]
41,41,42,"","","","","",[]
42,40,45,"","The bridge across is blocked by a thaumaturgical barrier.",475,"",434,[]
43,40,43,"","","","","",[]
44,45,46,"","","","","",[]
45,45,47,"","","","","",[]
46,47,48,"","","","","",[]
47,47,49,"","","","","",[]
48,51,50,"","","","","",[]
49,50,52,"","","","","",[]
50,50,53,"","","","","",[]
51,53,54,"","","","","",[]
52,54,55,"","","","","",[]
53,55,56,"","","","","",[]
54,54,57,"","","","","",[]
55,57,58,"","","","","",[]
56,54,59,"","","","","",[]
57,59,60,697,"You must pierce the hide with the Rapture device.",222,"","",[]
58,50,61,"","","","","",[]
59,63,62,"","","","","",[]
60,62,64,"","","","","",[]
61,64,65,"","","","",1071,[]
62,65,67,"","","","","",[]
63,67,69,"","","","",1071,[]
64,69,68,"","","",1071,316,[]
65,68,66,"","","","","",[]
66,66,70,"","","","","",[]
67,66,71,"","","","","",[]
68,66,72,1410,"You need the Sign of Purity to access the Cathedral Rooftop.",1043,"","",[]
69,66,64,"","The entrance is now blocked.",1071,"",316,[]
70,73,74,"","","","","",[]
71,73,75,"","","","","",[]
72,75,76,"","","","","",[]
73,75,77,"","","","","",[]
74,77,78,1178,"You need to find the missing Karui eye to open the gate.",1181,"","",[]
75,78,79,1175,"You must defeat Tukohama to unlock the exit.",1180,"","",[]
76,79,80,"","","","","",[]
77,80,81,"","","","","",[]
78,81,82,"","","","","",[]
79,82,83,"","","","","",[]
80,83,84,"","","","","",[]
81,83,85,"","","","","",[]
82,85,86,"","","","","",[]
83,86,87,"","","","","",[]
84,87,88,1160,"You must light the Beacon to access the Brine King's Reef.",1153,"","",[]
85,89,90,"","","","","",[]
86,90,91,"","","","","",[]
87,91,92,"","","","","",[]
88,91,94,"","","","","",[]
89,91,97,"","The bandits have blocked the way. You must find another way around.",1270,"",1270,[]
90,92,93,"","","","","",[]
91,94,96,"","","",1287,1164,[]
92,94,95,"","","","","",[]
93,96,97,"","","","","",[]
94,97,98,"","","","","",[]
95,98,99,"","","","","",[]
96,98,100,"","","","","",[]
97,100,101,"","","","","",[]
98,101,102,"","","","","",[]
99,103,104,"","","","","",[]
100,104,105,"","","","","",[]
101,105,106,"","","","","",[]
102,105,111,"","","","","",[]
103,108,107,"","","","","",[]
104,106,108,"","","","","",[]
105,108,109,"","","","","",[]
106,109,110,"","","","","",[]
107,109,116,"","","","","",[]
108,111,112,"","","","","",[]
109,112,113,"","","","","",[]
110,113,115,"","","","","",[]
111,115,114,"","","","","",[]
112,114,116,"","","","","",[]
113,117,118,"","","","","",[]
114,118,119,"","","","","",[]
115,119,120,"","","","","",[]
116,120,121,1631,"You must find a way to clear the Sandstorm to access the Oasis.",1636,"","",[]
117,120,122,"","","","","",[]
118,122,123,"","","","","",[]
119,122,124,"","","","","",[]
120,124,125,"","","","","",[]
121,125,126,"","","","","",[]
122,125,127,1611,"You must deliver the ingredients to Sin to access the Beast.",1374,"","",[]
123,127,128,"","","","","",[]
124,129,130,"","","","","",[]
125,130,131,"","","","","",[]
126,131,132,"","","","","",[]
127,132,133,"","","","","",[]
128,131,134,"","Kitava's Horns block the way.","",1665,1666,[]
129,134,135,"","","","","",[]
130,131,136,"","","","","",[]
131,131,137,"","","","","",[]
132,131,138,"","","","","",[]
