"rownum","Id","bool","bool","rid","[rid]","rid","rid","rid","[rid]","rid","rid","i32","bool","rid","bool","bool","[rid]"
0,"Anarchy",1,1,16971,[1849],17012,13795,"","[2233,3254]",5449,"",10,"",1388,"","",[]
1,"Shrine",1,1,16972,[],17013,13792,"","[2454,9847,9846]",5610,"",10,"","",1,"",[]
2,"VaalSideArea",1,1,16973,[],13621,"",2312,[5824],"","",1,"","",1,"",[2312]
3,"Ambush",1,1,16974,[2520],17014,"","",[2453],5653,"",2,"","","","",[]
4,"Torment",1,1,16975,[2768],17015,13791,"","[2769,3255]",5576,"",10,"","","","",[]
5,"Essence",1,1,16976,[],17016,15498,"","[4867,5590]",5461,"",10,"","","","",[]
6,"Breach","",1,16137,[9274],13302,"",17045,"[5456,5589]",5455,"",3,"","","","",[17045]
7,"Abyss",1,"",16136,[9274],13737,"",17043,[6626],"","",10,"","","","",[17043]
8,"MasterMission",1,1,"",[2334],"","","",[4928],"","",1,"","",1,1,[]
9,"Bestiary",1,1,"",[2334],"","","",[],"","",1,"","","",1,[]
10,"Incursion","",1,"",[2334],"","","",[],"","",1,"","",1,1,[]
11,"Delve","",1,"",[2334],"","","",[],"","",1,"","",1,1,[]
12,"Betrayal","",1,"",[2334],"","","",[],"","",1,"","",1,1,[]
13,"Legion","",1,16139,[],13514,"",17049,[9349],"","",1,"","",1,"",[17049]
14,"Blight","",1,16141,[],13651,15884,17044,[10048],"","",1,"","",1,"",[17044]
15,"Delirium","",1,16144,[],13643,"",17046,[12462],"","",1,"","","","",[17046]
16,"Harvest","",1,16135,[],13312,"",17048,[11787],"","",1,"","",1,"",[17048]
17,"Heist","",1,16143,[],13677,"",13616,"[13239,14145]","","",1,"","","","",[13616]
18,"Ritual","","",16142,[],14034,"",17051,[14033],"","",1,"","","","",[17051]
19,"Expedition","",1,16138,[],14717,"",17047,[14202],"","",1,"","","",1,[17047]
20,"Sanctum","",1,"",[],"","","",[16965],"","",1,1,"",1,"",[]
21,"Crucible","",1,"",[],"","","",[17693],"","",1,1,"",1,"",[]
22,"Ultimatum","","",18992,[],18993,"",18994,[18995],"","",1,"","",1,1,[18994]
23,"Azmeri","",1,"",[],"","","",[18996],"","",1,1,"",1,1,[]
