"rownum","Id","i32","i32","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","CompletionsRequired","AchievementsKey","bool","bool","bool","bool"
0,"KillExileRanger3",1,0,"Antalie Napora","Antalie Napora","Antalie Napora","Antalie Napora","안탈리에 나포라","Antalie Napora","Анталия Напора","Antalie Napora","Antalie Napora","安塔莉．娜波菈",1,0,"",1,"",1
1,"KillExileDuelist2",1,1,"Armios Bell","Armios Bell","Armios Bell","Armios Bell","아르미오스 벨","Armios Bel","Армис Белл","Armios Bell","Armios Bell","阿密歐斯．貝爾 ",1,0,"",1,"",1
2,"KillExileShadow2",1,2,"Ash Lessard","Ash Lessard","Ash Lessard","Ash Lessard","애쉬 레사르","Ash Lessard","Эш Лессар","Ash Lessard","Ash Lessard","艾許．萊薩德 ",1,0,"",1,"",1
3,"KillExileMarauder2",1,3,"Damoi Tui","Damoi Tui","Damoi Tui","Damoi Tui","다모이 투이","Damoi Tui","Дамои Туи","Damoi Tui","Damoi Tui","達莫伊．圖依",1,0,"",1,"",1
4,"KillExileTemplar1",1,4,"Eoin Greyfur","Eoin Greyfur","Eoin Graupelz","Eoin Greyfur","오언 그레이퍼","Eoin Greyfur","Эойн Седовласый","Eoin Greyfur","Eoin Greyfur","灰髮艾歐恩",1,0,"",1,"",1
5,"KillExileWitch2",1,5,"Igna Phoenix","Igna Phoenix","Igna Phönix","Igna Phoenix","이그나 피닉스","Igna Fênix","Игна Феникс","Igna Phoenix","Igna Phoenix","伊格娜．鳳凰 ",1,0,"",1,"",1
6,"KillExileShadow1",1,6,"Ion Darkshroud","Ion Darkshroud","Ion Düstertuch","Ion Darkshroud","이온 다크슈라우드","Ion Darkshroud","Иона Тёмный Саван","Ion Darkshroud","Ion Darkshroud","暗霧者伊恩",1,0,"",1,"",1
7,"KillExileMarauder1",1,7,"Jonah Unchained","Jonah Unchained","Jonah der Entfesselte","Jonah Unchained","요나 언체인드","Jonah Unchained","Иона Освобожденный","Jonah Unchained","Jonah Unchained","奔放者強納",1,0,"",1,"",1
8,"KillExileWitch1",1,8,"Minara Anemina","Minara Anemina","Minara Anemina","Minara Anemina","미나라 아네미나","Minara Anemina","Минара Анемина","Minara Anemina","Minara Anemina","米娜菈．艾妮米娜 ",1,0,"",1,"",1
9,"KillExileRanger1",1,9,"Orra Greengate","Orra Greengate","Orra Grüntor","Orra Greengate","오라 그린게이트","Orra Greengate","Орра Зеленые врата","Orra Greengate","Orra Greengate","青門之士歐拉",1,0,"",1,"",1
