"rownum","MetamorphosisRewardTypesKey","i32","Description","i32"
0,0,0,"Drops additional Currency Items",46310
1,0,1,"Drops additional Currency Items",46310
2,0,2,"Drops additional Currency Items",46310
3,0,3,"Drops additional Currency Items",46310
4,0,4,"Drops additional Currency Items",46310
5,0,5,"Drops additional Currency Items",46310
6,0,6,"Drops additional Currency Items",46310
7,0,7,"Drops additional Currency Items",46310
8,0,8,"Drops additional Currency Items",46310
9,0,9,"Drops additional Currency Items",46310
10,0,10,"Drops additional Currency Items",46310
11,0,11,"Drops additional Currency Items",46310
12,0,12,"Drops additional Currency Items",46310
13,0,13,"Drops additional Currency Items",46310
14,0,14,"Drops additional Currency Items",46310
15,0,15,"Drops additional Currency Items",46310
16,1,0,"Drops a Unique Item",30518
17,1,1,"Drops additional Unique Items",26727
18,1,2,"Drops a Unique Item",30518
19,2,0,"Drops additional Quality Gems",38458
20,2,1,"Drops additional Quality Gems",38458
21,2,2,"Drops additional Quality Gems",38458
22,2,3,"Drops additional Quality Gems",38458
23,2,4,"Drops a valuable Gem",20164
24,2,5,"Drops a valuable Gem",20164
25,2,6,"Drops a valuable Gem",20164
26,2,7,"Drops a valuable Gem",20164
27,2,8,"Drops additional Quality Gems",38458
28,2,9,"Drops additional Quality Gems",38458
29,2,10,"Drops a valuable Gem",20164
30,2,11,"Drops a valuable Gem",20164
31,2,12,"Drops a valuable Gem",20164
32,2,13,"Drops a valuable Gem",20164
33,3,0,"Drops additional Maps",40327
34,3,1,"Drops additional Maps",40327
35,3,2,"Drops additional Maps",40327
36,3,3,"Drops additional Maps",40327
37,3,4,"Drops additional Maps",40327
38,3,5,"Drops additional Maps",40327
39,3,6,"Drops additional Maps",40327
40,3,7,"Drops additional Maps",40327
41,3,8,"Drops additional Maps",40327
42,3,9,"Drops additional Maps",40327
43,4,0,"Drops additional Rare Jewellery",24009
44,4,1,"Drops additional Rare Jewellery",24009
45,4,2,"Drops additional Rare Jewellery",24009
46,4,3,"Drops additional Rare Jewellery",24009
47,4,4,"Drops additional Atlas Jewellery",41014
48,4,5,"Drops additional Incursion Jewellery",65389
49,4,6,"Drops additional Incursion Jewellery",65389
50,4,7,"Drops additional Incursion Jewellery",65389
51,4,8,"Drops additional Incursion Jewellery",65389
52,4,9,"Drops additional Shaper or Elder Jewellery",40212
53,4,10,"Drops additional Shaper or Elder Jewellery",40212
54,4,11,"Drops additional Veiled Jewellery",25751
55,4,12,"Drops additional Veiled Jewellery",25751
56,4,13,"Drops additional Unique Jewellery",38125
57,4,14,"Drops additional Jewels",58421
58,4,15,"Drops additional Jewels",58421
59,4,16,"Drops additional Jewels",58421
60,4,17,"Drops additional Jewels",58421
61,5,0,"Drops additional Rare Armour",17718
62,5,1,"Drops additional Rare Armour",17718
63,5,2,"Drops a 6-linked Rare Armour",50716
64,5,3,"Drops a 5-linked Rare Armour",57414
65,5,4,"Drops a Rare Armour with 30% Quality",3230
66,5,5,"Drops a Synthesised Armour",56168
67,5,6,"Drops a Fractured Armour",24441
68,5,7,"Drops additional Veiled Armour",26083
69,5,8,"Drops additional Veiled Armour",26083
70,5,9,"Drops additional Incursion Armour",27277
71,5,10,"Drops additional Incursion Armour",27277
72,5,11,"Drops additional Incursion Armour",27277
73,5,12,"Drops additional Incursion Armour",27277
74,5,13,"Drops additional Incursion Armour",27277
75,5,14,"Drops additional Incursion Armour",27277
76,5,15,"Drops additional Incursion Armour",27277
77,5,16,"Drops additional Incursion Armour",27277
78,5,17,"Drops a 6-linked Unique Body Armour",36842
79,6,0,"Drops additional Rare Weapons",21643
80,6,1,"Drops additional Rare Weapons",21643
81,6,2,"Drops a 6-linked Rare Weapon",28349
82,6,3,"Drops a 5-linked Rare Weapon",49022
83,6,4,"Drops a Rare Weapon with 30% Quality",5427
84,6,5,"Drops a Synthesised Weapon",52398
85,6,6,"Drops a Fractured Weapon",11599
86,6,7,"Drops a Veiled Weapon",3937
87,6,8,"Drops a Veiled Weapon",3937
88,6,9,"Drops an Incursion Weapon",24945
89,6,10,"Drops an Incursion Weapon",24945
90,6,11,"Drops an Incursion Weapon",24945
91,6,12,"Drops an Incursion Weapon",24945
92,6,13,"Drops an Incursion Weapon",24945
93,6,14,"Drops an Incursion Weapon",24945
94,6,15,"Drops an Incursion Weapon",24945
95,6,16,"Drops an Incursion Weapon",24945
96,6,17,"Drops an Incursion Weapon",24945
97,6,18,"Drops an Incursion Weapon",24945
98,6,19,"Drops an Incursion Weapon",24945
99,6,20,"Drops an Incursion Weapon",24945
100,6,21,"Drops an Incursion Weapon",24945
101,6,22,"Drops an Incursion Weapon",24945
102,6,23,"Drops a 6-linked Weapon",50437
103,6,24,"Drops a 30% Quality Weapon",14476
104,7,0,"Drops an Abyssal Jewel",60969
105,7,1,"Drops additional Abyssal Jewels",33173
106,7,2,"Drops a Stygian Vise",25160
107,7,3,"Drops an Abyss Unique Item",27614
108,8,0,"Drops additional Expedition Items",9856
109,8,1,"Drops additional Expedition Items",9856
110,8,2,"Drops additional Expedition Items",9856
111,9,0,"Drops additional Currency Shards",52493
112,9,1,"Drops additional Currency Shards",52493
113,9,2,"Drops additional valuable Currency Shards",15157
114,9,3,"Drops additional Harbinger Currency",19644
115,9,4,"Drops additional Harbinger Currency",19644
116,9,5,"Drops additional Harbinger Currency",19644
117,9,6,"Drops additional Harbinger Currency",19644
118,9,7,"Drops a Beachhead Unique Map",37095
119,9,8,"Drops a Beachhead Unique Map",37095
120,9,9,"Drops a Beachhead Unique Map",37095
121,10,0,"Drops additional Breach Splinters",34745
122,10,1,"Drops additional Breach Splinters",34745
123,10,2,"Drops additional Breach Splinters",34745
124,10,3,"Drops a Breach Blessing",23061
125,10,4,"Drops a Breachstone",14029
126,10,5,"Drops a Breachstone",14029
127,10,6,"Drops a Breachstone",14029
128,10,7,"Drops a Breachstone",14029
129,11,0,"Drops additional Essences",31505
130,11,1,"Drops additional Essences",31505
