"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","SoundFile","ParrotSoundFile","i32"
0,"Marauder1","I am a warrior, raised to honour my Ancestors, to die with a weapon in my hand and the Karui Way in my blood. \r\n\r\nOriath chained me, made me its slave. For three years I have lived without my family, my pride, my Way. \r\n\r\nI welcome Exile. I welcome Wraeclast. Hear me, Ancestors! A slave stands behind you. A warrior stands before you. \r\n\r\nAnd Death walks at our side.","Je suis un guerrier, élevé dans le respect de mes Ancêtres et destiné à mourir une arme à la main, le sang imprégné de la Voie karuie.\r\n\r\nOriath m'a enchaîné, a fait de moi son esclave. Pendant trois ans, j'ai été dépossédé de ma famille, de ma fierté, de ma Voie.\r\n\r\nJ'accueille à bras ouverts l'Exil et Wraeclast. Mes Ancêtres, écoutez-moi ! Un esclave se tient derrière vous. Un guerrier se tient devant vous.\r\n\r\nEt la mort marche à nos côtés.","Ich bin ein Krieger, dazu bestimmt, meine Ahnen zu ehren und mit einer Waffe in der Hand und dem Kodex der Karui in meinem Blut zu sterben. \r\n\r\nOriath hat mich in Ketten gelegt, mich zu seinem Sklaven gemacht. Drei Jahre habe ich ohne meine Familie, meinen Stolz, meinen Kodex leben müssen. \r\n\r\nIch nehme die Verbannung an. Ich nehme Wraeclast an. Hört mich an, Ihr Ahnen! Ein Sklave steht hinter Euch. Ein Krieger steht vor Euch. \r\n\r\nUnd der Tod schreitet an unserer Seite.","私は戦士だ。先祖達を敬うこと、手には武器を持ち、血にはカルイの道を宿して死ぬことを教えられ育った。\r\n\r\nオリアスは私を鎖に繋いだ。私を奴隷にした。三年の間、私は家族とも、誇りとも、道とも引き離されて生きてきた。\r\n\r\n私は追放を歓迎する。レイクラストを歓迎する。聞け！先祖達よ！其方らの背後に立つのは奴隷だ。其方らの前に立つのは戦士だ。\r\n\r\nそして我らの隣を歩くのは、死だ。\r\n\r\n","나는 전사로서, 선조들의 명예를 드높이고 무기를 든 채로 카루이의 길을 따르다 죽기 위해 나섰다. \r\n\r\n오리아스는 나를 묶어 노예로 만들었다. 3년 동안 가족도, 자부심도, 나의 길도 잊은 채 살아야 했지. \r\n\r\n유배자가 되어 마주한 레이클라스트가 그래서 차라리 반갑다. 선조들이여! 내 말을 들어 주소서! 한 노예가 당신 곁에 섰습니다. 한 전사가 당신의 곁에 섰습니다. \r\n\r\n그리고 죽음이 우리와 함께 하나이다.","Eu sou um guerreiro, criado para honrar meus Ancestrais, para morrer com uma arma em minhas mãos e a Tradição Karui no meu sangue. \r\n\r\nOriath me acorrentou, me transformou em seu escravo. Vivi por três anos sem minha família, sem meu orgulho, sem minha Tradição. \r\n\r\nEu aceito o Exílio. Eu aceito Wraeclast. Escutai-me, Ancestrais! O escravo ficou para trás. O guerreiro está diante de vós. \r\n\r\nE a morte caminha ao nosso lado.","Я воин. С молоком матери я впитал почтение к предкам. Отец научил меня держать оружие и чтить Путь каруи.\r\n\r\nОриат отнял мою честь, а взамен подарил цепи. Три года я был рабом, вдали от семьи и Пути.\r\n\r\nЯ рад, что стал изгнанником. Я благодарен Рэкласту. Предки, услышьте мои слова! Я был рабом, но перед вами стоит воин.\r\n\r\nИ смерть ждёт часа в моих руках.","Soy un guerrero criado para honrar a mis Ancestros, para morir con un arma en las manos y con la Tradición Karui en la sangre.\r\n\r\nOriath me encadenó y me hizo su esclavo. Durante tres años viví sin mi familia,  sin mi orgullo y sin mi Tradición.\r\n\r\nLe doy la bienvenida al Exilio. Le doy la bienvenida a Wraeclast. ¡Ancestros, escuchen! Un esclavo queda a sus espaldas. Un guerrero se encuentra frente a ustedes.\r\n\r\nY la Muerte camina a nuestro lado.\r\n","ข้า​คือ​นักรบ เติบโต​มา​เพื่อ​เชิดชู​เกียรติ​ของ​เหล่า​บรรพ​ชน เพื่อ​ตาย​ยาม​ที่​มี​อาวุธ​ใน​มือ​และ​มี​วิถี​คา​รุย​ใน​สาย​เลือด\r\n\r\nโอริอาท​ล่าม​โซ่​ข้า​เอา​ไว้ ทำให้​ข้า​กลาย​เป็น​ทาส กว่า​สาม​ปี​ที่​ข้า​ใช้​ชีวิต​อยู่​อย่าง​ไร้​ครอบครัว ไร้​ความ​ภาค​ภูมิ ไร้​วิถี\r\n\r\nข้า​ต้อนรับ​การ​ถูก​เนรเทศ ข้า​ต้อนรับ​เวร์แคลสท์ ฟัง​ข้า​เถิด บรรพ​ชน​ทั้ง​หลาย​! ทาส​คน​หนึ่ง​อยู่​เบื้อง​หลัง​ท่าน นักรบ​คน​หนึ่ง​อยู่​เบื้อง​หน้า​ท่าน\r\n\r\nและ​ความ​ตาย​ก็​เดิน​อยู่​เคียง​ข้าง​เรา","我乃堂堂戰士，自幼接受嚴格訓練，立志光宗耀祖。最後戰死沙場之際，手中握持兵刃，熱血洋溢卡魯之道。\r\n\r\n奧瑞亞以鐵鍊禁錮我，使我淪為囚奴。三年來，我舉目無親、毫無尊嚴、背棄卡魯之道。\r\n\r\n驅逐流放，甘之若飴。我在瓦爾克拉斯自得其樂。先祖啊，且聽我言！一介奴僕與你們同立。一名戰士與你們同立。\r\n\r\n死亡與我們同行。","Audio/Dialogue/Character/Str/Intro/Ma_01_Intro.ogg","",10000
1,"Marauder2","","","","","","","","","","","Audio/Dialogue/Character/Str/Event/Ma_02.ogg","",10000
2,"Marauder3","The dead should remember their place.","Les morts ne devraient jamais oublier leur place.","Die Toten sollten nicht vergessen, wo sie hingehören.","死者は居場所を思い出すべきだ。","시체들에게 있어야 할 곳을 알려줘야겠군.","Os mortos devem se lembrar de seu lugar.","Мёртвые должны знать своё место.","Los muertos deberían recordar su lugar.","คน​ตาย​ควร​อยู่​ใน​ที่​ของ​พวก​มัน","亡者應牢記其所屬之地。","Audio/Dialogue/Character/Str/Event/Ma_03.ogg","",10000
3,"Marauder4"," I am surrounded by living corpses and dying Oriathans. ","Je suis entouré de cadavres vivants et d'Oriathéens mourants."," Ich bin umgeben von wandelnden Leichen und sterbenden Oriathern. ","周りは生ける屍と死にゆくオリアス人ばかりだ。","살아난 시체와 죽은 오리아스인들 투성이군.","Estou cercado por cadáveres despertos e Oriathianos mortos. ","Я окружён живыми трупами и умирающими горожанами.","A mi alrededor los cadáveres caminan y los Oriathanos mueren.","ข้า​ถูก​ห้อมล้อม​ไป​ด้วย​ซากศพ​ที่​มี​ชีวิต​และ​ชาว​โอริอาท​ที่​กำลัง​ตาย","我的身邊盡是殭屍和垂死的奧瑞亞人。","Audio/Dialogue/Character/Str/Event/Ma_04.ogg","",10000
4,"Marauder5","Show me the way, Kaom.","Montre-moi la voie, Kaom.","Zeigt mir den Weg, Kaom.","道を示せ、カオム。","카옴이시여, 길을 보여주소서.","Mostre-me o caminho, Kaom.","Каом, укажи мне путь.","Kaom, muéstrame el camino.","เผย​ทาง​ให้​ข้า​ด้วย คอมม์","指引我未來的方向吧，岡姆。","Audio/Dialogue/Character/Str/Event/Ma_05.ogg","",10000
5,"Marauder6","Dominus took my home, my family.","Dominus m'a pris mon foyer, ma famille.","Dominus hat mir Heimat und Familie genommen.","ドミナスは我が家を、我が家族を奪った。","도미누스가 내 고향과 가족을 앗아갔지.","Dominus tomou meu lar, minha família.","Владыка лишил меня семьи и дома.","Dóminus me arrebató mi hogar y mi familia.","โดมินัส​มัน​เอา​ไป​ทั้ง​บ้าน​และ​ครอบครัว​ข้า","神主奪我家園，殺我家人。","Audio/Dialogue/Character/Str/Event/Ma_06.ogg","",10000
6,"Marauder7","This is not what the elders told us.","Ce n'est pas ce que les anciens nous ont dit.","So haben es uns die Ältesten nicht gelehrt.","長老達から聞いていた話と違う。","조상들께서 말씀하신 거랑은 다른데.","Os anciãos não nos contaram sobre isso.","Об этом старейшие не говорили.","Esto no es lo que los ancianos nos dijeron.","นี่​ไม่ใช่​สิ่ง​ที่​ผู้เฒ่า​ได้​กล่าว​ไว้","長老們告訴我們的並非如此。","Audio/Dialogue/Character/Str/Event/Ma_07.ogg","",10000
7,"Marauder8","A slave is not a man. A slave is not even worthy of death.","Un esclave n'est pas un homme. Un esclave n'est même pas digne de la mort.","Ein Sklave ist kein Mensch. Ein Sklave ist nicht einmal des Todes würdig.","奴隷は人ではない。奴隷には死ぬ価値もない。","노예는 사람도 아냐. 죽을 자격도 없다.","Um escravo não é um homem. Um escravo sequer é merecedor da morte.","Раб — не человек. Он не заслуживает даже смерти.","Un esclavo no es un hombre. Un esclavo ni siquiera merece la muerte.","ทาส​มิใช่​มนุษย์ ทาส​มิ​ควร​ค่า​กระทั่ง​ความ​ตาย​เสีย​ด้วย​ซ้ำ","奴隸根本不算是人。只是苟延殘喘，求死不得。","Audio/Dialogue/Character/Str/Event/Ma_08.ogg","",10000
8,"Marauder9","Your spirit is the plaything of the Ancestors, slavemaster.","Ton esprit est désormais le jouet des Ancêtres, esclavagiste.","Euer Geist ist nur das Spielzeug der Ahnen, Sklavenmeister.","奴隷主よ、お前の魂は先祖たちの遊び道具だ。","죽어서도 네 영혼은 선조들의 장난감일 뿐이다, 노예상.","Agora seu espírito será um mero brinquedo para os Ancestrais, senhor dos escravos.","Надсмотрщик, твой дух стал игрушкой предков.","Tu espíritu es el juguete de los Ancestros, esclavista.","วิญญาณ​เจ้า​เป็น​ของ​เล่น​ของ​เหล่าบรรพชน นาย​ทาส","奴隸之主，成為先祖的玩物吧！","Audio/Dialogue/Character/Str/Event/Ma_09.ogg","",10000
9,"Marauder10","Hinekora, Mother of the Dead, is this your land I walk upon?","Hinekora, Mère des morts, est-ce vos terres que j'arpente ?","Hinekora, Mutter der Toten, ist dies Euer Land, auf dem ich wandele?","死者の母ヒネコラよ、私が歩くのは其方の地なのか？","죽음의 어머니 히네코라여, 제가 서있는 이곳이 당신의 대지입니까?","Hinekora, Mãe dos Mortos, esta terra por onde caminho é sua?","Мать мёртвых Хинекора, не в твою ли землю я зашёл?","Hinekora, Madre de los Muertos, ¿es tu tierra la que estoy atravesando?","ฮิเนโครา พระแม่มรณา ข้า​เดิน​อยู่​บน​แผ่น​ดิน​ของ​ท่าน​อยู่​หรือ​ไม่​?","我是否闖入你的國度，亡者之母悉妮蔻拉？","Audio/Dialogue/Character/Str/Event/Ma_10.ogg","",10000
