"rownum","Id","HASH16","RewardText","ItemVisualIdentityKey","RewardType","SacrificeItem","SacrificeAmount","SacrificeText","bool","TrialMods"
0,"DoubleDivinationCards1",20652,"Doubles sacrificed Divination Cards","",2,"",0,"",1,"[24874,24879]"
1,"DoubleDivinationCards2",54378,"Doubles sacrificed Divination Cards","",2,"",0,"",1,"[24875,24880]"
2,"DoubleDivinationCards3",13401,"Doubles sacrificed Divination Cards","",2,"",0,"",1,"[24876,24881]"
3,"DoubleDivinationCards4",39568,"Doubles sacrificed Divination Cards","",2,"",0,"",1,"[24877,24882]"
4,"DoubleDivinationCards5",25975,"Doubles sacrificed Divination Cards","",2,"",0,"",1,"[24878,24883]"
5,"MirrorRare1",49959,"Item and Mirrored Copy","",3,"",0,"Mirrorable, Rare Item","","[24878,24883]"
6,"Unique1",24507,"","",4,"",0,"","","[24874,24879]"
7,"Unique2",31270,"","",4,"",0,"","","[24876,24881]"
8,"Unique3",62141,"","",4,"",0,"","","[24877,24882]"
9,"Unique4",49320,"","",4,"",0,"","","[24875,24880]"
10,"Unique5",18654,"","",4,"",0,"","","[24876,24881]"
11,"Unique6",7505,"","",4,"",0,"","","[24877,24882]"
12,"Unique7",6641,"","",4,"",0,"","","[24878,24883]"
13,"Unique8",5026,"","",4,"",0,"","","[24878,24883]"
14,"Unique9",17340,"","",4,"",0,"","","[24876,24881]"
15,"Unique10",31328,"","",4,"",0,"","","[24877,24882]"
16,"CurrencyChaos5",10698,"Doubles sacrificed Currency","",1,2,5,"",1,"[24874,24879]"
17,"CurrencyChaos10",32977,"Doubles sacrificed Currency","",1,2,10,"",1,"[24875,24880]"
18,"CurrencyBlessed10",33537,"Doubles sacrificed Currency","",1,23,10,"",1,"[24874,24879]"
19,"CurrencyBlessed20",12316,"Doubles sacrificed Currency","",1,23,20,"",1,"[24875,24880]"
20,"CurrencyScouring15",44257,"Doubles sacrificed Currency","",1,12,15,"",1,"[24874,24879]"
21,"CurrencyScouring30",34349,"Doubles sacrificed Currency","",1,12,30,"",1,"[24875,24880]"
22,"CurrencyFusing10",64174,"Doubles sacrificed Currency","",1,20,10,"",1,"[24874,24879]"
23,"CurrencyFusing20",59104,"Doubles sacrificed Currency","",1,20,20,"",1,"[24875,24880]"
24,"CurrencyRegret20",62668,"Doubles sacrificed Currency","",1,8,20,"",1,"[24874,24879]"
25,"CurrencyRegret40",19592,"Doubles sacrificed Currency","",1,8,40,"",1,"[24875,24880]"
26,"CurrencyGemcutters5",33199,"Doubles sacrificed Currency","",1,18,5,"",1,"[24874,24879]"
27,"CurrencyGemcutters10",60325,"Doubles sacrificed Currency","",1,18,10,"",1,"[24875,24880]"
28,"CurrencyVaal5",9165,"Doubles sacrificed Currency","",1,33,5,"",1,"[24874,24879]"
29,"CurrencyVaal10",9804,"Doubles sacrificed Currency","",1,33,10,"",1,"[24875,24880]"
30,"CurrencyRegal5",34962,"Doubles sacrificed Currency","",1,14,5,"",1,"[24874,24879]"
31,"CurrencyRegal10",29237,"Doubles sacrificed Currency","",1,14,10,"",1,"[24875,24880]"
32,"CurrencyAwakenedSextant5",4287,"Doubles sacrificed Currency","",1,181,5,"",1,"[24874,24879]"
33,"CurrencyAwakenedSextant10",54692,"Doubles sacrificed Currency","",1,181,10,"",1,"[24875,24880]"
34,"CurrencyStackedDeck5",18117,"Doubles sacrificed Currency","",1,8879,5,"",1,"[24874,24879]"
35,"CurrencyStackedDeck10",43188,"Doubles sacrificed Currency","",1,8879,10,"",1,"[24875,24880]"
36,"CurrencyDivine1",59332,"Doubles sacrificed Currency","",1,22,1,"",1,"[24875,24880]"
37,"CurrencyDivine4",53728,"Doubles sacrificed Currency","",1,22,4,"",1,"[24876,24881]"
38,"CurrencyDivine8",15262,"Doubles sacrificed Currency","",1,22,8,"",1,"[24877,24882]"
39,"CurrencyAncient1",55631,"Doubles sacrificed Currency","",1,209,1,"",1,"[24875,24880]"
40,"CurrencyAncient2",14932,"Doubles sacrificed Currency","",1,209,2,"",1,"[24876,24881]"
41,"CurrencyAncient4",43751,"Doubles sacrificed Currency","",1,209,4,"",1,"[24877,24882]"
42,"CurrencyAnnulment1",62284,"Doubles sacrificed Currency","",1,203,1,"",1,"[24875,24880]"
43,"CurrencyAnnulment4",50518,"Doubles sacrificed Currency","",1,203,4,"",1,"[24876,24881]"
44,"CurrencyAnnulment8",33670,"Doubles sacrificed Currency","",1,203,8,"",1,"[24877,24882]"
45,"CurrencyExalted1",48788,"Doubles sacrificed Currency","",1,13,1,"",1,"[24875,24880]"
46,"CurrencyExalted4",63287,"Doubles sacrificed Currency","",1,13,4,"",1,"[24876,24881]"
47,"CurrencyExalted8",35965,"Doubles sacrificed Currency","",1,13,8,"",1,"[24877,24882]"
48,"CurrencyUnmaking3",56656,"Doubles sacrificed Currency","",1,9,3,"",1,"[24875,24880]"
49,"CurrencyHarbinger3",26435,"Doubles sacrificed Currency","",1,206,3,"",1,"[24875,24880]"
50,"CurrencyHorizon10",1387,"Doubles sacrificed Currency","",1,205,10,"",1,"[24874,24879]"
51,"CurrencyVeiledChaos3",44803,"Doubles sacrificed Currency","",1,3,3,"",1,"[24876,24881]"
52,"CurrencyChisel10",11387,"Doubles sacrificed Currency","",1,25,10,"",1,"[24874,24879]"
