"rownum","ModsKey","i32","i32","i32"
0,22241,2,9,100
1,22242,10,14,100
2,22243,15,20,100
3,22251,21,30,50
4,22244,2,9,100
5,22245,10,14,100
6,22246,15,30,100
7,22157,15,30,10
8,22158,15,30,10
9,22159,15,30,10
10,22160,10,14,0
11,22161,15,30,0
12,22162,10,14,0
13,22163,15,30,0
14,22164,10,14,0
15,22165,15,30,0
16,22166,10,14,20
17,22167,15,30,20
18,22168,5,14,35
19,22169,15,30,35
20,22170,5,9,50
21,22171,10,15,50
22,22172,15,30,50
23,22173,2,9,25
24,22174,10,14,25
25,22175,15,20,25
26,22256,21,30,25
27,22176,5,9,25
28,22177,10,14,25
29,22178,15,30,25
30,22179,5,9,25
31,22180,10,14,25
32,22181,15,30,25
33,22182,2,9,25
34,22183,10,14,25
35,22184,15,20,25
36,22257,21,30,25
37,22185,5,9,25
38,22186,10,14,25
39,22187,15,30,25
40,22188,5,9,25
41,22189,10,14,25
42,22190,15,30,25
43,22191,2,9,25
44,22192,10,14,25
45,22193,15,20,25
46,22254,21,30,25
47,22194,5,9,25
48,22195,10,14,25
49,22196,15,30,25
50,22197,5,9,25
51,22198,10,14,25
52,22199,15,30,25
53,22200,2,9,25
54,22201,10,14,25
55,22202,15,20,25
56,22255,21,30,25
57,22203,10,14,25
58,22204,15,17,25
59,22205,15,30,25
60,22206,5,9,25
61,22207,10,14,25
62,22208,15,30,25
63,22209,2,9,25
64,22210,10,14,25
65,22211,15,20,25
66,22258,21,30,25
67,22212,10,14,25
68,22213,15,17,25
69,22214,18,30,25
70,22215,10,14,20
71,22216,15,30,20
72,22217,2,9,20
73,22218,10,14,20
74,22219,15,30,20
75,22220,10,14,10
76,22221,15,17,10
77,22222,15,30,10
78,22223,2,9,100
79,22224,10,14,100
80,22225,15,30,100
81,22226,10,14,25
82,22227,15,30,25
83,22228,10,14,25
84,22229,15,30,25
85,22230,10,14,25
86,22231,15,30,25
87,22232,10,14,0
88,22233,15,30,0
89,22234,10,14,10
90,22235,15,20,10
91,22253,21,30,10
92,22236,10,14,10
93,22237,15,30,10
94,22238,2,9,30
95,22239,10,14,30
96,22240,15,30,30
97,22247,2,9,40
98,22248,10,14,40
99,22249,15,20,40
100,22252,21,30,40
