"rownum","i32","rid","bool","i32","bool","i32","i32","bool","i32","i32","i32","bool","i32","i32","i32","bool","bool","bool","rid","bool","rid","i32"
0,0,593,1,9,1,4,7,1,1000,5,10,1,0,0,0,"","","","","","",0
1,1,594,1,19,"",2,4,1,0,20,60,1,0,0,0,"","","","","","",0
2,2,604,1,6,"",2,4,1,0,15,45,1,0,0,0,"","","","","","",0
3,3,605,1,4,"",2,4,1,0,20,60,1,0,0,0,"","","","","","",0
4,4,616,1,3,1,2,7,1,0,20,60,1,0,0,0,"","","","","","",0
5,5,642,1,2,1,2,7,1,0,20,60,1,0,0,0,"","","","","","",0
6,6,643,"",4,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
7,7,643,"",0,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
8,8,643,"",3,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
9,9,649,"",0,"",4,6,"",0,0,0,"",0,0,0,"","","","","","",0
10,10,675,"",14,"",4,7,"",2600,0,0,"",0,0,0,"","","","","","",0
11,11,677,"",0,"",4,7,"",0,0,0,"",0,220,0,"","","","","","",0
12,14,705,1,6,1,2,7,1,0,30,60,1,0,0,0,"","","","","","",0
13,15,692,"",1,1,4,2,1,0,0,0,"",90,0,0,"","","","","","",0
14,16,693,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","","","",0
15,17,694,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","","","",0
16,18,680,1,0,"",3,7,1,0,5,30,1,0,0,0,"","","","","","",0
17,19,713,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
18,20,713,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
19,21,713,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
20,22,713,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
21,23,703,"",7,1,2,7,"",200,0,0,"",0,0,0,"","","","","","",0
22,24,728,"",5,1,3,7,1,0,0,0,"",0,0,0,"","","","","","",0
23,25,754,1,9,"",2,4,1,0,20,60,1,0,45,0,"","","","","","",0
24,26,764,"",10,1,4,7,"",0,0,0,"",0,0,0,"","","","","","",0
25,27,782,1,16,1,4,7,1,1000,5,20,1,0,0,0,"","","","","","",0
26,28,282,"",5,"",2,6,"",500,0,0,"",0,15,0,"","","","","","",0
27,29,790,"",0,"",2,7,"",0,0,0,"",0,15,0,"","","","","","",0
28,30,827,"",10,"",4,2,"",0,0,0,"",180,220,0,"","","","","","",0
29,31,829,"",7,1,4,7,"",0,0,0,"",0,0,0,"","","","","","",0
30,32,791,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
31,33,792,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
32,34,793,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
33,35,794,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
34,36,795,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
35,37,796,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
36,38,797,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
37,39,798,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
38,40,799,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
39,41,800,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
40,42,801,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
41,43,802,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
42,44,803,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
43,45,804,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
44,46,805,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
45,47,113,1,40,"",4,7,"",8000,10,40,1,0,0,0,"","","","","","",0
46,48,835,1,0,"",4,6,1,0,95,100,1,0,0,0,"","","","","","",0
47,49,864,"",0,"",4,9,1,0,0,0,"",0,0,1,"","","","","","",0
48,50,867,1,19,1,3,7,1,100,10,30,1,0,0,0,"","",1,"","","",0
49,51,868,1,4,"",3,7,1,500,20,60,1,0,20,0,"","","","","","",0
50,52,926,"",15,1,2,7,"",0,0,0,"",0,0,0,"","","","","","",0
51,53,931,"",0,"",3,6,1,0,0,0,"",0,0,0,"","","",4,"","",0
52,54,964,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","",7,"","",0
53,55,966,"",7,1,4,7,"",0,19,20,"",0,0,0,"","","","","","",0
54,56,995,1,0,"",2,4,1,0,10,0,"",0,0,1,"","","","","","",0
55,57,1019,1,0,"",4,5,"",0,25,0,"",0,0,307201,"","","","","","",0
56,58,1023,1,0,"",5,4,1,0,0,0,"",0,0,1,"","","","","","",0
57,59,1030,"",0,"",4,2,1,0,0,0,"",90,5,512001,"","","","","","",0
58,60,186,"",0,"",3,7,1,0,0,0,"",0,45,0,"","","","","","",0
59,61,1041,"",0,"",3,4,1,0,0,0,"",0,0,0,"","","","","","",0
60,62,1042,"",0,"",3,6,"",0,0,0,"",0,0,1,"",1,"","","","",0
61,63,1040,"",0,"",3,7,"",0,120,160,1,0,90,0,"","","","",1,"",0
62,64,1076,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
63,65,1092,1,2,"",2,4,1,0,40,80,1,0,0,0,"","","","","","",0
64,66,1095,1,0,"",2,4,1,0,10,0,"",0,0,1,"","","","","","",0
65,67,1100,"",0,"",4,2,1,0,0,0,"",0,0,0,"","","","","","",0
66,68,1109,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
67,69,1109,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
68,70,1109,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
69,71,1110,"",0,"",3,6,"",0,0,0,"",0,0,0,"","","","","","",0
70,72,1112,"",6,"",3,4,"",1000,0,0,"",0,35,0,"","","","","","",0
71,73,1118,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
72,74,1121,1,0,"",2,2,1,0,0,0,"",0,0,1,"","","","","","",0
73,75,1141,1,0,"",3,4,1,0,0,0,"",0,0,1,"",1,1,"","","",25
74,76,557,1,0,"",3,4,"",333,15,100,1,-80,33,0,"","","","","","",0
75,77,"",1,0,"",4,7,"",0,5,28,"",0,0,0,"","","","",1,196,0
76,78,1167,"",0,"",2,6,"",0,0,0,"",0,0,1,"","","","","","",0
77,79,"",1,0,"",3,4,"",0,10,0,"",0,0,0,"","","","","",199,0
78,80,1180,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
79,81,1180,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
80,82,1180,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
81,83,1180,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
82,84,"",1,0,"",3,4,"",0,10,0,"",0,0,0,"","","","","",201,0
83,85,1030,"",0,"",12,4,1,0,0,0,"",0,10,332801,"","","","","","",0
84,86,1030,"",0,"",12,4,1,0,0,0,"",0,10,332801,"","","","","","",0
85,87,1019,1,0,"",4,6,"",0,20,60,"",0,0,307201,"","","","","","",0
86,88,1119,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
87,89,1120,"",0,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
88,90,1218,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
89,91,1218,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
