"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasNodeKeys","Tier0","Tier1","Tier2","Tier3","Tier4","f32","f32","f32","f32","f32","DDSFile","bool","NotOnAtlas","i32","i32","i32","i32"
0,1141,7756,"",381,1989,"[35,103,32,1]",5,8,12,16,16,818.427,366.6,186,-28.27,-5.399,"","","",7,9,11,12
1,1142,8899,"",381,1990,[0],5,8,12,16,16,796.203,374.098,44,11.112,-3.749,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaelstromOfChaos.dds","","",7,9,11,12
2,1153,7745,"",390,2001,"[39,90,3]",1,4,8,12,16,555.605,423.461,109,9.678,-13.556,"",1,"",3,5,7,9
3,1154,9075,"",390,2002,[2],1,4,8,12,16,564.142,398.834,47,-4.268,12.314,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/OlmecsSanctum.dds","","",3,5,7,9
4,1143,7753,"",382,1991,"[48,109,97,34,16,5]",4,7,11,15,16,644.077,373.445,209,1.693,9.749,"","","",6,8,10,12
5,1144,11842,"",382,1992,[4],4,7,11,15,16,691.811,388.672,72,-23.867,-7.613,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/HallowedGround.dds","","",6,8,10,12
6,1198,7761,"",426,2044,"[58,32,7]",7,10,14,16,16,798.298,285.225,112,-1.866,-1.929,"","","",9,11,12,13
7,1199,8918,"",426,2045,[6],7,10,14,16,16,824.61,267.751,52,-13.156,8.737,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheCowardsTrial.dds","","",9,11,12,13
8,1151,7725,"",389,1999,"[113,80,94,9]",2,5,9,13,16,375.885,442.036,185,-3.226,-10.737,"","","",4,6,8,10
9,1152,12083,"",389,2000,[8],2,5,9,13,16,355.078,415.604,54,10.404,13.216,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PillarsOfArun.dds","","",4,6,8,10
10,1175,7839,"",406,2022,"[108,69,11]",4,7,11,15,16,210.445,413.85,173,1.81,-7.883,"","","",6,8,10,12
11,1176,12081,"",406,2023,[10],4,7,11,15,16,172.416,380.973,72,19.015,16.439,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheTwilightTemple.dds","","",6,8,10,12
12,1186,7762,"",415,2033,"[100,40,13]",12,15,16,16,16,775.822,155.17,115,-18.063,2.368,"","","",13,14,15,16
13,1187,11841,"",415,2034,[12],12,15,16,16,16,802.291,168.784,50,-13.234,-6.807,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ThePutridCloister.dds","","",13,14,15,16
14,1222,7787,"",446,2067,"[63,56,79,77,15]",12,15,16,16,16,221.048,158.203,190,10.003,0.027,"","","",13,14,15,16
15,1223,9229,"",446,2068,[14],12,15,16,16,16,176.947,162.79,67,22.252,-4.309,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/DeathAndTaxes.dds","","",13,14,15,16
16,1215,7765,"",441,2060,"[39,72,17,4]",3,6,10,14,16,631.769,404.768,109,4.362,11.155,"","","",5,7,9,11
17,1216,8961,"",441,2061,[16],3,6,10,14,16,656.698,425.594,53,-12.464,-10.413,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ActonsNightmare.dds","","",5,7,9,11
18,1170,7758,"",403,2018,"[83,71,68,75,19]",6,9,13,16,16,503.007,300.217,249,-11.451,-13.748,"","","",8,10,12,13
19,1171,9011,"",403,2019,[18],6,9,13,16,16,515.197,275.206,48,-6.095,12.505,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaoKun.dds","","",8,10,12,13
20,1113,7739,"",350,1961,"[52,66,103,21]",3,6,10,14,16,761.834,481.347,216,1.144,-29.671,"","","",5,7,9,11
21,1114,9396,"",350,1962,[20],3,6,10,14,16,814.05,463.017,77,-26.108,9.165,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/WhakawairuaTuahu.dds","","",5,7,9,11
22,1183,7768,"",413,2030,"[86,102,67,38,23]",14,16,16,16,16,463.093,111.757,349,-6.858,-5.605,"","","",15,16,16,16
23,1184,8994,"",413,2031,[22],14,16,16,16,16,516.212,97.845,75,-25.552,7.561,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PoorjoysAsylum.dds","","",15,16,16,16
24,1145,7782,"",383,1993,"[63,61,59,43,25]",10,13,16,16,16,367.92,191.25,153,-3.542,-0.402,"","","",12,13,14,15
25,1221,9015,"",383,2066,[24],10,13,16,16,16,365.957,171.756,40,0.982,9.747,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ObasCursedTrove.dds","","",12,13,14,15
26,1155,7775,"",391,2003,"[95,49,27]",15,16,16,16,16,768.255,96.76,104,-10.307,-6.522,"","","",16,16,16,16
27,1156,11455,"",391,2004,[26],15,16,16,16,16,798.119,95.337,51,-14.932,0.712,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/CaerBlaiddWolfpacksDen.dds","","",16,16,16,16
28,1163,7715,"",398,2011,"[113,33,96,94,29]",4,7,11,15,16,330.811,379.08,141,7.615,-6.371,"","","",6,8,10,12
29,1164,7858,"",398,2012,[28],4,7,11,15,16,359.806,366.509,52,-14.497,6.285,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/VaultsOfAtziri.dds","","",6,8,10,12
30,1167,7771,"",401,2015,"[52,35,103]",5,8,12,16,16,755.799,363.735,181,-2.988,8.615,"","","",7,9,11,12
31,1125,7802,"",366,1973,"[46,86,100]",14,16,16,16,16,646.624,114.636,205,-5.805,-5.224,"","","",15,16,16,16
