"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
0,"Abyss","Abyss","Abyss","Abyss","アビス","심연","Abyss","Бездна","Abyss","Abyss","絕望深淵"
1,"Acid","Acid","Acide","Ätzend","酸","산성","Ácido","Кислотные","Ácido","Acid","蝕骨強酸"
2,"AngelsAndDemons","Angels and Demons","Anges & Démons","Engel und Dämonen","天使と悪魔","천사와 악마","Anjos e Demônios","Ангелы и демоны","Ángeles y demonios","Angels and Demons","天使和惡魔"
3,"Animal","Animal","Animaux","Tiere","動物","동물","Animal","Животные","Animal","Animal","動物"
4,"Apocalypse","Apocalypse","Apocalypse","Apokalypse","黙示録","종말","Apocalipse","Апокалипсис","Apocalipsis","Apocalypse","天啟預者"
5,"Apollyon","Apollyon","Apollyon","Apollyon","アポリオン","지옥 악마","Apollyon","Аполлион","Abadón","Apollyon","煉獄帝王"
6,"Arcane","Arcane","Arcane","Arkan","アーケイン","비전","Arcano","Колдовские","Arcano","Arcane","秘術"
7,"Archnemesis","Archnemesis","Archnemesis","Archnemesis","アーチネメシス","강적","Archnemesis","Возмездие","Archnemesis","Archnemesis","強襲宿敵"
8,"Arctic","Arctic","Arctique","Arktisch","極寒","한기","Ártico","Северные","Ártico","Arctic","極地"
9,"Ascendancy","Ascendancy","Ascendance","Aszendenz","アセンダンシー","전직","Ascendancy","Восхождение","Ascendencia","Ascendancy","昇華試煉"
10,"Atlantis","Atlantis","Atlantide","Atlantis","アトランティス","아틀란티스","Atlantis","Атлантида","Atlantis","Atlantis","亞特蘭提斯"
11,"Atlas","Atlas","Atlas","Atlas","アトラス","아틀라스","Atlas","Атлас","Atlas","Atlas","輿圖"
12,"Auspicious","Auspicious","Auspicieux","Verheißungsvoll","吉兆","상서로운","Auspicioso","Auspicious","Auspicioso","Auspicious","吉祥福兆"
13,"Beast","Beast","Bête","Bestie","野獣","야수","Besta","Зверь","Bestia","Beast","野獸"
14,"Bestiary","Bestiary","Bestiary","Bestiary","ベスティアリー","야수 도감","Bestiário","Бестиарий","Bestiario","Bestiary","獸獵寓言"
15,"Betrayal","Betrayal","Betrayal","Betrayal","ビトレイアル","배신","Betrayal","Предательство","Betrayal","Betrayal","密教反叛"
16,"Blackguard","Blackguard","Garde noire","Schwarzgarde","ブラックガード","검은 근위대","Guarda Negro","Чёрная стража","Guardia negra","Blackguard","烏旗守衛"
17,"Blight","Blight","Blight","Blight","ブライト","역병","Blight","Скверна","Blight","Blight","凋落禁地"
18,"Bones","Bones","Ossements","Knochen","骨","뼈","Ósseo","Кости","Huesos","Bones","骸骨"
19,"Cardinal","Cardinal","Cardinal","Kardinal","枢機卿","추기경","Cardeal","Кардинал","Cardinal","Cardinal","主教"
20,"Carnival","Carnival","Carnaval","Nachtzirkus","カーニバル","카니발","Carnaval","Карнавал","Circense","Carnival","鬼島狂歡"
21,"Cave","Cave","Caverne","Höhle","洞窟","동굴","Caverna","Пещера","Cueva","Cave","洞穴"
22,"Celestial","Celestial","Céleste","Himmlisch","天体","천공","Celestial","Небесные","Celestial","Celestial","絢麗眾星"
23,"ChallengeRewards","Challenge Rewards","Récompenses de défis","Herausforderungsbelohnungen","チャレンジ報酬","도전과제 보상","Recompensas de Desafios","Награды за испытания","Recompensas de desafíos","ของรางวัลภารกิจท้าทาย","挑戰獎勵"
24,"ChamberOfSins","Chamber of Sins","Chambre des péchés","Kammer der Sünden","罪の間","죄악의 방","Câmara dos Pecados","Обитель грехов","El aposento de pecados","Chamber of Sins","罪孽之殿"
25,"Chiyou","Chiyou","Chiyou","Chiyou","蚩尤","치우","Chiyou","Чи Ю","Chiyou","Chiyou","蚩尤"
