"rownum","Id","string","FormatString_Positive (English)","FormatString_Positive (French)","FormatString_Positive (German)","FormatString_Positive (Japanese)","FormatString_Positive (Korean)","FormatString_Positive (Portuguese)","FormatString_Positive (Russian)","FormatString_Positive (Spanish)","FormatString_Positive (Thai)","FormatString_Positive (Traditional Chinese)","FormatString_Negative (English)","FormatString_Negative (French)","FormatString_Negative (German)","FormatString_Negative (Japanese)","FormatString_Negative (Korean)","FormatString_Negative (Portuguese)","FormatString_Negative (Russian)","FormatString_Negative (Spanish)","FormatString_Negative (Thai)","FormatString_Negative (Traditional Chinese)"
0,"FlatValue","x","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","","","","","","","","","",""
1,"PercentageValue","x%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","","","","","","","","","",""
2,"Range","x - y","{0} - {1}","{0} à {1}","{0} - {1}","{0} - {1}","{0} ~ {1}","{0} - {1}","{0} - {1}","{0} - {1}","{0} - {1}","{0} - {1}","","","","","","","","","",""
3,"CurrentOfMax","x / y","{0} / {1}","{0} / {1}","{0} / {1}","{0} / {1}","{0} / {1}","{0} / {1}","{0} / {1}","{0} / {1}","{0} / {1}","{0} / {1}","","","","","","","","","",""
4,"Yes","Yes","No","Non","Nein","いいえ","아니요","Não","Нет","No","ไม่","否","Yes","Oui","Ja","はい","예","Sim","Да","Sí","ใช่","是"
5,"Resistance","x% (y%)","{0}% ({1}%)","{0}% ({1}%)","{0}% ({1}%)","{0}% ({1}%)","{0}% ({1}%)","{0}% ({1}%)","{0}% ({1}%)","{0}% ({1}%)","{0}% ({1}%)","{0}% ({1}%)","<colour:red>{{{0}%}} ({1}%)","<colour:red>{{{0}%}} ({1}%)","<colour:red>{{{0}%}} ({1}%)","<colour:red>{{{0}%}} ({1}%)","<colour:red>{{{0}%}} ({1}%)","<colour:red>{{{0}%}} ({1}%)","<colour:red>{{{0}%}} ({1}%)","<colour:red>{{{0}%}} {{{1}%}}","<colour:red>{{{0}%}} ({1}%)","<colour:red>{{{0}%}} ({1}%)"
6,"RangeOrMin","x - y OR x","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0} - {1}","{0} à {1}","{0} - {1}","{0} - {1}","{0} ~ {1}","{0} - {1}","{0} - {1}","{0} - {1}","{0} - {1}","{0} - {1}"
7,"PercentModifier","+/-x%","{0:+d}%","{0:+d}%","{0:+d}%","{0:+d}%","{0:+d}%","{0:+d}%","{0:+d}%","{0:+d}%","{0:+d}%","{0:+d}%","","","","","","","","","",""
8,"PercentModifierFinal","x% more/less","{0}% more","{0}% Davantage","{0}% mehr","{0}%上昇","{0}% 증폭","{0}% mais","На {0}% больше","{0}% más","เพิ่มขึ้น อีก {0}%","{0}% 更多","{0}% less","{0}% de Perte","{0}% weniger","{0}%低下","{0}% 감폭","{0}% menos","На {0}% меньше","{0}% menos","ลดลง อีก {0}%","{0}% 較少"
9,"Seconds","x seconds","{0} seconds","{0} secondes","{0} Sekunden","{0}秒","{0}초","{0} segundos","{0} секунд(-ы)","{0} segundos","{0} วินาที","{0} 秒","","","","","","","","","",""
10,"FlatValueFromPercentValue","x (y%)","{0} ({1}%)","{0} ({1}%)","{0} ({1}%)","{0} ({1}%)","{0} ({1}%)","{0} ({1}%)","{0} ({1}%)","{0} ({1}%)","{0} ({1}%)","{0} ({1}%)","","","","","","","","","",""
11,"Metres","x metres","{0} metre","{0} mètre","{0} Meter","{0} メートル","{0}미터","{0} metro","{0} м","{0} metro","{0} เมตร","{0} 米","{0} metres","{0} mètres","{0} Meter","{0} メートル","{0}미터","{0} metros","{0} м","{0} metros","{0} เมตร","{0} 米"
