"rownum","Id","X","Y","IsMajorGod","CoverImage","GodName2 (English)","GodName2 (French)","GodName2 (German)","GodName2 (Japanese)","GodName2 (Korean)","GodName2 (Portuguese)","GodName2 (Russian)","GodName2 (Spanish)","GodName2 (Thai)","GodName2 (Traditional Chinese)","SelectionImage","Effect1_StatsKeys","Effect1_Values","Effect2_StatsKeys","GodName3 (English)","GodName3 (French)","GodName3 (German)","GodName3 (Japanese)","GodName3 (Korean)","GodName3 (Portuguese)","GodName3 (Russian)","GodName3 (Spanish)","GodName3 (Thai)","GodName3 (Traditional Chinese)","Effect3_Values","Effect3_StatsKeys","GodName4 (English)","GodName4 (French)","GodName4 (German)","GodName4 (Japanese)","GodName4 (Korean)","GodName4 (Portuguese)","GodName4 (Russian)","GodName4 (Spanish)","GodName4 (Thai)","GodName4 (Traditional Chinese)","Effect4_StatsKeys","Effect4_Values","GodName1 (English)","GodName1 (French)","GodName1 (German)","GodName1 (Japanese)","GodName1 (Korean)","GodName1 (Portuguese)","GodName1 (Russian)","GodName1 (Spanish)","GodName1 (Thai)","GodName1 (Traditional Chinese)","Effect2_Values","QuestState1","QuestState2","QuestState3","QuestState4","IsDisabled","AchievementItems"
0,"TheBrineKing",60,242,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarLeft","Puruna, the Challenger","Puruna, l'Opposant","Puruna der Herausforderer","挑戦者、プルナ","도전자 푸루나","Puruna, o Desafiador","Пуруны, претендента","Puruna, la Retadora","พูรูนา ผู้ท้าทาย","挑戰者普魯那","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[6426],[1],[221],"Fragment of Winter","Fragment de l'Hiver","Fragment des Winters","冬の断片","겨울의 조각","Fragmento Invernal","Кусочка зимы","Fragmento de invierno","ชิ้นส่วนแห่งเหมันต์","冬之碎片",[100],[191],"Pirate Treasure","Trésor pirate","Piratenschatz","海賊の宝","해적 보물","Tesouro Pirata","Сокровища пиратов","Tesoro pirata","สมบัติโจรสลัด","海盜的寶藏",[2589],[-50],"Soul of the Brine King","Âme du Roi des Embruns","Seele des Gischtkönigs","海水の王の魂","염수왕의 영혼","Alma do Rei da Salmoura","Душа Морского царя","Alma del Rey del mar","วิญญาณราชันน้ำเค็ม","海洋王之魂",[30],1164,1389,1390,1391,"",[6981]
1,"Arakaali",760,300,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarRight","Maligaro the Mutilator","Maligaro, le Mutilateur","Maligaro der Verstümmler","切断者、マリガロ","절단자 말리가로","Maligaro, o Mutilador","Малигаро Мучителя","Malígaro el Mutilador","มาลิกาโร ผู้พรากอวัยวะ","毀壞者馬雷葛蘿","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[542],[-10],[5834],"Hybrid Widow","Veuve hybride","Hybridwitwe","ハイブリッドウィドウ","잡종 과부","Viúva Híbrida","Гибридной вдовы","Viuda híbrida","ไฮบริดวิโดว์","混種黑寡婦",[20],[6332],"Armala, the Widow","Armala, la Veuve","Armala die Witwe","ウィドウ、アルマラ","과부 아말라","Armala, a Viúva","Армалы, Вдовы","Armala, la Viuda","อาร์มาล่า แม่ม่าย","寡婦阿摩拉",[6090],[40],"Soul of Arakaali","Âme d'Arakaali","Seele von Arakaali","アラカーリの魂","아라칼리의 영혼","Alma de Arakaali","Душа Аракаали","Alma de Arakaali","วิญญาณอาราคาลี","艾爾卡莉之魂",[20],1294,1392,1393,1394,"",[6981]
2,"Solaris",560,357,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeRight","Forest of Flames","Forêt de Flammes","Wald der Flammen","林立する炎","화염의 숲","Floresta Flamejante","Леса пламени","Bosque de llamas","พงไพรเพลิง","烈焰之森","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6155,6156]","[6,20]",[6157],"Fire and Fury","Feu et Furie","Feuer und Zorn","火と怒り","광분에 찬 화염 마녀","Fogo e Fúria","Огня и ярости","Fuego y furia","เพลิงและเดือดดาล","熾怒之靈",[1],[6158],"Jorus, Sky's Edge","Jorus, l'Orée du ciel","Jorus, Himmelsrand","天空の端、ジョラス","하늘의 끝 조러스","Jorus, Lâmina Celeste","Хоруса, Небесной грани","Jorus, el Filo del cielo","จอรัส ขอบแห่งนภา","天際朱力斯",[6161],[50],"Soul of Solaris","Âme de Solaris","Seele von Solaris","ソラリスの魂","솔라리스의 영혼","Alma de Solaris","Душа Солярис","Alma de Solaris","วิญญาณโซลาริส","日耀神之魂",[-8],1426,1395,1396,1397,"",[6981]
3,"Lunaris",354,386,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeLeft","Khor, Sister of Shadows","Khor, Sœur des Ombres","Khor, Schwester der Schatten","影の妹、コール","그림자의 자매 코르","Khor, Irmã das Sombras","Хор, Сестры теней","Khor, Hermana de sombras","คอร์ ธิดาแห่งเงา","暗影姊妹．霍爾","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6162,6163]","[1,1]",[6164],"Captain Clayborne, The Accursed","Capitaine Poindreglaise, le Maudit","Kapitän Clayborne, der Verfluchte","呪われしクレーボーン船長","저주받은 자 클레이본 대장","Capitão Clayborne, o Amaldiçoado","Капитана Клейборна, проклятого","Capitán Clayborne, el Maldito","กัปตันเคลย์บอร์น ผู้ต้องสาป","被詛咒的．隊長克雷波恩",[-6],[15337],"The Winged Death","La Mort ailée","Der Geflügelte Tod","有翼の死","날개 달린 죽음","A Morte Alada","Крылатой смерти","La muerte alada","ความตายสยายปีก","雙翼死神",[6166],[100],"Soul of Lunaris","Âme de Lunaris","Seele von Lunaris","ルナリスの魂","루나리스의 영혼","Alma de Lunaris","Душа Лунарис","Alma de Lunaris","วิญญาณลูนาริส","月影神之魂",[10],1426,1398,1399,1400,"",[6981]
4,"Minor God 1",780,517,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","","","","","","","","","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],71,71,71,71,1,[]
5,"Minor God 2",682,550,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","","","","","","","","","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],71,71,71,71,1,[]
6,"Abberath",328,584,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Mephod, the Earth Scorcher","Mephod, le Brûleur de terre","Mephod der Erdenversenger","大地を灼く者、メフォッド","땅을 태우는 메포드","Mephod, o Abrasador","Мефода, Опаляющего землю","Mephod, Calcinatierra","เมฟ็อด ผู้เผาปฐพี","旱地者密法德","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[14689],[-60],"[6910,5835]","","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"Soul of Abberath","Âme d'Abberath","Seele von Abberath","アバラスの魂","아버라스의 영혼","Alma de Abberath","Душа Абберата","Alma de Abberath","วิญญาณแอ็บเบอร์แรธ","艾貝拉斯之魂","[1,10]",1200,1402,71,71,"",[]
7,"Minor God 4",359,794,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","","","","","","","","","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],71,71,71,71,1,[]
8,"Gruthkul",425,609,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Erebix, Light's Bane","Érébix, le Fléau de la Lumière","Erebix, Lichtverderberin","光の災い、エレビックス","빛의 파멸 에레빅스","Erebix, Estandarte da Luz","Эребикса, Погибели света","Erebix, Flagelo de la luz","เอเรบิกซ์ หายนะแก่สรรพแสง","光明剋星艾爾畢斯","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5844],[1],[6147],"","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"Soul of Gruthkul","Âme de Gruthkul","Seele von Gruthkul","グラスクルの魂","그루스컬의 영혼","Alma de Gruthkul","Душа Граткул","Alma de Gruthkul","วิญญาณกรัธท์คัล","葛魯斯寇之魂",[-8],1386,1405,71,71,"",[]
9,"Yugul",225,627,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Varhesh, Shimmering Aberration","Varhesh, l'Aberration miroitante","Varhesh, schimmernde Anomalie","煌めく怪物、ヴァーヘッシュ","일렁이는 변이 바레쉬","Varhesh, Aberração Cintilante","Вархеша, Сверкающего отродья","Varhesh, Aberración brillante","วาร์เฮช ระยิบวิปลาส","微光之屍弗賽斯","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[10914,14690]","[-50,50]",[1277],"","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"Soul of Yugul","Âme de Yugul","Seele von Yugul","ユーグルの魂","유굴의 영혼","Alma de Yugul","Душа Югула","Alma de Yugul","วิญญาณยูกูล","伊果之魂",[-30],1438,1406,71,71,"",[]
